Thursday, August 20, 2020	10:53:31 AM	Game1.txt	56843015
Cued	Now	56854803
9	BlinkStart	56854824
9	BlinkEnd	57159380
23,5	BlinkStart	57159467
23,5	BlinkEnd	57171798
5	0DropFeed	57171878
23	NoFeedAbort	57171959
22,1	BlinkStart	57181973
22,1	BlinkEnd	57184491
1	0DropFeed	57184571
22	Feed	57184651
4,44,6	BlinkStart	57184745
4,44,6	BlinkEnd	57189367
4	Feed	57189448
44	Feed	57189528
22,1	BlinkStart	57189637
22,1	BlinkEnd	57201158
1	0DropFeed	57201238
22	Feed	57201318
4,44,6	BlinkStart	57201416
4,44,6	BlinkEnd	57204826
6	0DropFeed	57204906
22,1	BlinkStart	57205000
22,1	BlinkEnd	57211745
1	0DropFeed	57211825
22	Feed	57211905
4,44,6	BlinkStart	57212008
4,44,6	BlinkEnd	57215896
4	Feed	57215976
44	Feed	57216056
22,1	BlinkStart	57216154
22,1	BlinkEnd	57225102
1	0DropFeed	57225182
22	Feed	57225262
4,44,6	BlinkStart	57225368
4,44,6	BlinkEnd	57228292
4	Feed	57228372
44	Feed	57228452
22,1	BlinkStart	57228556
22,1	BlinkEnd	57237317
1	0DropFeed	57237397
22	Feed	57237478
4,44,6	BlinkStart	57237588
4,44,6	BlinkEnd	57240091
4	Feed	57240172
44	Feed	57240252
22,1	BlinkStart	57240347
22,1	BlinkEnd	57248447
1	0DropFeed	57248527
22	Feed	57248607
4,44,6	BlinkStart	57248715
4,44,6	BlinkEnd	57251157
4	Feed	57251237
44	Feed	57251317
22,1	BlinkStart	57251404
22,1	BlinkEnd	57261864
1	0DropFeed	57261944
22	Feed	57262024
4,44,6	BlinkStart	57262125
4,44,6	BlinkEnd	57264511
4	Feed	57264591
44	Feed	57264671
22,1	BlinkStart	57264779
22,1	BlinkEnd	57273000
1	0DropFeed	57273080
22	Feed	57273160
4,44,6	BlinkStart	57273276
4,44,6	BlinkEnd	57275823
4	Feed	57275903
44	Feed	57275983
22,1	BlinkStart	57276069
22,1	BlinkEnd	57284425
1	0DropFeed	57284505
22	Feed	57284585
4,44,6	BlinkStart	57284682
4,44,6	BlinkEnd	57287013
4	Feed	57287094
44	Feed	57287174
22,1	BlinkStart	57287280
22,1	BlinkEnd	57296939
1	0DropFeed	57297019
22	Feed	57297099
4,44,6	BlinkStart	57297187
4,44,6	BlinkEnd	57300430
4	Feed	57300510
44	Feed	57300591
21,1	BlinkStart	57300677
21,1	BlinkEnd	57310239
1	0DropFeed	57310319
21	Feed	57310399
4,44,6	BlinkStart	57310516
4,44,6	BlinkEnd	57313605
4	Feed	57313685
44	Feed	57313765
20,1	BlinkStart	57313872
20,1	BlinkEnd	57322094
1	0DropFeed	57322174
20	Feed	57322254
4,44,6	BlinkStart	57322357
4,44,6	BlinkEnd	57324738
4	Feed	57324818
44	Feed	57324898
19,1	BlinkStart	57324983
19,1	BlinkEnd	57331837
1	0DropFeed	57331917
19	Feed	57331997
4,44,6	BlinkStart	57332082
4,44,6	BlinkEnd	57334364
4	Feed	57334445
44	Feed	57334525
18,1	BlinkStart	57334621
18,1	BlinkEnd	57343508
1	0DropFeed	57343588
18	Feed	57343669
4,44,6	BlinkStart	57343831
4,44,6	BlinkEnd	57346277
4	Feed	57346357
44	Feed	57346437
17,1	BlinkStart	57346599
17,1	BlinkEnd	57354399
1	0DropFeed	57354479
17	Feed	57354559
4,44,6	BlinkStart	57354703
4,44,6	BlinkEnd	57357047
4	Feed	57357127
44	Feed	57357207
16,1	BlinkStart	57357365
16,1	BlinkEnd	57367273
1	0DropFeed	57367353
16	Feed	57367433
4,44,6	BlinkStart	57367606
4,44,6	BlinkEnd	57370283
4	Feed	57370363
44	Feed	57370443
14,1	BlinkStart	57370599
14,1	BlinkEnd	57378224
1	0DropFeed	57378304
14	NoFeedAbort	57378385
31,5	BlinkStart	57388447
31,5	BlinkEnd	57393506
5	0DropFeed	57393586
31	Feed	57393667
8,55,2,38	BlinkStart	57393824
8,55,2,38	BlinkEnd	57397117
8	Feed	57397197
55	Feed	57397277
31,5	BlinkStart	57397449
31,5	BlinkEnd	57408609
5	0DropFeed	57408689
31	Feed	57408769
8,55,2,38	BlinkStart	57408926
8,55,2,38	BlinkEnd	57412037
2	Feed	57412117
38	Feed	57412197
31,5	BlinkStart	57412363
31,5	BlinkEnd	57418053
5	0DropFeed	57418133
31	Feed	57418213
8,55,2,38	BlinkStart	57418387
8,55,2,38	BlinkEnd	57421846
8	Feed	57421926
55	Feed	57422006
31,5	BlinkStart	57422177
31,5	BlinkEnd	57432374
5	0DropFeed	57432454
31	Feed	57432534
8,55,2,38	BlinkStart	57432696
8,55,2,38	BlinkEnd	57435802
8	Feed	57435883
55	Feed	57435963
31,5	BlinkStart	57436124
31,5	BlinkEnd	57445617
5	0DropFeed	57445697
31	Feed	57445777
8,55,2,38	BlinkStart	57445935
8,55,2,38	BlinkEnd	57448077
8	Feed	57448157
55	Feed	57448238
31,5	BlinkStart	57448380
31,5	BlinkEnd	57458064
5	0DropFeed	57458145
31	Feed	57458225
8,55,2,38	BlinkStart	57458408
8,55,2,38	BlinkEnd	57460537
8	Feed	57460617
55	Feed	57460697
31,5	BlinkStart	57460856
31,5	BlinkEnd	57470460
5	0DropFeed	57470540
31	Feed	57470620
8,55,2,38	BlinkStart	57470798
8,55,2,38	BlinkEnd	57472987
8	Feed	57473067
55	Feed	57473147
31,5	BlinkStart	57473317
31,5	BlinkEnd	57481769
5	0DropFeed	57481849
31	Feed	57481929
8,55,2,38	BlinkStart	57482105
8,55,2,38	BlinkEnd	57484115
8	Feed	57484195
55	Feed	57484275
31,5	BlinkStart	57484437
31,5	BlinkEnd	57494164
5	0DropFeed	57494244
31	Feed	57494324
8,55,2,38	BlinkStart	57494501
8,55,2,38	BlinkEnd	57496991
8	Feed	57497071
55	Feed	57497151
31,5	BlinkStart	57497335
31,5	BlinkEnd	57506677
5	0DropFeed	57506757
31	Feed	57506837
8,55,2,38	BlinkStart	57507003
8,55,2,38	BlinkEnd	57509145
8	Feed	57509225
55	Feed	57509305
30,5	BlinkStart	57509474
30,5	BlinkEnd	57518113
5	0DropFeed	57518193
30	Feed	57518273
8,55,2,38	BlinkStart	57518455
8,55,2,38	BlinkEnd	57520524
8	Feed	57520604
55	Feed	57520684
29,5	BlinkStart	57520839
29,5	BlinkEnd	57529786
5	0DropFeed	57529866
29	Feed	57529946
8,55,2,38	BlinkStart	57530109
8,55,2,38	BlinkEnd	57532499
8	Feed	57532579
55	Feed	57532659
28,5	BlinkStart	57532836
28,5	BlinkEnd	57541460
5	0DropFeed	57541540
28	Feed	57541620
8,55,2,38	BlinkStart	57541786
8,55,2,38	BlinkEnd	57544583
8	Feed	57544663
55	Feed	57544743
27,5	BlinkStart	57544900
27,5	BlinkEnd	57554570
5	0DropFeed	57554650
27	Feed	57554731
8,55,2,38	BlinkStart	57554892
8,55,2,38	BlinkEnd	57557818
8	Feed	57557898
55	Feed	57557979
26,5	BlinkStart	57558139
26,5	BlinkEnd	57568589
5	0DropFeed	57568669
26	Feed	57568749
8,55,2,38	BlinkStart	57568924
8,55,2,38	BlinkEnd	57572259
8	Feed	57572339
55	Feed	57572420
25,5	BlinkStart	57572600
25,5	BlinkEnd	57582005
5	0DropFeed	57582085
25	Feed	57582165
8,55,2,38	BlinkStart	57582332
8,55,2,38	BlinkEnd	57585134
8	Feed	57585214
55	Feed	57585294
23,5	BlinkStart	57585470
23,5	BlinkEnd	57594280
5	0DropFeed	57594360
23	NoFeedAbort	57594440
22,1	BlinkStart	57604540
22,1	BlinkEnd	57604805
1	0DropFeed	57604885
22	Feed	57604966
4,46,6	BlinkStart	57605133
4,46,6	BlinkEnd	57655720
22,1	BlinkStart	57655858
22,1	BlinkEnd	57658837
1	0DropFeed	57658917
22	Feed	57658997
4,46,6	BlinkStart	57659148
4,46,6	BlinkEnd	57661245
4	Feed	57661325
46	Feed	57661405
22,1	BlinkStart	57661568
22,1	BlinkEnd	57673821
1	0DropFeed	57673901
22	Feed	57673981
4,46,6	BlinkStart	57674125
4,46,6	BlinkEnd	57676225
4	Feed	57676305
46	Feed	57676386
22,1	BlinkStart	57676543
22,1	BlinkEnd	57690365
1	0DropFeed	57690445
22	Feed	57690525
4,46,6	BlinkStart	57690679
4,46,6	BlinkEnd	57692711
4	Feed	57692791
46	Feed	57692871
22,1	BlinkStart	57693045
22,1	BlinkEnd	57704985
1	0DropFeed	57705065
22	Feed	57705145
4,46,6	BlinkStart	57705314
4,46,6	BlinkEnd	57707271
4	Feed	57707351
46	Feed	57707431
22,1	BlinkStart	57707572
22,1	BlinkEnd	57721952
1	0DropFeed	57722033
22	Feed	57722114
4,46,6	BlinkStart	57722267
4,46,6	BlinkEnd	57724359
4	Feed	57724439
46	Feed	57724519
22,1	BlinkStart	57724695
22,1	BlinkEnd	57736391
1	0DropFeed	57736471
22	Feed	57736551
4,46,6	BlinkStart	57736720
4,46,6	BlinkEnd	57738677
4	Feed	57738757
46	Feed	57738837
22,1	BlinkStart	57738977
22,1	BlinkEnd	57749871
1	0DropFeed	57749951
22	Feed	57750032
4,46,6	BlinkStart	57750187
4,46,6	BlinkEnd	57752274
4	Feed	57752354
46	Feed	57752434
22,1	BlinkStart	57752574
22,1	BlinkEnd	57764368
1	0DropFeed	57764448
22	Feed	57764528
4,46,6	BlinkStart	57764680
4,46,6	BlinkEnd	57766955
4	Feed	57767035
46	Feed	57767115
22,1	BlinkStart	57767264
22,1	BlinkEnd	57778928
1	0DropFeed	57779008
22	Feed	57779088
4,46,6	BlinkStart	57779247
4,46,6	BlinkEnd	57781575
4	Feed	57781655
46	Feed	57781735
21,1	BlinkStart	57781887
21,1	BlinkEnd	57794162
1	0DropFeed	57794242
21	Feed	57794322
4,46,6	BlinkStart	57794475
4,46,6	BlinkEnd	57797940
4	Feed	57798021
46	Feed	57798102
20,1	BlinkStart	57798243
20,1	BlinkEnd	57810035
1	0DropFeed	57810115
20	Feed	57810195
4,46,6	BlinkStart	57810352
4,46,6	BlinkEnd	57813885
4	Feed	57813966
46	Feed	57814046
19,1	BlinkStart	57814191
19,1	BlinkEnd	57826339
1	0DropFeed	57826419
19	Feed	57826499
4,46,6	BlinkStart	57826663
4,46,6	BlinkEnd	57829769
4	Feed	57829849
46	Feed	57829929
18,1	BlinkStart	57830084
18,1	BlinkEnd	57841443
1	0DropFeed	57841523
18	Feed	57841603
4,46,6	BlinkStart	57841777
4,46,6	BlinkEnd	57844448
4	Feed	57844528
46	Feed	57844608
17,1	BlinkStart	57844755
17,1	BlinkEnd	57856000
1	0DropFeed	57856080
17	Feed	57856160
4,46,6	BlinkStart	57856313
4,46,6	BlinkEnd	57859077
4	Feed	57859157
46	Feed	57859238
16,1	BlinkStart	57859414
16,1	BlinkEnd	57869658
1	0DropFeed	57869738
16	Feed	57869818
4,46,6	BlinkStart	57869970
4,46,6	BlinkEnd	57872486
4	Feed	57872566
46	Feed	57872646
14,1	BlinkStart	57872813
14,1	BlinkEnd	57885421
1	0DropFeed	57885501
14	NoFeedAbort	57885582
31,5	BlinkStart	57895642
31,5	BlinkEnd	57898598
5	0DropFeed	57898678
31	Feed	57898759
2,40,8	BlinkStart	57898919
2,40,8	BlinkEnd	57902147
8	0DropFeed	57902227
31,5	BlinkStart	57902400
31,5	BlinkEnd	57908526
5	0DropFeed	57908606
31	Feed	57908686
2,40,8	BlinkStart	57908844
2,40,8	BlinkEnd	57912135
2	Feed	57912215
40	Feed	57912296
31,5	BlinkStart	57912451
31,5	BlinkEnd	57922364
5	0DropFeed	57922444
31	Feed	57922524
2,40,8	BlinkStart	57922674
2,40,8	BlinkEnd	57926336
8	0DropFeed	57926416
31,5	BlinkStart	57926577
31,5	BlinkEnd	57932411
5	0DropFeed	57932491
31	Feed	57932571
2,40,8	BlinkStart	57932722
2,40,8	BlinkEnd	57936503
2	Feed	57936583
40	Feed	57936663
31,5	BlinkStart	57936812
31,5	BlinkEnd	57949137
5	0DropFeed	57949217
31	Feed	57949297
2,40,8	BlinkStart	57949451
2,40,8	BlinkEnd	57954011
8	0DropFeed	57954091
31,5	BlinkStart	57954256
31,5	BlinkEnd	58024163
5	0DropFeed	58024243
31	Feed	58024323
2,40,8	BlinkStart	58024486
2,40,8	BlinkEnd	58033911
2	Feed	58033991
40	Feed	58034071
31,5	BlinkStart	58034213
31,5	BlinkEnd	58045944
5	0DropFeed	58046024
31	Feed	58046104
2,40,8	BlinkStart	58046265
2,40,8	BlinkEnd	58050999
2	Feed	58051079
40	Feed	58051159
31,5	BlinkStart	58051324
31,5	BlinkEnd	58060990
5	0DropFeed	58061070
31	Feed	58061150
2,40,8	BlinkStart	58061293
2,40,8	BlinkEnd	58065689
2	Feed	58065769
40	Feed	58065849
31,5	BlinkStart	58066019
31,5	BlinkEnd	58076568
5	0DropFeed	58076648
31	Feed	58076728
