Saturday, August 22, 2020	12:23:17 PM	Game1.txt	235029037
Cued	Now	235037453
9	BlinkStart	235037490
9	BlinkEnd	235216345
23,5	BlinkStart	235216443
23,5	BlinkEnd	235229234
5	0DropFeed	235229314
23	NoFeedAbort	235229394
1	BlinkStart	235239413
1	BlinkEnd	235289459
1	NoFeedLowProb	235289539
4,44	BlinkStart	235289554
4,44	BlinkEnd	235297039
4	Feed	235297119
44	Feed	235297200
1	BlinkStart	235297293
1	BlinkEnd	235308110
1	NoFeedLowProb	235308190
4,44	BlinkStart	235308218
4,44	BlinkEnd	235311960
4	Feed	235312041
44	Feed	235312121
1	BlinkStart	235312232
1	BlinkEnd	235324416
1	NoFeedLowProb	235324496
4,44	BlinkStart	235324522
4,44	BlinkEnd	235327603
4	Feed	235327683
44	Feed	235327764
16,1	BlinkStart	235327868
16,1	BlinkEnd	235337772
1	0DropFeed	235337852
16	Feed	235337933
4,44,6,48	BlinkStart	235338045
4,44,6,48	BlinkEnd	235341022
4	Feed	235341102
44	Feed	235341182
15,1	BlinkStart	235341274
15,1	BlinkEnd	235352753
1	0DropFeed	235352833
15	NoFeedAbort	235352914
5	BlinkStart	235362928
5	BlinkEnd	235368395
5	NoFeedLowProb	235368475
2,40	BlinkStart	235368500
2,40	BlinkEnd	235372488
2	Feed	235372569
40	Feed	235372650
5	BlinkStart	235372755
5	BlinkEnd	235382716
5	NoFeedLowProb	235382796
2,40	BlinkStart	235382824
2,40	BlinkEnd	235385845
2	Feed	235385925
40	Feed	235386005
5	BlinkStart	235386111
5	BlinkEnd	235396914
5	NoFeedLowProb	235396994
2,40	BlinkStart	235397025
2,40	BlinkEnd	235399864
2	Feed	235399944
40	Feed	235400024
30,5	BlinkStart	235400118
30,5	BlinkEnd	235409610
5	0DropFeed	235409690
30	Feed	235409770
2,40,8,56	BlinkStart	235409881
2,40,8,56	BlinkEnd	235412690
2	Feed	235412770
40	Feed	235412850
29,5	BlinkStart	235412946
29,5	BlinkEnd	235421583
5	0DropFeed	235421663
29	Feed	235421743
2,40,8,56	BlinkStart	235421861
2,40,8,56	BlinkEnd	235424289
2	Feed	235424369
40	Feed	235424449
28,5	BlinkStart	235424537
28,5	BlinkEnd	235433200
5	0DropFeed	235433280
28	Feed	235433360
2,40,8,56	BlinkStart	235433473
2,40,8,56	BlinkEnd	235436806
8	Feed	235436887
56	Feed	235436967
27,5	BlinkStart	235437053
27,5	BlinkEnd	235449199
5	0DropFeed	235449279
27	Feed	235449359
2,40,8,56	BlinkStart	235449472
2,40,8,56	BlinkEnd	235452267
8	Feed	235452347
56	Feed	235452427
26,5	BlinkStart	235452536
26,5	BlinkEnd	235463639
5	0DropFeed	235463719
26	Feed	235463800
2,40,8,56	BlinkStart	235463886
2,40,8,56	BlinkEnd	235466526
8	Feed	235466607
56	Feed	235466687
25,5	BlinkStart	235466773
25,5	BlinkEnd	235479522
5	0DropFeed	235479602
25	Feed	235479683
2,40,8,56	BlinkStart	235479787
2,40,8,56	BlinkEnd	235483192
8	Feed	235483272
56	Feed	235483352
24,5	BlinkStart	235483509
24,5	BlinkEnd	235495947
5	0DropFeed	235496027
24	NoFeedAbort	235496108
1	BlinkStart	235506205
1	BlinkEnd	235508406
1	NoFeedLowProb	235508487
6,47	BlinkStart	235508595
6,47	BlinkEnd	235512011
6	Feed	235512091
47	Feed	235512171
1	BlinkStart	235512324
1	BlinkEnd	235518810
1	NoFeedLowProb	235518890
6,47	BlinkStart	235518990
6,47	BlinkEnd	235522180
6	Feed	235522260
47	Feed	235522340
1	BlinkStart	235522492
1	BlinkEnd	235528377
1	NoFeedLowProb	235528457
6,47	BlinkStart	235528535
6,47	BlinkEnd	235533671
6	Feed	235533751
47	Feed	235533831
21,1	BlinkStart	235533988
21,1	BlinkEnd	235539868
1	0DropFeed	235539948
21	Feed	235540028
6,47,4,44	BlinkStart	235540195
6,47,4,44	BlinkEnd	235544562
6	Feed	235544642
47	Feed	235544722
20,1	BlinkStart	235544896
20,1	BlinkEnd	235550159
1	0DropFeed	235550239
20	Feed	235550319
6,47,4,44	BlinkStart	235550477
6,47,4,44	BlinkEnd	235553829
6	Feed	235553909
47	Feed	235553990
19,1	BlinkStart	235554134
19,1	BlinkEnd	235559182
1	0DropFeed	235559262
19	Feed	235559342
6,47,4,44	BlinkStart	235559516
6,47,4,44	BlinkEnd	235561889
4	Feed	235561969
44	Feed	235562050
18,1	BlinkStart	235562204
18,1	BlinkEnd	235572478
1	0DropFeed	235572558
18	Feed	235572638
6,47,4,44	BlinkStart	235572820
6,47,4,44	BlinkEnd	235575126
4	Feed	235575206
44	Feed	235575286
17,1	BlinkStart	235575444
17,1	BlinkEnd	235599432
1	0DropFeed	235599512
17	Feed	235599592
6,47,4,44	BlinkStart	235599741
6,47,4,44	BlinkEnd	235602261
6	Feed	235602341
47	Feed	235602421
16,1	BlinkStart	235602576
16,1	BlinkEnd	235607802
1	0DropFeed	235607883
16	Feed	235607963
6,47,4,44	BlinkStart	235608125
6,47,4,44	BlinkEnd	235610745
6	Feed	235610825
47	Feed	235610905
14,1	BlinkStart	235611103
14,1	BlinkEnd	235617844
1	0DropFeed	235617924
14	NoFeedAbort	235618004
5	BlinkStart	235628065
5	BlinkEnd	235636073
5	NoFeedLowProb	235636153
2,37	BlinkStart	235636261
2,37	BlinkEnd	235639322
2	Feed	235639402
37	Feed	235639482
5	BlinkStart	235639622
5	BlinkEnd	235646483
5	NoFeedLowProb	235646563
2,37	BlinkStart	235646648
2,37	BlinkEnd	235649370
2	Feed	235649450
37	Feed	235649531
5	BlinkStart	235649701
5	BlinkEnd	235655146
5	NoFeedLowProb	235655226
2,37	BlinkStart	235655333
2,37	BlinkEnd	235659479
2	Feed	235659559
37	Feed	235659639
25,5	BlinkStart	235659816
25,5	BlinkEnd	235665494
5	0DropFeed	235665574
25	Feed	235665654
2,37,8,52	BlinkStart	235665802
2,37,8,52	BlinkEnd	235669105
2	Feed	235669185
37	Feed	235669265
23,5	BlinkStart	235669431
23,5	BlinkEnd	235674641
5	0DropFeed	235674721
23	NoFeedAbort	235674801
1	BlinkStart	235684881
1	BlinkEnd	235697924
1	NoFeedLowProb	235698004
6,48	BlinkStart	235698115
6,48	BlinkEnd	235701119
6	Feed	235701199
48	Feed	235701279
1	BlinkStart	235701423
1	BlinkEnd	235706647
1	NoFeedLowProb	235706727
6,48	BlinkStart	235706837
6,48	BlinkEnd	235709354
6	Feed	235709434
48	Feed	235709514
1	BlinkStart	235709657
1	BlinkEnd	235715433
1	NoFeedLowProb	235715513
6,48	BlinkStart	235715585
6,48	BlinkEnd	235718141
6	Feed	235718222
48	Feed	235718302
16,1	BlinkStart	235718484
16,1	BlinkEnd	235723977
1	0DropFeed	235724057
16	Feed	235724137
6,48,4,44	BlinkStart	235724297
6,48,4,44	BlinkEnd	235726683
