Sunday, December 20, 2020	11:02:12 AM	Game1.txt	923853176
Cued	Now	923865346
9	BlinkStart	923865405
9	BlinkEnd	924089521
23,5	BlinkStart	924089631
23,5	BlinkEnd	924099371
5	0DropFeed	924099451
23	NoFeedAbort	924099532
1	BlinkStart	924109568
1	BlinkEnd	924119289
1	NoFeedLowProb	924119370
4,43	BlinkStart	924119406
4,43	BlinkEnd	924123634
4	Feed	924123714
43	Feed	924123794
1	BlinkStart	924123881
1	BlinkEnd	924131930
1	NoFeedLowProb	924132010
4,45	BlinkStart	924132024
4,45	BlinkEnd	924134797
4	Feed	924134877
45	Feed	924134957
1	BlinkStart	924135045
1	BlinkEnd	924146493
1	NoFeedLowProb	924146573
4,46	BlinkStart	924146606
4,46	BlinkEnd	924149201
4	Feed	924149282
46	Feed	924149362
21,1	BlinkStart	924149481
21,1	BlinkEnd	924162669
1	0DropFeed	924162749
21	Feed	924162830
6,4	BlinkStart	924162919
6,4	BlinkEnd	924165212
4	0DropFeed	924165292
20,1	BlinkStart	924165395
20,1	BlinkEnd	924182521
1	0DropFeed	924182601
20	Feed	924182681
4,46,6	BlinkStart	924182778
4,46,6	BlinkEnd	924185463
4	Feed	924185543
46	Feed	924185623
19,1	BlinkStart	924185715
19,1	BlinkEnd	924198430
1	0DropFeed	924198510
19	Feed	924198591
4,45,6	BlinkStart	924198689
4,45,6	BlinkEnd	924201035
4	Feed	924201115
45	Feed	924201195
18,1	BlinkStart	924201294
18,1	BlinkEnd	924211129
1	0DropFeed	924211209
18	Feed	924211290
4,45,6,47	BlinkStart	924211399
4,45,6,47	BlinkEnd	924214203
4	Feed	924214284
45	Feed	924214364
17,1	BlinkStart	924214451
17,1	BlinkEnd	924223362
1	0DropFeed	924223442
17	Feed	924223522
4,43,6,48	BlinkStart	924223635
4,43,6,48	BlinkEnd	924226101
4	Feed	924226181
43	Feed	924226261
16,1	BlinkStart	924226357
16,1	BlinkEnd	924234322
1	0DropFeed	924234402
16	Feed	924234483
4,43,6,49	BlinkStart	924234595
4,43,6,49	BlinkEnd	924238265
6	Feed	924238345
49	Feed	924238426
14,1	BlinkStart	924238525
14,1	BlinkEnd	924247022
1	0DropFeed	924247102
14	NoFeedAbort	924247182
5	BlinkStart	924257215
5	BlinkEnd	924260725
5	NoFeedLowProb	924260805
2,37	BlinkStart	924260841
2,37	BlinkEnd	924263732
2	Feed	924263813
37	Feed	924263893
5	BlinkStart	924263986
5	BlinkEnd	924268612
5	NoFeedLowProb	924268692
2	BlinkStart	924268720
2	BlinkEnd	924271754
2	0DropFeed	924271835
5	BlinkStart	924271933
5	BlinkEnd	924279907
5	NoFeedLowProb	924279988
2,40	BlinkStart	924280021
2,40	BlinkEnd	924290468
2	Feed	924290548
40	Feed	924290629
30,5	BlinkStart	924290722
30,5	BlinkEnd	924298564
5	0DropFeed	924298644
30	Feed	924298724
2,40,8,52	BlinkStart	924298831
2,40,8,52	BlinkEnd	924301497
2	Feed	924301577
40	Feed	924301657
29,5	BlinkStart	924301844
29,5	BlinkEnd	924309518
5	0DropFeed	924309598
29	Feed	924309678
2,37,8	BlinkStart	924309843
2,37,8	BlinkEnd	924312394
2	Feed	924312474
37	Feed	924312554
28,5	BlinkStart	924312703
28,5	BlinkEnd	924318408
5	0DropFeed	924318488
28	Feed	924318568
2,37,8,52	BlinkStart	924318723
2,37,8,52	BlinkEnd	924321416
8	Feed	924321496
52	Feed	924321576
27,5	BlinkStart	924321747
27,5	BlinkEnd	924325894
5	0DropFeed	924325974
