Tuesday, December 22, 2020	10:57:07 AM	Game1.txt	1096349035
Cued	Now	1096371141
9	BlinkStart	1096371169
9	BlinkEnd	1096572451
23,5	BlinkStart	1096572545
23,5	BlinkEnd	1096576847
5	0DropFeed	1096576927
23	NoFeedAbort	1096577007
1	BlinkStart	1096587026
1	BlinkEnd	1096594656
1	NoFeedLowProb	1096594736
6,48	BlinkStart	1096594768
6,48	BlinkEnd	1096600319
6	Feed	1096600399
48	Feed	1096600479
1	BlinkStart	1096600575
1	BlinkEnd	1096615896
1	NoFeedLowProb	1096615976
6,50	BlinkStart	1096616008
6,50	BlinkEnd	1096621611
6	Feed	1096621691
50	Feed	1096621771
1	BlinkStart	1096621880
1	BlinkEnd	1096638277
1	NoFeedLowProb	1096638357
6,51	BlinkStart	1096638388
6,51	BlinkEnd	1096642849
6	Feed	1096642930
51	Feed	1096643010
21,1	BlinkStart	1096643115
21,1	BlinkEnd	1096655791
1	0DropFeed	1096655871
21	Feed	1096655951
6,48,4,44	BlinkStart	1096656053
6,48,4,44	BlinkEnd	1096659516
6	Feed	1096659596
48	Feed	1096659676
20,1	BlinkStart	1096659785
20,1	BlinkEnd	1096667519
1	0DropFeed	1096667599
20	Feed	1096667679
6,51,4,43	BlinkStart	1096667766
6,51,4,43	BlinkEnd	1096671007
6	Feed	1096671087
51	Feed	1096671167
19,1	BlinkStart	1096671264
19,1	BlinkEnd	1096682920
1	0DropFeed	1096683000
19	Feed	1096683080
6,48,4,45	BlinkStart	1096683197
6,48,4,45	BlinkEnd	1096685988
6	Feed	1096686068
48	Feed	1096686148
18,1	BlinkStart	1096686265
18,1	BlinkEnd	1096695436
1	0DropFeed	1096695516
18	Feed	1096695596
6,48,4,43	BlinkStart	1096695717
6,48,4,43	BlinkEnd	1096698865
6	Feed	1096698945
48	Feed	1096699026
17,1	BlinkStart	1096699137
17,1	BlinkEnd	1096708009
1	0DropFeed	1096708090
17	Feed	1096708170
6,50,4,42	BlinkStart	1096708286
6,50,4,42	BlinkEnd	1096711138
6	Feed	1096711218
50	Feed	1096711298
16,1	BlinkStart	1096711414
16,1	BlinkEnd	1096722268
1	0DropFeed	1096722348
16	Feed	1096722428
6,51,4,44	BlinkStart	1096722528
6,51,4,44	BlinkEnd	1096725878
6	Feed	1096725958
51	Feed	1096726039
14,1	BlinkStart	1096726148
14,1	BlinkEnd	1096738573
1	0DropFeed	1096738653
14	NoFeedAbort	1096738733
5	BlinkStart	1096748750
5	BlinkEnd	1096753915
5	NoFeedLowProb	1096753996
8,55	BlinkStart	1096754026
8,55	BlinkEnd	1096756864
8	Feed	1096756945
55	Feed	1096757025
5	BlinkStart	1096757131
5	BlinkEnd	1096766429
5	NoFeedLowProb	1096766509
8,54	BlinkStart	1096766543
8,54	BlinkEnd	1096769628
8	Feed	1096769708
54	Feed	1096769788
5	BlinkStart	1096769886
5	BlinkEnd	1096780027
5	NoFeedLowProb	1096780107
8,52	BlinkStart	1096780135
8,52	BlinkEnd	1096782795
8	Feed	1096782875
52	Feed	1096782955
30,5	BlinkStart	1096783052
30,5	BlinkEnd	1096788932
5	0DropFeed	1096789012
30	Feed	1096789093
8,53,2,38	BlinkStart	1096789204
8,53,2,38	BlinkEnd	1096791760
8	Feed	1096791840
53	Feed	1096791920
29,5	BlinkStart	1096792104
29,5	BlinkEnd	1096798258
5	0DropFeed	1096798338
29	Feed	1096798418
8,52,2,37	BlinkStart	1096798588
8,52,2,37	BlinkEnd	1096801026
8	Feed	1096801106
52	Feed	1096801187
28,5	BlinkStart	1096801368
28,5	BlinkEnd	1096806741
5	0DropFeed	1096806821
28	Feed	1096806902
8,55,2	BlinkStart	1096807057
8,55,2	BlinkEnd	1096809689
2	0DropFeed	1096809769
27,5	BlinkStart	1096809924
27,5	BlinkEnd	1096819200
5	0DropFeed	1096819280
27	Feed	1096819360
8,55,2	BlinkStart	1096819511
8,55,2	BlinkEnd	1096822205
8	Feed	1096822285
55	Feed	1096822366
26,5	BlinkStart	1096822515
26,5	BlinkEnd	1096830340
5	0DropFeed	1096830420
26	Feed	1096830500
8,54,2,41	BlinkStart	1096830651
8,54,2,41	BlinkEnd	1096833153
8	Feed	1096833233
54	Feed	1096833314
25,5	BlinkStart	1096833474
25,5	BlinkEnd	1096840494
5	0DropFeed	1096840574
25	Feed	1096840654
8,55,2,40	BlinkStart	1096840813
8,55,2,40	BlinkEnd	1096843985
2	Feed	1096844065
40	Feed	1096844145
23,5	BlinkStart	1096844325
23,5	BlinkEnd	1096851806
5	0DropFeed	1096851886
23	NoFeedAbort	1096851966
1	BlinkStart	1096862032
1	BlinkEnd	1096864681
1	NoFeedLowProb	1096864761
4,44	BlinkStart	1096864853
4,44	BlinkEnd	1096867388
4	Feed	1096867468
44	Feed	1096867548
1	BlinkStart	1096867701
1	BlinkEnd	1096876714
1	NoFeedLowProb	1096876795
4,46	BlinkStart	1096876862
4,46	BlinkEnd	1096879602
4	Feed	1096879683
46	Feed	1096879763
1	BlinkStart	1096879930
1	BlinkEnd	1096890493
1	NoFeedLowProb	1096890573
4,42	BlinkStart	1096890662
4,42	BlinkEnd	1096893379
4	Feed	1096893459
42	Feed	1096893539
21,1	BlinkStart	1096893693
21,1	BlinkEnd	1096899515
1	0DropFeed	1096899595
21	Feed	1096899675
4,43,6,48	BlinkStart	1096899862
4,43,6,48	BlinkEnd	1096902355
4	Feed	1096902435
43	Feed	1096902515
20,1	BlinkStart	1096902675
20,1	BlinkEnd	1096908903
1	0DropFeed	1096908983
20	Feed	1096909063
4,45,6,50	BlinkStart	1096909227
4,45,6,50	BlinkEnd	1096911730
4	Feed	1096911810
45	Feed	1096911890
19,1	BlinkStart	1096912078
19,1	BlinkEnd	1096921838
1	0DropFeed	1096921918
19	Feed	1096921998
4,46,6,50	BlinkStart	1096922153
4,46,6,50	BlinkEnd	1096924788
4	Feed	1096924868
46	Feed	1096924948
18,1	BlinkStart	1096925100
18,1	BlinkEnd	1096935435
1	0DropFeed	1096935515
18	Feed	1096935595
4,44,6,51	BlinkStart	1096935757
4,44,6,51	BlinkEnd	1096938206
4	Feed	1096938287
44	Feed	1096938368
17,1	BlinkStart	1096938521
17,1	BlinkEnd	1096945846
1	0DropFeed	1096945926
17	Feed	1096946006
4,45,6,47	BlinkStart	1096946176
4,45,6,47	BlinkEnd	1096948611
4	Feed	1096948691
45	Feed	1096948772
16,1	BlinkStart	1096948948
16,1	BlinkEnd	1096957818
1	0DropFeed	1096957898
16	Feed	1096957978
4,45,6,49	BlinkStart	1096958143
4,45,6,49	BlinkEnd	1096961127
6	Feed	1096961207
49	Feed	1096961287
14,1	BlinkStart	1096961455
14,1	BlinkEnd	1096970391
1	0DropFeed	1096970471
14	NoFeedAbort	1096970551
5	BlinkStart	1096980634
5	BlinkEnd	1096983453
5	NoFeedLowProb	1096983533
8,53	BlinkStart	1096983634
8,53	BlinkEnd	1096986336
8	Feed	1096986416
53	Feed	1096986496
5	BlinkStart	1096986652
5	BlinkEnd	1096992171
5	NoFeedLowProb	1096992251
8,56	BlinkStart	1096992338
8,56	BlinkEnd	1096994879
8	Feed	1096994959
56	Feed	1096995039
5	BlinkStart	1096995205
5	BlinkEnd	1097006250
5	NoFeedLowProb	1097006330
8,54	BlinkStart	1097006405
8,54	BlinkEnd	1097008898
8	Feed	1097008979
54	Feed	1097009059
30,5	BlinkStart	1097009223
30,5	BlinkEnd	1097017261
5	0DropFeed	1097017341
30	Feed	1097017422
8,56,2,39	BlinkStart	1097017581
8,56,2,39	BlinkEnd	1097020329
8	Feed	1097020409
56	Feed	1097020489
29,5	BlinkStart	1097020658
29,5	BlinkEnd	1097029896
5	0DropFeed	1097029976
29	Feed	1097030057
8,52,2,40	BlinkStart	1097030207
8,52,2,40	BlinkEnd	1097032545
8	Feed	1097032625
52	Feed	1097032705
28,5	BlinkStart	1097032881
28,5	BlinkEnd	1097038019
5	0DropFeed	1097038099
28	Feed	1097038180
8,56,2,38	BlinkStart	1097038345
8,56,2,38	BlinkEnd	1097040906
8	Feed	1097040986
56	Feed	1097041067
27,5	BlinkStart	1097041224
27,5	BlinkEnd	1097050173
5	0DropFeed	1097050253
27	Feed	1097050333
8,55,2,37	BlinkStart	1097050478
8,55,2,37	BlinkEnd	1097052819
8	Feed	1097052899
55	Feed	1097052979
26,5	BlinkStart	1097053119
26,5	BlinkEnd	1097061543
5	0DropFeed	1097061623
26	Feed	1097061703
8,55,2,41	BlinkStart	1097061853
8,55,2,41	BlinkEnd	1097064190
8	Feed	1097064271
55	Feed	1097064352
25,5	BlinkStart	1097064496
25,5	BlinkEnd	1097073095
5	0DropFeed	1097073175
25	Feed	1097073255
8,54,2,38	BlinkStart	1097073416
8,54,2,38	BlinkEnd	1097076585
2	Feed	1097076665
38	Feed	1097076746
23,5	BlinkStart	1097076947
23,5	BlinkEnd	1097082600
5	0DropFeed	1097082680
23	NoFeedAbort	1097082760
1	BlinkStart	1097092825
1	BlinkEnd	1097099033
1	NoFeedLowProb	1097099113
4,46	BlinkStart	1097099198
4,46	BlinkEnd	1097102101
4	Feed	1097102181
46	Feed	1097102261
1	BlinkStart	1097102442
1	BlinkEnd	1097112630
1	NoFeedLowProb	1097112710
4,42	BlinkStart	1097112813
4,42	BlinkEnd	1097115511
4	Feed	1097115591
42	Feed	1097115671
1	BlinkStart	1097115830
1	BlinkEnd	1097121467
1	NoFeedLowProb	1097121547
4,42	BlinkStart	1097121616
4,42	BlinkEnd	1097124839
4	Feed	1097124919
42	Feed	1097124999
21,1	BlinkStart	1097125167
21,1	BlinkEnd	1097130432
1	0DropFeed	1097130512
21	Feed	1097130592
4,43,6,49	BlinkStart	1097130756
4,43,6,49	BlinkEnd	1097133380
4	Feed	1097133460
43	Feed	1097133540
20,1	BlinkStart	1097133721
20,1	BlinkEnd	1097140240
1	0DropFeed	1097140320
20	Feed	1097140400
4,46,6,50	BlinkStart	1097140569
4,46,6,50	BlinkEnd	1097143189
4	Feed	1097143269
46	Feed	1097143349
19,1	BlinkStart	1097143507
19,1	BlinkEnd	1097155163
1	0DropFeed	1097155243
19	Feed	1097155323
4,44,6,49	BlinkStart	1097155469
4,44,6,49	BlinkEnd	1097157871
4	Feed	1097157951
44	Feed	1097158031
18,1	BlinkStart	1097158238
18,1	BlinkEnd	1097165636
1	0DropFeed	1097165716
18	Feed	1097165796
4,46,6,50	BlinkStart	1097165947
4,46,6,50	BlinkEnd	1097168518
4	Feed	1097168598
46	Feed	1097168678
17,1	BlinkStart	1097168846
17,1	BlinkEnd	1097178987
1	0DropFeed	1097179067
17	Feed	1097179147
4,42,6,51	BlinkStart	1097179324
4,42,6,51	BlinkEnd	1097182537
4	Feed	1097182617
42	Feed	1097182697
16,1	BlinkStart	1097182872
16,1	BlinkEnd	1097189104
1	0DropFeed	1097189184
16	Feed	1097189264
4,42,6,49	BlinkStart	1097189416
4,42,6,49	BlinkEnd	1097193005
4	Feed	1097193085
42	Feed	1097193165
14,1	BlinkStart	1097193322
14,1	BlinkEnd	1097198601
1	0DropFeed	1097198681
14	NoFeedAbort	1097198761
5	BlinkStart	1097208843
5	BlinkEnd	1097210874
5	NoFeedLowProb	1097210954
2,40	BlinkStart	1097211042
2,40	BlinkEnd	1097213829
2	Feed	1097213909
40	Feed	1097213990
5	BlinkStart	1097214164
5	BlinkEnd	1097222184
5	NoFeedLowProb	1097222265
2,40	BlinkStart	1097222354
2,40	BlinkEnd	1097224953
2	Feed	1097225033
40	Feed	1097225114
5	BlinkStart	1097225269
5	BlinkEnd	1097233437
5	NoFeedLowProb	1097233517
2	BlinkStart	1097233628
2	BlinkEnd	1097236023
2	0DropFeed	1097236103
30,5	BlinkStart	1097236280
30,5	BlinkEnd	1097245108
5	0DropFeed	1097245188
30	Feed	1097245268
2,38,8,55	BlinkStart	1097245432
2,38,8,55	BlinkEnd	1097247935
2	Feed	1097248016
38	Feed	1097248096
29,5	BlinkStart	1097248283
29,5	BlinkEnd	1097254195
5	0DropFeed	1097254276
29	Feed	1097254356
2,41,8	BlinkStart	1097254512
2,41,8	BlinkEnd	1097257083
8	0DropFeed	1097257163
28,5	BlinkStart	1097257334
28,5	BlinkEnd	1097261714
5	0DropFeed	1097261794
28	Feed	1097261874
2,37,8,54	BlinkStart	1097262052
2,37,8,54	BlinkEnd	1097264722
8	Feed	1097264802
54	Feed	1097264882
27,5	BlinkStart	1097265028
27,5	BlinkEnd	1097273326
5	0DropFeed	1097273406
27	Feed	1097273486
2,41,8,54	BlinkStart	1097273650
2,41,8,54	BlinkEnd	1097276214
8	Feed	1097276294
54	Feed	1097276375
26,5	BlinkStart	1097276532
26,5	BlinkEnd	1097284697
5	0DropFeed	1097284777
26	Feed	1097284857
2,37,8,53	BlinkStart	1097285043
2,37,8,53	BlinkEnd	1097287707
8	Feed	1097287787
53	Feed	1097287867
25,5	BlinkStart	1097288042
25,5	BlinkEnd	1097295105
5	0DropFeed	1097295185
25	Feed	1097295265
8,2	BlinkStart	1097295418
8,2	BlinkEnd	1097298656
8	0DropFeed	1097298736
23,5	BlinkStart	1097298909
23,5	BlinkEnd	1097303531
5	0DropFeed	1097303612
23	NoFeedAbort	1097303692
1	BlinkStart	1097313763
1	BlinkEnd	1097315140
1	NoFeedLowProb	1097315220
6	BlinkStart	1097315300
6	BlinkEnd	1097318090
6	0DropFeed	1097318170
1	BlinkStart	1097318369
1	BlinkEnd	1097327055
1	NoFeedLowProb	1097327135
6	BlinkStart	1097327243
6	BlinkEnd	1097330423
6	0DropFeed	1097330503
1	BlinkStart	1097330682
1	BlinkEnd	1097343250
1	NoFeedLowProb	1097343330
6,50	BlinkStart	1097343411
6,50	BlinkEnd	1097346549
6	Feed	1097346629
50	Feed	1097346710
21,1	BlinkStart	1097346901
21,1	BlinkEnd	1097359604
1	0DropFeed	1097359684
21	Feed	1097359765
6,47,4,45	BlinkStart	1097359941
6,47,4,45	BlinkEnd	1097362612
4	Feed	1097362693
45	Feed	1097362774
20,1	BlinkStart	1097362952
20,1	BlinkEnd	1097374163
1	0DropFeed	1097374243
20	Feed	1097374323
6,49,4,42	BlinkStart	1097374483
6,49,4,42	BlinkEnd	1097377053
4	Feed	1097377133
42	Feed	1097377213
19,1	BlinkStart	1097377376
19,1	BlinkEnd	1097382888
1	0DropFeed	1097382969
19	Feed	1097383049
6,50,4,46	BlinkStart	1097383216
6,50,4,46	BlinkEnd	1097385957
4	Feed	1097386037
46	Feed	1097386117
18,1	BlinkStart	1097386276
