Monday, January 20, 2020	6:52:18 PM	Game1.txt	426293724
cued	now	426300863
6	BlinkStart	426300944
6	BlinkEnd	426303646
0	NoFeed	426303726
4	BlinkStart	426303957
4	BlinkEnd	426320592
4	Feed	426320672
6	BlinkStart	426320902
6	BlinkEnd	426327676
6	Feed	426327756
4	BlinkStart	426327986
4	BlinkEnd	426333561
4	Feed	426333642
6	BlinkStart	426333872
6	BlinkEnd	426341118
6	Feed	426341198
4	BlinkStart	426341428
4	BlinkEnd	426346933
4	Feed	426347014
8	BlinkStart	426347244
8	BlinkEnd	426357824
8	Feed	426357904
2	BlinkStart	426358134
2	BlinkEnd	426365586
2	Feed	426365666
6	BlinkStart	426365896
6	BlinkEnd	426374008
6	Feed	426374088
4	BlinkStart	426374318
4	BlinkEnd	426379745
4	Feed	426379825
2	BlinkStart	426380055
2	BlinkEnd	426385897
2	Feed	426385977
6	BlinkStart	426386207
6	BlinkEnd	426393852
6	Feed	426393932
8	BlinkStart	426394163
8	BlinkEnd	426400274
8	Feed	426400354
4	BlinkStart	426400584
4	BlinkEnd	426406883
4	Feed	426406963
2	BlinkStart	426407193
2	BlinkEnd	426412831
2	Feed	426412911
8	BlinkStart	426413141
8	BlinkEnd	426420054
8	Feed	426420134
4	BlinkStart	426420365
4	BlinkEnd	426426140
4	Feed	426426220
6	BlinkStart	426426450
6	BlinkEnd	426433026
6	Feed	426433107
8	BlinkStart	426433337
8	BlinkEnd	426440447
8	Feed	426440527
6	BlinkStart	426440757
6	BlinkEnd	426446730
6	Feed	426446810
4	BlinkStart	426447040
4	BlinkEnd	426452682
4	Feed	426452762
2	BlinkStart	426452992
2	BlinkEnd	426459764
2	Feed	426459844
6	BlinkStart	426460074
6	BlinkEnd	426466973
6	Feed	426467053
2	BlinkStart	426467283
2	BlinkEnd	426476739
2	Feed	426476819
6	BlinkStart	426477049
6	BlinkEnd	426485491
6	Feed	426485571
2	BlinkStart	426485801
2	BlinkEnd	426493720
2	Feed	426493801
8	BlinkStart	426494031
8	BlinkEnd	426501129
8	Feed	426501209
2	BlinkStart	426501440
2	BlinkEnd	426506951
2	Feed	426507031
8	BlinkStart	426507262
8	BlinkEnd	426512439
8	Feed	426512520
4	BlinkStart	426512751
4	BlinkEnd	426519112
4	Feed	426519192
8	BlinkStart	426519422
8	BlinkEnd	426527672
8	Feed	426527752
6	BlinkStart	426527982
6	BlinkEnd	426536227
6	Feed	426536307
2	BlinkStart	426536537
2	BlinkEnd	426543646
2	Feed	426543726
4	BlinkStart	426543957
4	BlinkEnd	426550535
4	Feed	426550615
8	BlinkStart	426550846
8	BlinkEnd	426560081
8	Feed	426560161
6	BlinkStart	426560391
6	BlinkEnd	426567308
6	Feed	426567388
2	BlinkStart	426567618
2	BlinkEnd	426574253
2	Feed	426574333
4	BlinkStart	426574563
4	BlinkEnd	426583689
4	Feed	426583769
6	BlinkStart	426584000
6	BlinkEnd	426592703
6	Feed	426592783
2	BlinkStart	426593013
2	BlinkEnd	426603000
2	Feed	426603080
4	BlinkStart	426603310
