Saturday, January 25, 2020	2:37:07 PM	Game1.txt	11612916
cued	now	11643176
7	BlinkStart	11643256
7	BlinkEnd	11815383
0	NoFeedLowProb	11815463
5	BlinkStart	11815693
5	BlinkEnd	11821974
5	NoFeedLowProb	11822054
8	BlinkStart	11822285
8	BlinkEnd	11825519
8	Feed	11825600
5	BlinkStart	11825830
5	BlinkEnd	11842624
5	NoFeedLowProb	11842704
2	BlinkStart	11842934
2	BlinkEnd	11845899
2	Feed	11845979
5	BlinkStart	11846209
5	BlinkEnd	11852245
5	NoFeedLowProb	11852325
8	BlinkStart	11852555
8	BlinkEnd	11855261
8	Feed	11855341
5	BlinkStart	11855571
5	BlinkEnd	11872438
5	NoFeedLowProb	11872518
2	BlinkStart	11872748
2	BlinkEnd	11875579
2	Feed	11875659
5	BlinkStart	11875890
5	BlinkEnd	11881463
5	NoFeedLowProb	11881543
8	BlinkStart	11881773
8	BlinkEnd	11884595
8	Feed	11884675
5	BlinkStart	11884907
5	BlinkEnd	11902383
5	NoFeedLowProb	11902463
2	BlinkStart	11902694
2	BlinkEnd	11905584
2	Feed	11905664
5	BlinkStart	11905894
5	BlinkEnd	11912000
5	NoFeedLowProb	11912080
82	BlinkStart	11912310
82	BlinkEnd	11915815
8	Feed	11915895
5	BlinkStart	11916126
5	BlinkEnd	11931734
5	NoFeedLowProb	11931814
82	BlinkStart	11932045
82	BlinkEnd	11935868
2	Feed	11935948
5	BlinkStart	11936180
5	BlinkEnd	11941749
5	NoFeedLowProb	11941830
82	BlinkStart	11942060
82	BlinkEnd	11945224
8	Feed	11945304
5	BlinkStart	11945535
5	BlinkEnd	11961531
5	NoFeedLowProb	11961611
82	BlinkStart	11961841
82	BlinkEnd	11965407
2	Feed	11965487
5	BlinkStart	11965718
5	BlinkEnd	11971161
5	NoFeedLowProb	11971242
82	BlinkStart	11971472
82	BlinkEnd	11974366
8	Feed	11974446
5	BlinkStart	11974676
5	BlinkEnd	11991407
5	NoFeedLowProb	11991487
82	BlinkStart	11991718
82	BlinkEnd	11994819
8	Feed	11994899
5	BlinkStart	11995131
5	BlinkEnd	12012398
5	NoFeedLowProb	12012478
1	BlinkStart	12012708
1	BlinkEnd	12016475
1	NoFeedLowProb	12016555
4	BlinkStart	12016786
4	BlinkEnd	12019883
4	Feed	12019963
1	BlinkStart	12020193
1	BlinkEnd	12035659
1	NoFeedLowProb	12035739
6	BlinkStart	12035970
6	BlinkEnd	12039130
6	Feed	12039210
1	BlinkStart	12039440
1	BlinkEnd	12046692
1	NoFeedLowProb	12046772
4	BlinkStart	12047002
4	BlinkEnd	12050241
4	Feed	12050321
1	BlinkStart	12050552
1	BlinkEnd	12066209
1	NoFeedLowProb	12066289
6	BlinkStart	12066519
6	BlinkEnd	12069677
6	Feed	12069757
1	BlinkStart	12069987
1	BlinkEnd	12076240
1	NoFeedLowProb	12076320
4	BlinkStart	12076550
4	BlinkEnd	12079655
4	Feed	12079735
1	BlinkStart	12079967
1	BlinkEnd	12095558
1	NoFeedLowProb	12095638
6	BlinkStart	12095869
6	BlinkEnd	12099028
6	Feed	12099108
1	BlinkStart	12099339
1	BlinkEnd	12105575
1	NoFeedLowProb	12105655
46	BlinkStart	12105885
46	BlinkEnd	12109182
4	Feed	12109263
1	BlinkStart	12109494
1	BlinkEnd	12124422
1	NoFeedLowProb	12124502
46	BlinkStart	12124733
46	BlinkEnd	12128563
6	Feed	12128643
1	BlinkStart	12128873
1	BlinkEnd	12134584
1	NoFeedLowProb	12134664
46	BlinkStart	12134894
46	BlinkEnd	12138602
6	Feed	12138683
1	BlinkStart	12138913
1	BlinkEnd	12146090
1	NoFeedLowProb	12146170
46	BlinkStart	12146400
46	BlinkEnd	12149689
4	Feed	12149770
1	BlinkStart	12150000
1	BlinkEnd	12165464
1	NoFeedLowProb	12165545
46	BlinkStart	12165775
46	BlinkEnd	12169805
6	Feed	12169885
1	BlinkStart	12170116
1	BlinkEnd	12177442
1	NoFeedLowProb	12177522
46	BlinkStart	12177753
46	BlinkEnd	12181109
4	Feed	12181189
1	BlinkStart	12181419
1	BlinkEnd	12199087
1	NoFeedLowProb	12199167
5	BlinkStart	12199397
5	BlinkEnd	12203567
5	NoFeedLowProb	12203647
2	BlinkStart	12203877
2	BlinkEnd	12207375
2	Feed	12207455
5	BlinkStart	12207686
5	BlinkEnd	12222952
5	NoFeedLowProb	12223032
8	BlinkStart	12223263
8	BlinkEnd	12227287
8	Feed	12227368
5	BlinkStart	12227598
5	BlinkEnd	12254095
5	NoFeedLowProb	12254175
2	BlinkStart	12254406
2	BlinkEnd	12257911
2	Feed	12257992
5	BlinkStart	12258223
5	BlinkEnd	12273425
5	NoFeedLowProb	12273505
8	BlinkStart	12273736
8	BlinkEnd	12277893
8	Feed	12277974
5	BlinkStart	12278204
5	BlinkEnd	12284841
5	NoFeedLowProb	12284921
2	BlinkStart	12285153
2	BlinkEnd	12289118
2	Feed	12289198
5	BlinkStart	12289428
5	BlinkEnd	12304020
5	NoFeedLowProb	12304101
8	BlinkStart	12304331
8	BlinkEnd	12308634
8	Feed	12308715
5	BlinkStart	12308946
5	BlinkEnd	12315850
5	NoFeedLowProb	12315930
28	BlinkStart	12316160
28	BlinkEnd	12320339
2	Feed	12320419
5	BlinkStart	12320650
5	BlinkEnd	12336038
5	NoFeedLowProb	12336118
28	BlinkStart	12336348
28	BlinkEnd	12341665
2	Feed	12341745
5	BlinkStart	12341975
5	BlinkEnd	12357967
5	NoFeedLowProb	12358047
28	BlinkStart	12358278
28	BlinkEnd	12363116
8	Feed	12363196
5	BlinkStart	12363426
5	BlinkEnd	12370263
5	NoFeedLowProb	12370343
28	BlinkStart	12370573
28	BlinkEnd	12376020
2	Feed	12376100
5	BlinkStart	12376330
5	BlinkEnd	12393732
5	NoFeedLowProb	12393812
28	BlinkStart	12394042
28	BlinkEnd	12398404
2	Feed	12398484
5	BlinkStart	12398714
5	BlinkEnd	12426746
5	NoFeedLowProb	12426826
28	BlinkStart	12427058
28	BlinkEnd	12430752
8	Feed	12430832
5	BlinkStart	12431063
5	BlinkEnd	12437646
5	NoFeedLowProb	12437726
1	BlinkStart	12437957
1	BlinkEnd	12443594
1	NoFeedLowProb	12443674
6	BlinkStart	12443904
6	BlinkEnd	12447459
6	Feed	12447540
1	BlinkStart	12447771
1	BlinkEnd	12468187
1	NoFeedLowProb	12468267
4	BlinkStart	12468497
4	BlinkEnd	12472596
4	Feed	12472676
1	BlinkStart	12472907
1	BlinkEnd	12481626
1	NoFeedLowProb	12481706
6	BlinkStart	12481936
6	BlinkEnd	12486306
6	Feed	12486386
1	BlinkStart	12486617
1	BlinkEnd	12505880
1	NoFeedLowProb	12505960
4	BlinkStart	12506191
4	BlinkEnd	12510431
4	Feed	12510511
1	BlinkStart	12510741
1	BlinkEnd	12519246
1	NoFeedLowProb	12519327
6	BlinkStart	12519557
6	BlinkEnd	12524541
6	Feed	12524622
1	BlinkStart	12524853
1	BlinkEnd	12546190
1	NoFeedLowProb	12546270
4	BlinkStart	12546500
4	BlinkEnd	12550942
4	Feed	12551022
1	BlinkStart	12551252
1	BlinkEnd	12559834
1	NoFeedLowProb	12559914
64	BlinkStart	12560145
64	BlinkEnd	12565447
6	Feed	12565527
1	BlinkStart	12565758
1	BlinkEnd	12585830
1	NoFeedLowProb	12585910
64	BlinkStart	12586141
64	BlinkEnd	12591375
6	Feed	12591455
1	BlinkStart	12591686
1	BlinkEnd	12611699
1	NoFeedLowProb	12611779
64	BlinkStart	12612010
64	BlinkEnd	12616842
4	Feed	12616922
1	BlinkStart	12617153
1	BlinkEnd	12625864
1	NoFeedLowProb	12625945
64	BlinkStart	12626175
64	BlinkEnd	12631476
6	Feed	12631556
1	BlinkStart	12631787
1	BlinkEnd	12653675
1	NoFeedLowProb	12653755
64	BlinkStart	12653986
64	BlinkEnd	12658615
4	Feed	12658695
1	BlinkStart	12658925
1	BlinkEnd	12667104
1	NoFeedLowProb	12667184
64	BlinkStart	12667414
64	BlinkEnd	12672387
4	Feed	12672468
1	BlinkStart	12672699
1	BlinkEnd	12681950
1	NoFeedLowProb	12682030
5	BlinkStart	12682260
5	BlinkEnd	12687826
5	NoFeedLowProb	12687906
2	BlinkStart	12688136
2	BlinkEnd	12691965
2	Feed	12692045
5	BlinkStart	12692277
5	BlinkEnd	12702799
5	NoFeedLowProb	12702879
8	BlinkStart	12703109
8	BlinkEnd	12709879
8	Feed	12709959
5	BlinkStart	12710190
5	BlinkEnd	13176193
0	NoFeedLowProb	13176273
