Wednesday, January 29, 2020	3:35:11 PM	Game1.txt	360696875
cued	now	360706523
7	BlinkStart	360706603
7	BlinkEnd	362043894
0	NoFeedLowProb	362043974
5	BlinkStart	362044204
5	BlinkEnd	362048642
5	NoFeedLowProb	362048723
8	BlinkStart	362048954
8	BlinkEnd	362052046
8	Feed	362052126
5	BlinkStart	362052356
5	BlinkEnd	362070155
5	NoFeedLowProb	362070235
2	BlinkStart	362070465
2	BlinkEnd	362073767
2	Feed	362073847
5	BlinkStart	362074077
5	BlinkEnd	362080921
5	NoFeedLowProb	362081001
8	BlinkStart	362081232
8	BlinkEnd	362084397
8	Feed	362084478
5	BlinkStart	362084710
5	BlinkEnd	362102308
5	NoFeedLowProb	362102388
2	BlinkStart	362102618
2	BlinkEnd	362105916
2	Feed	362105996
5	BlinkStart	362106227
5	BlinkEnd	362112409
5	NoFeedLowProb	362112489
8	BlinkStart	362112720
8	BlinkEnd	362115679
8	Feed	362115759
5	BlinkStart	362115989
5	BlinkEnd	362133188
5	NoFeedLowProb	362133268
2	BlinkStart	362133498
2	BlinkEnd	362136870
2	Feed	362136950
5	BlinkStart	362137180
5	BlinkEnd	362143818
5	NoFeedLowProb	362143898
82	BlinkStart	362144128
82	BlinkEnd	362147560
8	Feed	362147640
5	BlinkStart	362147871
5	BlinkEnd	362163468
5	NoFeedLowProb	362163548
82	BlinkStart	362163778
82	BlinkEnd	362167682
8	Feed	362167762
5	BlinkStart	362167992
5	BlinkEnd	362184659
5	NoFeedLowProb	362184739
82	BlinkStart	362184969
82	BlinkEnd	362188274
8	Feed	362188355
5	BlinkStart	362188585
5	BlinkEnd	362205043
5	NoFeedLowProb	362205123
82	BlinkStart	362205353
82	BlinkEnd	362208658
8	Feed	362208738
5	BlinkStart	362208970
5	BlinkEnd	362226038
5	NoFeedLowProb	362226119
82	BlinkStart	362226349
82	BlinkEnd	362229974
8	Feed	362230054
5	BlinkStart	362230284
5	BlinkEnd	362248701
5	NoFeedLowProb	362248781
82	BlinkStart	362249013
82	BlinkEnd	362252164
8	Feed	362252244
5	BlinkStart	362252474
5	BlinkEnd	362269210
5	NoFeedLowProb	362269290
1	BlinkStart	362269520
1	BlinkEnd	362277168
1	NoFeedLowProb	362277248
4	BlinkStart	362277478
4	BlinkEnd	362281305
4	Feed	362281385
1	BlinkStart	362281616
1	BlinkEnd	362297953
1	NoFeedLowProb	362298033
6	BlinkStart	362298264
6	BlinkEnd	362301560
6	Feed	362301640
1	BlinkStart	362301870
1	BlinkEnd	362310315
1	NoFeedLowProb	362310396
4	BlinkStart	362310626
4	BlinkEnd	362313865
4	Feed	362313945
1	BlinkStart	362314175
1	BlinkEnd	362329633
1	NoFeedLowProb	362329713
6	BlinkStart	362329943
6	BlinkEnd	362333245
6	Feed	362333325
1	BlinkStart	362333555
1	BlinkEnd	362339393
1	NoFeedLowProb	362339473
4	BlinkStart	362339703
4	BlinkEnd	362343002
4	Feed	362343082
1	BlinkStart	362343312
1	BlinkEnd	362359115
1	NoFeedLowProb	362359195
6	BlinkStart	362359425
6	BlinkEnd	362362653
6	Feed	362362733
1	BlinkStart	362362964
1	BlinkEnd	362368745
1	NoFeedLowProb	362368825
46	BlinkStart	362369055
46	BlinkEnd	362372412
4	Feed	362372492
1	BlinkStart	362372723
1	BlinkEnd	362388256
1	NoFeedLowProb	362388336
46	BlinkStart	362388567
46	BlinkEnd	362392337
6	Feed	362392417
1	BlinkStart	362392647
1	BlinkEnd	362397745
1	NoFeedLowProb	362397825
46	BlinkStart	362398055
46	BlinkEnd	362401366
4	Feed	362401446
1	BlinkStart	362401677
1	BlinkEnd	362416665
1	NoFeedLowProb	362416746
46	BlinkStart	362416977
46	BlinkEnd	362420806
6	Feed	362420886
1	BlinkStart	362421116
1	BlinkEnd	362426151
1	NoFeedLowProb	362426231
46	BlinkStart	362426461
46	BlinkEnd	362429828
4	Feed	362429908
1	BlinkStart	362430139
1	BlinkEnd	362445541
1	NoFeedLowProb	362445621
46	BlinkStart	362445852
46	BlinkEnd	362467332
4	Feed	362467413
1	BlinkStart	362467643
1	BlinkEnd	362482438
1	NoFeedLowProb	362482519
5	BlinkStart	362482750
5	BlinkEnd	362486710
5	NoFeedLowProb	362486790
2	BlinkStart	362487021
2	BlinkEnd	362490459
2	Feed	362490539
5	BlinkStart	362490769
5	BlinkEnd	362508572
5	NoFeedLowProb	362508653
8	BlinkStart	362508883
8	BlinkEnd	362512379
8	Feed	362512459
5	BlinkStart	362512689
5	BlinkEnd	362523009
5	NoFeedLowProb	362523089
2	BlinkStart	362523320
2	BlinkEnd	362527222
2	Feed	362527302
5	BlinkStart	362527533
5	BlinkEnd	362542192
5	NoFeedLowProb	362542272
8	BlinkStart	362542504
8	BlinkEnd	362546136
8	Feed	362546216
5	BlinkStart	362546446
5	BlinkEnd	362553491
5	NoFeedLowProb	362553571
2	BlinkStart	362553801
2	BlinkEnd	362557564
2	Feed	362557645
5	BlinkStart	362557875
5	BlinkEnd	362572403
5	NoFeedLowProb	362572484
8	BlinkStart	362572714
8	BlinkEnd	362576282
8	Feed	362576362
5	BlinkStart	362576592
5	BlinkEnd	362583897
5	NoFeedLowProb	362583977
28	BlinkStart	362584207
