Wednesday, February 12, 2020	1:50:04 PM	Game1.txt	1563989388
cued	now	1564000019
7	BlinkStart	1564000099
7	BlinkEnd	1564030991
0	NoFeedLowProb	1564031071
5	BlinkStart	1564031301
5	BlinkEnd	1564043434
5	NoFeedLowProb	1564043514
8	BlinkStart	1564043746
8	BlinkEnd	1564047115
8	Feed	1564047195
5	BlinkStart	1564047425
5	BlinkEnd	1564059075
5	NoFeedLowProb	1564059155
8	BlinkStart	1564059386
8	BlinkEnd	1564062617
8	Feed	1564062697
5	BlinkStart	1564062927
5	BlinkEnd	1564075055
5	NoFeedLowProb	1564075135
2	BlinkStart	1564075365
2	BlinkEnd	1564078399
2	Feed	1564078479
5	BlinkStart	1564078710
5	BlinkEnd	1564086815
5	NoFeedLowProb	1564086895
2	BlinkStart	1564087125
2	BlinkEnd	1564089955
2	Feed	1564090035
5	BlinkStart	1564090266
5	BlinkEnd	1564095839
5	NoFeedLowProb	1564095919
8	BlinkStart	1564096150
8	BlinkEnd	1564099047
8	Feed	1564099127
5	BlinkStart	1564099357
5	BlinkEnd	1564112614
5	NoFeedLowProb	1564112694
2	BlinkStart	1564112924
2	BlinkEnd	1564115889
2	Feed	1564115969
5	BlinkStart	1564116200
5	BlinkEnd	1564121906
5	NoFeedLowProb	1564121986
82	BlinkStart	1564122217
82	BlinkEnd	1564125180
8	Feed	1564125260
5	BlinkStart	1564125490
5	BlinkEnd	1564134071
5	NoFeedLowProb	1564134151
82	BlinkStart	1564134381
82	BlinkEnd	1564137415
8	Feed	1564137496
5	BlinkStart	1564137726
5	BlinkEnd	1564148049
5	NoFeedLowProb	1564148129
82	BlinkStart	1564148360
82	BlinkEnd	1564151860
2	Feed	1564151940
5	BlinkStart	1564152170
5	BlinkEnd	1564156798
5	NoFeedLowProb	1564156878
82	BlinkStart	1564157108
82	BlinkEnd	1564159876
8	Feed	1564159956
5	BlinkStart	1564160186
5	BlinkEnd	1564169698
5	NoFeedLowProb	1564169778
82	BlinkStart	1564170008
82	BlinkEnd	1564172906
8	Feed	1564172986
5	BlinkStart	1564173216
5	BlinkEnd	1564180927
5	NoFeedLowProb	1564181007
82	BlinkStart	1564181237
82	BlinkEnd	1564184543
2	Feed	1564184623
5	BlinkStart	1564184853
5	BlinkEnd	1564189556
5	NoFeedLowProb	1564189636
1	BlinkStart	1564189866
1	BlinkEnd	1564193027
1	NoFeedLowProb	1564193107
4	BlinkStart	1564193338
4	BlinkEnd	1564196506
4	Feed	1564196586
1	BlinkStart	1564196816
1	BlinkEnd	1564205322
1	NoFeedLowProb	1564205402
4	BlinkStart	1564205632
4	BlinkEnd	1564208866
4	Feed	1564208946
1	BlinkStart	1564209176
1	BlinkEnd	1564216552
1	NoFeedLowProb	1564216632
6	BlinkStart	1564216862
6	BlinkEnd	1564220031
6	Feed	1564220111
1	BlinkStart	1564220342
1	BlinkEnd	1564225783
1	NoFeedLowProb	1564225864
6	BlinkStart	1564226094
6	BlinkEnd	1564229058
6	Feed	1564229138
1	BlinkStart	1564229368
1	BlinkEnd	1564233197
1	NoFeedLowProb	1564233277
4	BlinkStart	1564233508
4	BlinkEnd	1564235943
4	Feed	1564236024
1	BlinkStart	1564236255
1	BlinkEnd	1564244025
1	NoFeedLowProb	1564244105
6	BlinkStart	1564244335
6	BlinkEnd	1564247902
6	Feed	1564247983
1	BlinkStart	1564248214
1	BlinkEnd	1564252982
1	NoFeedLowProb	1564253062
46	BlinkStart	1564253292
46	BlinkEnd	1564258060
6	Feed	1564258140
1	BlinkStart	1564258372
1	BlinkEnd	1564261938
1	NoFeedLowProb	1564262018
46	BlinkStart	1564262248
46	BlinkEnd	1564266223
4	Feed	1564266304
1	BlinkStart	1564266535
1	BlinkEnd	1564273903
1	NoFeedLowProb	1564273983
46	BlinkStart	1564274213
46	BlinkEnd	1564277515
4	Feed	1564277595
1	BlinkStart	1564277826
1	BlinkEnd	1564284331
1	NoFeedLowProb	1564284411
46	BlinkStart	1564284641
46	BlinkEnd	1564294088
4	Feed	1564294168
1	BlinkStart	1564294398
1	BlinkEnd	1564301513
1	NoFeedLowProb	1564301593
46	BlinkStart	1564301823
46	BlinkEnd	1564306590
4	Feed	1564306670
1	BlinkStart	1564306900
1	BlinkEnd	1564314884
1	NoFeedLowProb	1564314964
46	BlinkStart	1564315194
46	BlinkEnd	1564325040
