Saturday, February 22, 2020	1:34:28 PM	Game1.txt	644015997
cued	now	644044239
7	BlinkStart	644044319
7	BlinkEnd	644332543
0	NoFeedLowProb	644332623
1	BlinkStart	644332853
1	BlinkEnd	644340387
1	NoFeedLowProb	644340467
6	BlinkStart	644340699
6	BlinkEnd	644345129
6	Feed	644345209
1	BlinkStart	644345440
1	BlinkEnd	644352228
1	NoFeedLowProb	644352309
6	BlinkStart	644352539
6	BlinkEnd	644356291
6	Feed	644356371
1	BlinkStart	644356601
1	BlinkEnd	644363911
1	NoFeedLowProb	644363991
4	BlinkStart	644364221
4	BlinkEnd	644368257
4	Feed	644368338
1	BlinkStart	644368569
1	BlinkEnd	644380624
1	NoFeedLowProb	644380704
6	BlinkStart	644380935
6	BlinkEnd	644386102
6	Feed	644386182
1	BlinkStart	644386414
1	BlinkEnd	644395662
1	NoFeedLowProb	644395742
4	BlinkStart	644395972
4	BlinkEnd	644399468
4	Feed	644399548
1	BlinkStart	644399778
1	BlinkEnd	644408831
1	NoFeedLowProb	644408911
4	BlinkStart	644409141
4	BlinkEnd	644412502
4	Feed	644412582
1	BlinkStart	644412812
1	BlinkEnd	644423333
1	NoFeedLowProb	644423413
46	BlinkStart	644423644
46	BlinkEnd	644427944
4	Feed	644428024
1	BlinkStart	644428255
1	BlinkEnd	644437370
1	NoFeedLowProb	644437450
46	BlinkStart	644437682
46	BlinkEnd	644440775
4	Feed	644440855
1	BlinkStart	644441085
1	BlinkEnd	644450070
1	NoFeedLowProb	644450164
46	BlinkStart	644450394
46	BlinkEnd	644453551
4	Feed	644453631
1	BlinkStart	644453861
1	BlinkEnd	644461768
1	NoFeedLowProb	644461848
46	BlinkStart	644462078
46	BlinkEnd	644465177
4	Feed	644465257
1	BlinkStart	644465487
1	BlinkEnd	644473129
1	NoFeedLowProb	644473210
46	BlinkStart	644473440
46	BlinkEnd	644476476
4	Feed	644476557
1	BlinkStart	644476788
1	BlinkEnd	644487839
1	NoFeedLowProb	644487919
46	BlinkStart	644488149
46	BlinkEnd	644491309
4	Feed	644491389
1	BlinkStart	644491619
1	BlinkEnd	644499061
1	NoFeedLowProb	644499141
5	BlinkStart	644499371
5	BlinkEnd	644503005
5	NoFeedLowProb	644503085
8	BlinkStart	644503315
8	BlinkEnd	644506685
8	Feed	644506766
5	BlinkStart	644506996
5	BlinkEnd	644516712
5	NoFeedLowProb	644516792
8	BlinkStart	644517022
8	BlinkEnd	644520054
8	Feed	644520134
5	BlinkStart	644520365
5	BlinkEnd	644527805
5	NoFeedLowProb	644527885
8	BlinkStart	644528116
8	BlinkEnd	644531216
8	Feed	644531297
5	BlinkStart	644531527
5	BlinkEnd	644539509
5	NoFeedLowProb	644539589
2	BlinkStart	644539820
2	BlinkEnd	644543190
2	Feed	644543270
5	BlinkStart	644543501
5	BlinkEnd	644548328
5	NoFeedLowProb	644548408
2	BlinkStart	644548638
2	BlinkEnd	644559417
2	Feed	644559497
5	BlinkStart	644559728
5	BlinkEnd	644563899
5	NoFeedLowProb	644563979
2	BlinkStart	644564209
2	BlinkEnd	644581613
2	Feed	644581693
5	BlinkStart	644581923
5	BlinkEnd	644587295
5	NoFeedLowProb	644587375
82	BlinkStart	644587605
82	BlinkEnd	644591239
8	Feed	644591319
5	BlinkStart	644591550
5	BlinkEnd	644598857
5	NoFeedLowProb	644598938
82	BlinkStart	644599169
82	BlinkEnd	644601864
8	Feed	644601944
5	BlinkStart	644602175
5	BlinkEnd	644609956
5	NoFeedLowProb	644610037
82	BlinkStart	644610267
82	BlinkEnd	644613099
8	Feed	644613179
5	BlinkStart	644613409
5	BlinkEnd	644619917
5	NoFeedLowProb	644619997
82	BlinkStart	644620228
82	BlinkEnd	644623726
8	Feed	644623806
5	BlinkStart	644624036
5	BlinkEnd	644630872
5	NoFeedLowProb	644630952
82	BlinkStart	644631183
82	BlinkEnd	644634027
8	Feed	644634107
5	BlinkStart	644634338
5	BlinkEnd	644642042
5	NoFeedLowProb	644642123
82	BlinkStart	644642355
82	BlinkEnd	644645184
8	Feed	644645264
5	BlinkStart	644645495
5	BlinkEnd	644653595
5	NoFeedLowProb	644653675
1	BlinkStart	644653905
1	BlinkEnd	644657214
1	NoFeedLowProb	644657294
6	BlinkStart	644657525
6	BlinkEnd	644660494
6	Feed	644660574
1	BlinkStart	644660804
1	BlinkEnd	644669976
1	NoFeedLowProb	644670056
6	BlinkStart	644670287
6	BlinkEnd	644673454
6	Feed	644673534
1	BlinkStart	644673765
1	BlinkEnd	644683274
1	NoFeedLowProb	644683354
4	BlinkStart	644683584
4	BlinkEnd	644687697
4	Feed	644687777
1	BlinkStart	644688008
1	BlinkEnd	644691361
1	NoFeedLowProb	644691441
6	BlinkStart	644691671
6	BlinkEnd	644694847
6	Feed	644694927
1	BlinkStart	644695158
1	BlinkEnd	644703466
1	NoFeedLowProb	644703546
4	BlinkStart	644703777
4	BlinkEnd	644709747
4	Feed	644709827
1	BlinkStart	644710058
1	BlinkEnd	644714089
1	NoFeedLowProb	644714169
4	BlinkStart	644714400
4	BlinkEnd	644723111
4	Feed	644723191
1	BlinkStart	644723422
1	BlinkEnd	644726256
1	NoFeedLowProb	644726336
64	BlinkStart	644726567
64	BlinkEnd	644729543
6	Feed	644729623
1	BlinkStart	644729854
1	BlinkEnd	644739288
1	NoFeedLowProb	644739369
64	BlinkStart	644739600
64	BlinkEnd	644742560
6	Feed	644742640
1	BlinkStart	644742871
1	BlinkEnd	644752459
1	NoFeedLowProb	644752540
64	BlinkStart	644752770
64	BlinkEnd	644755539
6	Feed	644755619
1	BlinkStart	644755850
1	BlinkEnd	644764895
1	NoFeedLowProb	644764975
64	BlinkStart	644765206
64	BlinkEnd	644768297
6	Feed	644768377
1	BlinkStart	644768608
1	BlinkEnd	644777528
1	NoFeedLowProb	644777608
64	BlinkStart	644777838
64	BlinkEnd	644780931
6	Feed	644781011
1	BlinkStart	644781241
1	BlinkEnd	644789892
1	NoFeedLowProb	644789972
64	BlinkStart	644790202
64	BlinkEnd	644793170
6	Feed	644793250
1	BlinkStart	644793481
1	BlinkEnd	644802183
1	NoFeedLowProb	644802263
5	BlinkStart	644802493
5	BlinkEnd	644810548
5	NoFeedLowProb	644810628
8	BlinkStart	644810858
8	BlinkEnd	644813815
8	Feed	644813895
5	BlinkStart	644814126
5	BlinkEnd	644822845
5	NoFeedLowProb	644822925
2	BlinkStart	644823156
2	BlinkEnd	644826123
2	Feed	644826204
5	BlinkStart	644826434
5	BlinkEnd	644831006
5	NoFeedLowProb	644831086
2	BlinkStart	644831316
2	BlinkEnd	644838013
2	Feed	644838093
5	BlinkStart	644838323
5	BlinkEnd	644842961
5	NoFeedLowProb	644843041
2	BlinkStart	644843271
2	BlinkEnd	644858397
2	Feed	644858478
5	BlinkStart	644858709
5	BlinkEnd	644863484
5	NoFeedLowProb	644863565
8	BlinkStart	644863795
8	BlinkEnd	644866356
8	Feed	644866436
5	BlinkStart	644866666
5	BlinkEnd	644874585
5	NoFeedLowProb	644874665
8	BlinkStart	644874896
8	BlinkEnd	644878250
8	Feed	644878330
5	BlinkStart	644878561
5	BlinkEnd	644891291
5	NoFeedLowProb	644891371
82	BlinkStart	644891601
82	BlinkEnd	644894227
8	Feed	644894307
5	BlinkStart	644894538
5	BlinkEnd	644902257
5	NoFeedLowProb	644902338
82	BlinkStart	644902569
82	BlinkEnd	644905186
8	Feed	644905266
5	BlinkStart	644905497
5	BlinkEnd	644913551
5	NoFeedLowProb	644913631
82	BlinkStart	644913861
82	BlinkEnd	644916355
8	Feed	644916435
5	BlinkStart	644916665
5	BlinkEnd	644924971
5	NoFeedLowProb	644925051
82	BlinkStart	644925281
82	BlinkEnd	644927916
8	Feed	644927996
5	BlinkStart	644928226
5	BlinkEnd	644935937
5	NoFeedLowProb	644936017
82	BlinkStart	644936247
82	BlinkEnd	644939481
8	Feed	644939561
5	BlinkStart	644939792
5	BlinkEnd	644947362
5	NoFeedLowProb	644947442
82	BlinkStart	644947672
82	BlinkEnd	644950573
8	Feed	644950653
5	BlinkStart	644950883
5	BlinkEnd	644963946
5	NoFeedLowProb	644964026
1	BlinkStart	644964257
1	BlinkEnd	644968082
1	NoFeedLowProb	644968162
6	BlinkStart	644968394
6	BlinkEnd	644971429
6	Feed	644971509
1	BlinkStart	644971739
1	BlinkEnd	644982324
1	NoFeedLowProb	644982404
4	BlinkStart	644982634
4	BlinkEnd	644986737
4	Feed	644986817
1	BlinkStart	644987047
1	BlinkEnd	644992150
1	NoFeedLowProb	644992230
4	BlinkStart	644992460
4	BlinkEnd	644996559
4	Feed	644996639
1	BlinkStart	644996869
1	BlinkEnd	645001172
1	NoFeedLowProb	645001252
4	BlinkStart	645001483
4	BlinkEnd	645004654
4	Feed	645004734
1	BlinkStart	645004965
1	BlinkEnd	645009463
1	NoFeedLowProb	645009543
6	BlinkStart	645009773
6	BlinkEnd	645012739
6	Feed	645012819
1	BlinkStart	645013050
1	BlinkEnd	645022632
1	NoFeedLowProb	645022712
6	BlinkStart	645022942
6	BlinkEnd	645026034
6	Feed	645026114
1	BlinkStart	645026344
1	BlinkEnd	645035793
1	NoFeedLowProb	645035873
64	BlinkStart	645036103
64	BlinkEnd	645039270
6	Feed	645039350
1	BlinkStart	645039580
1	BlinkEnd	645049977
1	NoFeedLowProb	645050058
64	BlinkStart	645050289
64	BlinkEnd	645053447
6	Feed	645053527
1	BlinkStart	645053757
1	BlinkEnd	645063740
1	NoFeedLowProb	645063820
64	BlinkStart	645064050
64	BlinkEnd	645067289
6	Feed	645067369
1	BlinkStart	645067599
1	BlinkEnd	645076908
1	NoFeedLowProb	645076989
64	BlinkStart	645077220
64	BlinkEnd	645080516
6	Feed	645080596
1	BlinkStart	645080827
1	BlinkEnd	645089741
1	NoFeedLowProb	645089821
64	BlinkStart	645090051
64	BlinkEnd	645093620
6	Feed	645093700
1	BlinkStart	645093931
1	BlinkEnd	645104053
1	NoFeedLowProb	645104133
64	BlinkStart	645104365
64	BlinkEnd	645107718
6	Feed	645107798
1	BlinkStart	645108028
1	BlinkEnd	645117414
1	NoFeedLowProb	645117494
5	BlinkStart	645117724
5	BlinkEnd	645121888
5	NoFeedLowProb	645121969
2	BlinkStart	645122199
2	BlinkEnd	645125369
2	Feed	645125449
5	BlinkStart	645125679
5	BlinkEnd	645130585
5	NoFeedLowProb	645130666
8	BlinkStart	645130897
8	BlinkEnd	645133922
8	Feed	645134002
5	BlinkStart	645134232
5	BlinkEnd	645142804
5	NoFeedLowProb	645142884
2	BlinkStart	645143114
2	BlinkEnd	645147500
2	Feed	645147580
5	BlinkStart	645147811
5	BlinkEnd	645152636
5	NoFeedLowProb	645152716
8	BlinkStart	645152947
8	BlinkEnd	645156105
8	Feed	645156185
5	BlinkStart	645156415
5	BlinkEnd	645166533
5	NoFeedLowProb	645166613
8	BlinkStart	645166843
8	BlinkEnd	645169746
8	Feed	645169826
5	BlinkStart	645170057
5	BlinkEnd	645179703
5	NoFeedLowProb	645179783
2	BlinkStart	645180013
2	BlinkEnd	645185455
2	Feed	645185535
5	BlinkStart	645185766
5	BlinkEnd	645189337
5	NoFeedLowProb	645189417
82	BlinkStart	645189647
82	BlinkEnd	645192667
8	Feed	645192747
5	BlinkStart	645192977
5	BlinkEnd	645202297
5	NoFeedLowProb	645202377
82	BlinkStart	645202608
82	BlinkEnd	645205303
8	Feed	645205383
5	BlinkStart	645205615
5	BlinkEnd	645215530
5	NoFeedLowProb	645215610
82	BlinkStart	645215841
82	BlinkEnd	645218538
8	Feed	645218618
5	BlinkStart	645218849
5	BlinkEnd	645228235
5	NoFeedLowProb	645228315
82	BlinkStart	645228546
82	BlinkEnd	645231510
8	Feed	645231590
5	BlinkStart	645231821
5	BlinkEnd	645240931
5	NoFeedLowProb	645241011
82	BlinkStart	645241242
82	BlinkEnd	645244070
8	Feed	645244151
5	BlinkStart	645244382
5	BlinkEnd	645253632
5	NoFeedLowProb	645253712
82	BlinkStart	645253943
82	BlinkEnd	645257047
8	Feed	645257127
5	BlinkStart	645257357
5	BlinkEnd	645267331
5	NoFeedLowProb	645267411
1	BlinkStart	645267641
1	BlinkEnd	645271206
1	NoFeedLowProb	645271286
6	BlinkStart	645271516
6	BlinkEnd	645275094
6	Feed	645275175
1	BlinkStart	645275405
1	BlinkEnd	645285455
1	NoFeedLowProb	645285535
6	BlinkStart	645285765
6	BlinkEnd	645289462
6	Feed	645289542
1	BlinkStart	645289773
1	BlinkEnd	645300625
1	NoFeedLowProb	645300705
6	BlinkStart	645300936
6	BlinkEnd	645304496
6	Feed	645304576
1	BlinkStart	645304807
1	BlinkEnd	645314393
1	NoFeedLowProb	645314473
4	BlinkStart	645314703
4	BlinkEnd	645319133
4	Feed	645319214
1	BlinkStart	645319444
1	BlinkEnd	645322742
1	NoFeedLowProb	645322822
4	BlinkStart	645323052
4	BlinkEnd	645360054
4	Feed	645360134
1	BlinkStart	645360364
1	BlinkEnd	645366665
1	NoFeedLowProb	645366746
4	BlinkStart	645366977
4	BlinkEnd	645376887
4	Feed	645376967
1	BlinkStart	645377197
1	BlinkEnd	645380024
1	NoFeedLowProb	645380104
64	BlinkStart	645380334
64	BlinkEnd	645383232
6	Feed	645383312
1	BlinkStart	645383542
1	BlinkEnd	645396265
1	NoFeedLowProb	645396345
64	BlinkStart	645396575
64	BlinkEnd	645399608
6	Feed	645399688
1	BlinkStart	645399919
1	BlinkEnd	645410507
1	NoFeedLowProb	645410587
64	BlinkStart	645410818
64	BlinkEnd	645414650
6	Feed	645414730
1	BlinkStart	645414960
1	BlinkEnd	645425877
1	NoFeedLowProb	645425957
64	BlinkStart	645426187
64	BlinkEnd	645429559
6	Feed	645429639
1	BlinkStart	645429869
1	BlinkEnd	645440459
1	NoFeedLowProb	645440539
64	BlinkStart	645440771
64	BlinkEnd	645444326
6	Feed	645444406
1	BlinkStart	645444636
1	BlinkEnd	645453818
1	NoFeedLowProb	645453898
64	BlinkStart	645454129
64	BlinkEnd	645457696
6	Feed	645457776
1	BlinkStart	645458006
1	BlinkEnd	645468322
1	NoFeedLowProb	645468402
5	BlinkStart	645468632
5	BlinkEnd	645474206
5	NoFeedLowProb	645474286
2	BlinkStart	645474516
2	BlinkEnd	645484898
2	Feed	645484978
5	BlinkStart	645485208
5	BlinkEnd	645499144
5	NoFeedLowProb	645499224
2	BlinkStart	645499455
2	BlinkEnd	645503012
2	Feed	645503092
5	BlinkStart	645503323
5	BlinkEnd	645511499
5	NoFeedLowProb	645511579
8	BlinkStart	645511809
8	BlinkEnd	645514849
8	Feed	645514929
5	BlinkStart	645515159
5	BlinkEnd	645521392
5	NoFeedLowProb	645521472
8	BlinkStart	645521702
8	BlinkEnd	645524669
8	Feed	645524749
5	BlinkStart	645524979
5	BlinkEnd	645529413
5	NoFeedLowProb	645529493
2	BlinkStart	645529724
2	BlinkEnd	645533223
2	Feed	645533303
5	BlinkStart	645533533
5	BlinkEnd	645544392
5	NoFeedLowProb	645544472
8	BlinkStart	645544702
8	BlinkEnd	645547869
8	Feed	645547949
5	BlinkStart	645548179
5	BlinkEnd	645553409
5	NoFeedLowProb	645553489
28	BlinkStart	645553719
28	BlinkEnd	645560160
2	Feed	645560240
5	BlinkStart	645560470
5	BlinkEnd	645570452
5	NoFeedLowProb	645570533
28	BlinkStart	645570764
28	BlinkEnd	645623802
8	Feed	645623882
5	BlinkStart	645624112
5	BlinkEnd	645631824
5	NoFeedLowProb	645631904
28	BlinkStart	645632135
28	BlinkEnd	645636428
2	Feed	645636508
5	BlinkStart	645636738
5	BlinkEnd	645646386
5	NoFeedLowProb	645646466
28	BlinkStart	645646697
28	BlinkEnd	645651399
2	Feed	645651479
5	BlinkStart	645651709
