Tuesday, March 17, 2020	12:08:33 PM	Game1.txt	322458026
cued	now	322477346
7	BlinkStart	322477426
7	BlinkEnd	322513734
0	NoFeedLowProb	322513815
5	BlinkStart	322514045
5	BlinkEnd	322526294
5	NoFeedLowProb	322526374
8	BlinkStart	322526604
8	BlinkEnd	322530853
8	Feed	322530933
5	BlinkStart	322531164
5	BlinkEnd	322537336
5	NoFeedLowProb	322537416
8	BlinkStart	322537646
8	BlinkEnd	322560386
8	Feed	322560466
5	BlinkStart	322560697
5	BlinkEnd	322566071
5	NoFeedLowProb	322566151
8	BlinkStart	322566382
8	BlinkEnd	322576562
8	Feed	322576642
5	BlinkStart	322576872
5	BlinkEnd	322583318
5	NoFeedLowProb	322583398
28	BlinkStart	322583628
28	BlinkEnd	322587186
2	Feed	322587266
5	BlinkStart	322587498
5	BlinkEnd	322595415
5	NoFeedLowProb	322595495
28	BlinkStart	322595726
28	BlinkEnd	322600819
2	Feed	322600899
5	BlinkStart	322601129
5	BlinkEnd	322608110
5	NoFeedLowProb	322608190
28	BlinkStart	322608421
28	BlinkEnd	322611985
2	Feed	322612065
5	BlinkStart	322612296
5	BlinkEnd	322619208
5	NoFeedLowProb	322619288
2	BlinkStart	322619518
2	BlinkEnd	322622947
2	Feed	322623027
5	BlinkStart	322623258
5	BlinkEnd	322629566
5	NoFeedLowProb	322629647
2	BlinkStart	322629878
2	BlinkEnd	322633574
2	Feed	322633654
5	BlinkStart	322633884
5	BlinkEnd	322640064
5	NoFeedLowProb	322640144
2	BlinkStart	322640375
2	BlinkEnd	322644268
2	Feed	322644349
5	BlinkStart	322644580
5	BlinkEnd	322650956
5	NoFeedLowProb	322651036
28	BlinkStart	322651267
28	BlinkEnd	322654837
8	Feed	322654917
5	BlinkStart	322655148
5	BlinkEnd	322665858
5	NoFeedLowProb	322665938
28	BlinkStart	322666168
28	BlinkEnd	322670140
2	Feed	322670220
5	BlinkStart	322670451
5	BlinkEnd	322677154
5	NoFeedLowProb	322677234
28	BlinkStart	322677464
28	BlinkEnd	322680967
2	Feed	322681047
5	BlinkStart	322681277
5	BlinkEnd	322687118
5	NoFeedLowProb	322687199
1	BlinkStart	322687430
1	BlinkEnd	322690988
1	NoFeedLowProb	322691068
6	BlinkStart	322691298
6	BlinkEnd	322694542
6	Feed	322694622
1	BlinkStart	322694852
1	BlinkEnd	322701220
1	NoFeedLowProb	322701300
6	BlinkStart	322701530
6	BlinkEnd	322705231
6	Feed	322705311
1	BlinkStart	322705541
1	BlinkEnd	322711241
1	NoFeedLowProb	322711321
6	BlinkStart	322711552
6	BlinkEnd	322715125
6	Feed	322715205
1	BlinkStart	322715436
1	BlinkEnd	322721743
1	NoFeedLowProb	322721823
64	BlinkStart	322722053
64	BlinkEnd	322725355
4	Feed	322725435
1	BlinkStart	322725665
1	BlinkEnd	322741860
1	NoFeedLowProb	322741940
64	BlinkStart	322742171
