Ver1.2	1039751767	StartFile	3/25/2020	7:23:27 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\032520\SoundData.txt	1039751767
1040073107	Triggered	1	 Modulated Tone	25	2	1040073107
1040078193	Triggered	4	 NoSound	50	2	1040078193
1040088079	Triggered	1	 Modulated Tone	25	2	1040088079
1040093965	Triggered	4	 NoSound	50	2	1040093965
1040102052	Triggered	1	 Modulated Tone	25	2	1040102052
1040106727	Triggered	4	 NoSound	50	2	1040106727
1040113345	Triggered	1	 Modulated Tone	25	2	1040113345
1040137746	Triggered	6	 NoSound	50	2	1040137746
1040147502	Triggered	1	 Modulated Tone	25	2	1040147502
1040152581	Triggered	6	 NoSound	50	2	1040152581
1040161941	Triggered	1	 Modulated Tone	25	2	1040161941
1040167890	Triggered	6	 NoSound	50	2	1040167890
1040175440	Triggered	1	 Modulated Tone	25	2	1040175440
1040179584	Triggered	4	 NoSound	50	2	1040179584
1040187143	Triggered	1	 Modulated Tone	25	2	1040187143
1040192216	Triggered	6	 NoSound	50	2	1040192216
1040205785	Triggered	1	 Modulated Tone	25	2	1040205785
1040210732	Triggered	6	 NoSound	50	2	1040210732
1040219287	Triggered	1	 Modulated Tone	25	2	1040219287
1040223699	Triggered	5	 Modulated Tone	25	2	1040223699
1040227576	Triggered	2	 NoSound	50	2	1040227576
1040236472	Triggered	5	 Modulated Tone	25	2	1040236472
1040240482	Triggered	2	 NoSound	50	2	1040240482
1040248765	Triggered	5	 Modulated Tone	25	2	1040248765
1040252774	Triggered	2	 NoSound	50	2	1040252774
1040261468	Triggered	5	 Modulated Tone	25	2	1040261468
1040265073	Triggered	8	 NoSound	50	2	1040265073
1040272366	Triggered	5	 Modulated Tone	25	2	1040272366
1040276436	Triggered	2	 NoSound	50	2	1040276436
1040285261	Triggered	5	 Modulated Tone	25	2	1040285261
1040289279	Triggered	2	 NoSound	50	2	1040289279
1040297227	Triggered	5	 Modulated Tone	25	2	1040297227
1040301436	Triggered	2	 NoSound	50	2	1040301436
1040309591	Triggered	5	 Modulated Tone	25	2	1040309591
