Wednesday, April 1, 2020	2:00:11 PM	Game1.txt	1625155541
cued	now	1625179453
7	BlinkStart	1625179533
7	BlinkEnd	1625464246
0	NoFeedLowProb	1625464326
5	BlinkStart	1625464558
5	BlinkEnd	1625514106
5	NoFeedLowProb	1625514187
2	BlinkStart	1625514418
2	BlinkEnd	1625518051
2	Feed	1625518131
5	BlinkStart	1625518361
5	BlinkEnd	1625531082
5	NoFeedLowProb	1625531162
2	BlinkStart	1625531392
2	BlinkEnd	1625534896
2	Feed	1625534976
5	BlinkStart	1625535206
5	BlinkEnd	1625547864
5	NoFeedLowProb	1625547944
2	BlinkStart	1625548175
2	BlinkEnd	1625551477
2	Feed	1625551558
5	BlinkStart	1625551789
5	BlinkEnd	1625563842
5	NoFeedLowProb	1625563922
28	BlinkStart	1625564154
28	BlinkEnd	1625567921
2	Feed	1625568001
5	BlinkStart	1625568232
5	BlinkEnd	1625581883
5	NoFeedLowProb	1625581963
1	BlinkStart	1625582193
1	BlinkEnd	1625586028
1	NoFeedLowProb	1625586108
4	BlinkStart	1625586338
4	BlinkEnd	1625589507
4	Feed	1625589587
1	BlinkStart	1625589817
1	BlinkEnd	1625595919
1	NoFeedLowProb	1625596000
4	BlinkStart	1625596231
4	BlinkEnd	1625599605
4	Feed	1625599685
1	BlinkStart	1625599917
1	BlinkEnd	1625604951
1	NoFeedLowProb	1625605031
4	BlinkStart	1625605261
4	BlinkEnd	1625623261
4	Feed	1625623341
1	BlinkStart	1625623571
1	BlinkEnd	1625632681
1	NoFeedLowProb	1625632761
64	BlinkStart	1625632992
64	BlinkEnd	1625636021
6	Feed	1625636101
1	BlinkStart	1625636332
1	BlinkEnd	1625648932
1	NoFeedLowProb	1625649013
5	BlinkStart	1625649243
5	BlinkEnd	1625652467
5	NoFeedLowProb	1625652547
2	BlinkStart	1625652777
2	BlinkEnd	1625655941
2	Feed	1625656021
5	BlinkStart	1625656253
5	BlinkEnd	1625663160
5	NoFeedLowProb	1625663240
2	BlinkStart	1625663470
2	BlinkEnd	1625666778
2	Feed	1625666859
5	BlinkStart	1625667089
5	BlinkEnd	1625681076
5	NoFeedLowProb	1625681156
2	BlinkStart	1625681386
2	BlinkEnd	1625685020
2	Feed	1625685100
5	BlinkStart	1625685331
5	BlinkEnd	1625690170
5	NoFeedLowProb	1625690250
82	BlinkStart	1625690480
82	BlinkEnd	1625693714
8	Feed	1625693795
5	BlinkStart	1625694025
5	BlinkEnd	1625701001
5	NoFeedLowProb	1625701081
1	BlinkStart	1625701311
1	BlinkEnd	1625705214
1	NoFeedLowProb	1625705294
4	BlinkStart	1625705524
4	BlinkEnd	1625708677
4	Feed	1625708758
1	BlinkStart	1625708988
1	BlinkEnd	1625715766
1	NoFeedLowProb	1625715846
4	BlinkStart	1625716077
4	BlinkEnd	1625719310
4	Feed	1625719390
1	BlinkStart	1625719621
1	BlinkEnd	1625726265
1	NoFeedLowProb	1625726345
4	BlinkStart	1625726577
4	BlinkEnd	1625729873
4	Feed	1625729953
1	BlinkStart	1625730184
1	BlinkEnd	1625736556
1	NoFeedLowProb	1625736637
46	BlinkStart	1625736868
46	BlinkEnd	1625739562
6	Feed	1625739642
1	BlinkStart	1625739872
1	BlinkEnd	1625751861
1	NoFeedLowProb	1625751941
5	BlinkStart	1625752172
5	BlinkEnd	1625755611
5	NoFeedLowProb	1625755691
2	BlinkStart	1625755921
2	BlinkEnd	1625758887
2	Feed	1625758967
5	BlinkStart	1625759198
5	BlinkEnd	1625766632
5	NoFeedLowProb	1625766712
2	BlinkStart	1625766942
2	BlinkEnd	1625769841
2	Feed	1625769921
5	BlinkStart	1625770151
5	BlinkEnd	1625777065
5	NoFeedLowProb	1625777145
2	BlinkStart	1625777376
2	BlinkEnd	1625780279
2	Feed	1625780359
5	BlinkStart	1625780589
5	BlinkEnd	1625793838
5	NoFeedLowProb	1625793918
82	BlinkStart	1625794149
82	BlinkEnd	1625797053
8	Feed	1625797133
5	BlinkStart	1625797363
5	BlinkEnd	1625809085
5	NoFeedLowProb	1625809165
1	BlinkStart	1625809395
1	BlinkEnd	1625813019
1	NoFeedLowProb	1625813099
4	BlinkStart	1625813329
4	BlinkEnd	1625816160
4	Feed	1625816240
1	BlinkStart	1625816470
1	BlinkEnd	1625827992
1	NoFeedLowProb	1625828072
4	BlinkStart	1625828302
4	BlinkEnd	1625831401
4	Feed	1625831481
1	BlinkStart	1625831711
1	BlinkEnd	1625842366
1	NoFeedLowProb	1625842446
4	BlinkStart	1625842677
4	BlinkEnd	1625845643
4	Feed	1625845723
1	BlinkStart	1625845953
1	BlinkEnd	1625857271
1	NoFeedLowProb	1625857351
46	BlinkStart	1625857581
46	BlinkEnd	1625860740
4	Feed	1625860820
1	BlinkStart	1625861050
1	BlinkEnd	1625872582
1	NoFeedLowProb	1625872663
5	BlinkStart	1625872893
5	BlinkEnd	1625876520
5	NoFeedLowProb	1625876600
2	BlinkStart	1625876831
2	BlinkEnd	1625880124
2	Feed	1625880204
5	BlinkStart	1625880434
5	BlinkEnd	1625887479
5	NoFeedLowProb	1625887560
2	BlinkStart	1625887790
2	BlinkEnd	1625891492
2	Feed	1625891572
5	BlinkStart	1625891802
5	BlinkEnd	1625898445
5	NoFeedLowProb	1625898525
2	BlinkStart	1625898756
2	BlinkEnd	1625901658
2	Feed	1625901738
5	BlinkStart	1625901969
5	BlinkEnd	1625908604
5	NoFeedLowProb	1625908685
28	BlinkStart	1625908917
28	BlinkEnd	1625911944
8	Feed	1625912024
5	BlinkStart	1625912254
5	BlinkEnd	1625918767
5	NoFeedLowProb	1625918847
1	BlinkStart	1625919078
1	BlinkEnd	1625923640
1	NoFeedLowProb	1625923720
6	BlinkStart	1625923951
6	BlinkEnd	1625926921
6	Feed	1625927001
1	BlinkStart	1625927231
1	BlinkEnd	1625934668
1	NoFeedLowProb	1625934749
6	BlinkStart	1625934980
6	BlinkEnd	1625938288
6	Feed	1625938368
1	BlinkStart	1625938598
1	BlinkEnd	1625944968
1	NoFeedLowProb	1625945049
6	BlinkStart	1625945279
6	BlinkEnd	1625948373
6	Feed	1625948453
1	BlinkStart	1625948683
1	BlinkEnd	1625955461
1	NoFeedLowProb	1625955541
64	BlinkStart	1625955771
64	BlinkEnd	1625958599
4	Feed	1625958679
1	BlinkStart	1625958910
1	BlinkEnd	1625964610
1	NoFeedLowProb	1625964690
5	BlinkStart	1625964920
5	BlinkEnd	1625970171
5	NoFeedLowProb	1625970251
2	BlinkStart	1625970482
2	BlinkEnd	1625973371
2	Feed	1625973451
5	BlinkStart	1625973682
5	BlinkEnd	1625978119
5	NoFeedLowProb	1625978199
2	BlinkStart	1625978429
2	BlinkEnd	1625983805
2	Feed	1625983885
5	BlinkStart	1625984115
5	BlinkEnd	1626001708
5	NoFeedLowProb	1626001788
2	BlinkStart	1626002018
2	BlinkEnd	1626005125
2	Feed	1626005205
5	BlinkStart	1626005436
5	BlinkEnd	1626010800
5	NoFeedLowProb	1626010880
82	BlinkStart	1626011110
82	BlinkEnd	1626014546
8	Feed	1626014626
