Sunday, April 5, 2020	10:11:52 PM	Game1.txt	2000257036
cued	now	2000265681
7	BlinkStart	2000265761
7	BlinkEnd	2000509473
0	NoFeedLowProb	2000509553
1	BlinkStart	2000509784
1	BlinkEnd	2000516106
1	NoFeedLowProb	2000516186
6	BlinkStart	2000516416
6	BlinkEnd	2000519846
6	Feed	2000519926
1	BlinkStart	2000520156
1	BlinkEnd	2000527274
1	NoFeedLowProb	2000527354
6	BlinkStart	2000527584
6	BlinkEnd	2000538163
6	Feed	2000538243
1	BlinkStart	2000538474
1	BlinkEnd	2000544515
1	NoFeedLowProb	2000544595
6	BlinkStart	2000544825
6	BlinkEnd	2000550054
6	Feed	2000550135
1	BlinkStart	2000550366
1	BlinkEnd	2000554604
1	NoFeedLowProb	2000554684
46	BlinkStart	2000554914
46	BlinkEnd	2000558222
4	Feed	2000558302
1	BlinkStart	2000558533
1	BlinkEnd	2000572855
1	NoFeedLowProb	2000572935
5	BlinkStart	2000573165
5	BlinkEnd	2000576734
5	NoFeedLowProb	2000576814
2	BlinkStart	2000577045
2	BlinkEnd	2000579745
2	Feed	2000579825
5	BlinkStart	2000580055
5	BlinkEnd	2000593307
5	NoFeedLowProb	2000593387
2	BlinkStart	2000593617
2	BlinkEnd	2000596445
2	Feed	2000596525
5	BlinkStart	2000596755
5	BlinkEnd	2000606744
5	NoFeedLowProb	2000606824
2	BlinkStart	2000607054
2	BlinkEnd	2000609887
2	Feed	2000609967
5	BlinkStart	2000610197
5	BlinkEnd	2000620577
5	NoFeedLowProb	2000620658
28	BlinkStart	2000620889
28	BlinkEnd	2000624115
8	Feed	2000624195
5	BlinkStart	2000624426
5	BlinkEnd	2000635487
5	NoFeedLowProb	2000635567
1	BlinkStart	2000635799
1	BlinkEnd	2000639102
1	NoFeedLowProb	2000639182
4	BlinkStart	2000639413
4	BlinkEnd	2000642171
4	Feed	2000642252
1	BlinkStart	2000642483
1	BlinkEnd	2000647317
1	NoFeedLowProb	2000647397
4	BlinkStart	2000647628
4	BlinkEnd	2000663158
4	Feed	2000663238
1	BlinkStart	2000663468
1	BlinkEnd	2000669505
1	NoFeedLowProb	2000669585
4	BlinkStart	2000669817
4	BlinkEnd	2000673455
4	Feed	2000673535
1	BlinkStart	2000673765
1	BlinkEnd	2000680664
1	NoFeedLowProb	2000680744
64	BlinkStart	2000680975
64	BlinkEnd	2000684011
6	Feed	2000684091
1	BlinkStart	2000684321
1	BlinkEnd	2000692560
1	NoFeedLowProb	2000692640
5	BlinkStart	2000692871
5	BlinkEnd	2000696437
5	NoFeedLowProb	2000696517
2	BlinkStart	2000696747
2	BlinkEnd	2000699521
2	Feed	2000699601
5	BlinkStart	2000699832
5	BlinkEnd	2000711548
5	NoFeedLowProb	2000711628
2	BlinkStart	2000711859
2	BlinkEnd	2000714752
2	Feed	2000714833
5	BlinkStart	2000715063
5	BlinkEnd	2000727055
5	NoFeedLowProb	2000727135
2	BlinkStart	2000727365
2	BlinkEnd	2000730260
2	Feed	2000730340
5	BlinkStart	2000730570
5	BlinkEnd	2000741961
5	NoFeedLowProb	2000742041
28	BlinkStart	2000742273
28	BlinkEnd	2000745568
2	Feed	2000745648
5	BlinkStart	2000745879
5	BlinkEnd	2000756332
5	NoFeedLowProb	2000756413
1	BlinkStart	2000756643
1	BlinkEnd	2000760346
1	NoFeedLowProb	2000760427
6	BlinkStart	2000760657
6	BlinkEnd	2000763415
6	Feed	2000763495
1	BlinkStart	2000763727
1	BlinkEnd	2000769761
1	NoFeedLowProb	2000769841
6	BlinkStart	2000770072
6	BlinkEnd	2000780605
6	Feed	2000780685
1	BlinkStart	2000780915
1	BlinkEnd	2000797165
1	NoFeedLowProb	2000797245
6	BlinkStart	2000797475
6	BlinkEnd	2000800385
6	Feed	2000800466
1	BlinkStart	2000800696
1	BlinkEnd	2000807260
1	NoFeedLowProb	2000807340
64	BlinkStart	2000807571
64	BlinkEnd	2000810668
4	Feed	2000810748
1	BlinkStart	2000810978
1	BlinkEnd	2000822302
1	NoFeedLowProb	2000822382
5	BlinkStart	2000822612
5	BlinkEnd	2000826045
5	NoFeedLowProb	2000826126
2	BlinkStart	2000826356
2	BlinkEnd	2000829055
2	Feed	2000829135
5	BlinkStart	2000829365
5	BlinkEnd	2000842088
5	NoFeedLowProb	2000842169
2	BlinkStart	2000842400
2	BlinkEnd	2000844893
2	Feed	2000844973
5	BlinkStart	2000845203
5	BlinkEnd	2000858999
5	NoFeedLowProb	2000859079
2	BlinkStart	2000859309
2	BlinkEnd	2000862069
2	Feed	2000862149
5	BlinkStart	2000862380
5	BlinkEnd	2000874704
5	NoFeedLowProb	2000874784
28	BlinkStart	2000875014
28	BlinkEnd	2000877845
2	Feed	2000877925
5	BlinkStart	2000878155
5	BlinkEnd	2000890151
5	NoFeedLowProb	2000890232
1	BlinkStart	2000890462
1	BlinkEnd	2000894027
1	NoFeedLowProb	2000894107
4	BlinkStart	2000894337
4	BlinkEnd	2000897163
4	Feed	2000897243
1	BlinkStart	2000897473
1	BlinkEnd	2000907867
1	NoFeedLowProb	2000907947
4	BlinkStart	2000908179
4	BlinkEnd	2000911066
4	Feed	2000911146
1	BlinkStart	2000911377
1	BlinkEnd	2000920360
1	NoFeedLowProb	2000920440
4	BlinkStart	2000920670
4	BlinkEnd	2000923500
4	Feed	2000923580
1	BlinkStart	2000923812
1	BlinkEnd	2000933388
1	NoFeedLowProb	2000933468
46	BlinkStart	2000933698
46	BlinkEnd	2000936602
4	Feed	2000936682
1	BlinkStart	2000936912
1	BlinkEnd	2000946366
1	NoFeedLowProb	2000946446
5	BlinkStart	2000946676
5	BlinkEnd	2000949896
5	NoFeedLowProb	2000949976
8	BlinkStart	2000950207
8	BlinkEnd	2000953045
8	Feed	2000953125
5	BlinkStart	2000953356
5	BlinkEnd	2000959259
5	NoFeedLowProb	2000959340
8	BlinkStart	2000959570
8	BlinkEnd	2000969548
8	Feed	2000969628
5	BlinkStart	2000969859
5	BlinkEnd	2000975098
5	NoFeedLowProb	2000975178
8	BlinkStart	2000975408
8	BlinkEnd	2000979910
8	Feed	2000979990
5	BlinkStart	2000980221
5	BlinkEnd	2000985734
5	NoFeedLowProb	2000985814
28	BlinkStart	2000986045
28	BlinkEnd	2000988807
2	Feed	2000988887
5	BlinkStart	2000989118
5	BlinkEnd	2000997631
5	NoFeedLowProb	2000997711
1	BlinkStart	2000997942
1	BlinkEnd	2001001566
1	NoFeedLowProb	2001001646
6	BlinkStart	2001001877
6	BlinkEnd	2001004650
6	Feed	2001004730
1	BlinkStart	2001004960
1	BlinkEnd	2001010863
1	NoFeedLowProb	2001010943
6	BlinkStart	2001011174
6	BlinkEnd	2001014401
6	Feed	2001014481
1	BlinkStart	2001014711
1	BlinkEnd	2001020216
1	NoFeedLowProb	2001020296
6	BlinkStart	2001020526
6	BlinkEnd	2001024768
6	Feed	2001024848
1	BlinkStart	2001025078
1	BlinkEnd	2001031452
1	NoFeedLowProb	2001031532
46	BlinkStart	2001031762
46	BlinkEnd	2001034591
4	Feed	2001034671
1	BlinkStart	2001034901
1	BlinkEnd	2001047487
1	NoFeedLowProb	2001047567
5	BlinkStart	2001047797
5	BlinkEnd	2001050899
5	NoFeedLowProb	2001050979
8	BlinkStart	2001051209
8	BlinkEnd	2001053902
8	Feed	2001053982
5	BlinkStart	2001054212
5	BlinkEnd	2001061792
5	NoFeedLowProb	2001061872
8	BlinkStart	2001062102
8	BlinkEnd	2001064798
8	Feed	2001064878
5	BlinkStart	2001065108
5	BlinkEnd	2001075225
5	NoFeedLowProb	2001075305
8	BlinkStart	2001075536
8	BlinkEnd	2001078106
8	Feed	2001078187
5	BlinkStart	2001078419
5	BlinkEnd	2001088463
5	NoFeedLowProb	2001088543
82	BlinkStart	2001088773
82	BlinkEnd	2001091266
8	Feed	2001091346
5	BlinkStart	2001091576
5	BlinkEnd	2001100233
5	NoFeedLowProb	2001100314
1	BlinkStart	2001100546
1	BlinkEnd	2001103712
1	NoFeedLowProb	2001103792
6	BlinkStart	2001104022
