Ver1.2	2217972939	StartFile	4/8/2020	10:40:28 AM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\040820\SoundData.txt	2217972939
2218287384	Triggered	8	 NoSound	50	2	2218287384
2218293737	Triggered	1	 PureTone-5kHz	50	2	2218293737
2218298547	Triggered	6	 NoSound	50	2	2218298547
2218306039	Triggered	1	 PureTone-5kHz	50	2	2218306039
2218310054	Triggered	6	 NoSound	50	2	2218310054
2218317536	Triggered	1	 PureTone-5kHz	50	2	2218317536
2218321420	Triggered	6	 NoSound	50	2	2218321420
2218327691	Triggered	1	 PureTone-5kHz	50	2	2218327691
2218331241	Triggered	4	 NoSound	50	2	2218331241
2218342664	Triggered	1	 PureTone-5kHz	50	2	2218342664
2218346612	Triggered	5	 PureTone-5kHz	50	2	2218346612
2218349680	Triggered	2	 NoSound	50	2	2218349680
2218354962	Triggered	5	 PureTone-5kHz	50	2	2218354962
2218359848	Triggered	1	 PureTone-5kHz	50	2	2218359848
2218364320	Triggered	2	 NoSound	50	2	2218364320
2218370336	Triggered	5	 PureTone-5kHz	50	2	2218370336
2218373817	Triggered	2	 NoSound	50	2	2218373817
2218379562	Triggered	5	 PureTone-5kHz	50	2	2218379562
2218382500	Triggered	8	 NoSound	50	2	2218382500
2218387780	Triggered	5	 PureTone-5kHz	50	2	2218387780
2218391791	Triggered	1	 PureTone-5kHz	50	2	2218391791
2218394933	Triggered	6	 NoSound	50	2	2218394933
2218404222	Triggered	1	 PureTone-5kHz	50	2	2218404222
2218407502	Triggered	6	 NoSound	50	2	2218407502
2218416662	Triggered	1	 PureTone-5kHz	50	2	2218416662
2218419866	Triggered	6	 NoSound	50	2	2218419866
2218428820	Triggered	1	 PureTone-5kHz	50	2	2218428820
2218432096	Triggered	4	 NoSound	50	2	2218432096
2218438785	Triggered	1	 PureTone-5kHz	50	2	2218438785
2218442727	Triggered	5	 PureTone-5kHz	50	2	2218442727
2218445535	Triggered	8	 NoSound	50	2	2218445535
2218451212	Triggered	5	 PureTone-5kHz	50	2	2218451212
2218454231	Triggered	8	 NoSound	50	2	2218454231
2218460169	Triggered	5	 PureTone-5kHz	50	2	2218460169
2218463377	Triggered	8	 NoSound	50	2	2218463377
2218469261	Triggered	5	 PureTone-5kHz	50	2	2218469261
2218472141	Triggered	2	 NoSound	50	2	2218472141
2218480088	Triggered	5	 PureTone-5kHz	50	2	2218480088
2218483832	Triggered	1	 PureTone-5kHz	50	2	2218483832
2218486977	Triggered	4	 NoSound	50	2	2218486977
2218492988	Triggered	1	 PureTone-5kHz	50	2	2218492988
2218498141	Triggered	4	 NoSound	50	2	2218498141
2218505221	Triggered	1	 PureTone-5kHz	50	2	2218505221
2218508437	Triggered	4	 NoSound	50	2	2218508437
2218513240	Triggered	1	 PureTone-5kHz	50	2	2218513240
2218516387	Triggered	6	 NoSound	50	2	2218516387
2218523934	Triggered	1	 PureTone-5kHz	50	2	2218523934
2218527880	Triggered	5	 PureTone-5kHz	50	2	2218527880
2218530752	Triggered	2	 NoSound	50	2	2218530752
2218536502	Triggered	5	 PureTone-5kHz	50	2	2218536502
2218540846	Triggered	1	 PureTone-5kHz	50	2	2218540846
2218544192	Triggered	8	 NoSound	50	2	2218544192
2218549802	Triggered	2	 NoSound	50	2	2218549802
2218555623	Triggered	5	 PureTone-5kHz	50	2	2218555623
2218558827	Triggered	2	 NoSound	50	2	2218558827
2218564240	Triggered	5	 PureTone-5kHz	50	2	2218564240
2218567382	Triggered	8	 NoSound	50	2	2218567382
2218582287	Triggered	5	 PureTone-5kHz	50	2	2218582287
2218585564	Triggered	1	 PureTone-5kHz	50	2	2218585564
2218588440	Triggered	6	 NoSound	50	2	2218588440
2218594719	Triggered	1	 PureTone-5kHz	50	2	2218594719
2218597728	Triggered	6	 NoSound	50	2	2218597728
2218604284	Triggered	1	 PureTone-5kHz	50	2	2218604284
2218607221	Triggered	6	 NoSound	50	2	2218607221
2218612834	Triggered	1	 PureTone-5kHz	50	2	2218612834
2218616108	Triggered	4	 NoSound	50	2	2218616108
2218627939	Triggered	1	 PureTone-5kHz	50	2	2218627939
2218631281	Triggered	5	 PureTone-5kHz	50	2	2218631281
2218634158	Triggered	8	 NoSound	50	2	2218634158
2218640437	Triggered	5	 PureTone-5kHz	50	2	2218640437
2218643580	Triggered	8	 NoSound	50	2	2218643580
2218649530	Triggered	5	 PureTone-5kHz	50	2	2218649530
2218652545	Triggered	8	 NoSound	50	2	2218652545
2218659697	Triggered	5	 PureTone-5kHz	50	2	2218659697
2218662829	Triggered	8	 NoSound	50	2	2218662829
2218669589	Triggered	5	 PureTone-5kHz	50	2	2218669589
2218673992	Triggered	1	 PureTone-5kHz	50	2	2218673992
2218677139	Triggered	6	 NoSound	50	2	2218677139
2218685091	Triggered	1	 PureTone-5kHz	50	2	2218685091
2218688296	Triggered	6	 NoSound	50	2	2218688296
2218695854	Triggered	1	 PureTone-5kHz	50	2	2218695854
2218698991	Triggered	6	 NoSound	50	2	2218698991
2218706210	Triggered	1	 PureTone-5kHz	50	2	2218706210
2218709285	Triggered	4	 NoSound	50	2	2218709285
2218721249	Triggered	1	 PureTone-5kHz	50	2	2218721249
2218725059	Triggered	5	 PureTone-5kHz	50	2	2218725059
2218728078	Triggered	8	 NoSound	50	2	2218728078
2218738764	Triggered	5	 PureTone-5kHz	50	2	2218738764
2218741703	Triggered	8	 NoSound	50	2	2218741703
2218754074	Triggered	5	 PureTone-5kHz	50	2	2218754074
2218756815	Triggered	8	 NoSound	50	2	2218756815
2218767235	Triggered	5	 PureTone-5kHz	50	2	2218767235
2218770585	Triggered	2	 NoSound	50	2	2218770585
2218778933	Triggered	5	 PureTone-5kHz	50	2	2218778933
2218782280	Triggered	1	 PureTone-5kHz	50	2	2218782280
2218785417	Triggered	4	 NoSound	50	2	2218785417
2218793437	Triggered	1	 PureTone-5kHz	50	2	2218793437
2218797315	Triggered	4	 NoSound	50	2	2218797315
2218804338	Triggered	1	 PureTone-5kHz	50	2	2218804338
2218807878	Triggered	4	 NoSound	50	2	2218807878
2218815226	Triggered	1	 PureTone-5kHz	50	2	2218815226
2218818369	Triggered	6	 NoSound	50	2	2218818369
2218828062	Triggered	1	 PureTone-5kHz	50	2	2218828062
2218832006	Triggered	5	 PureTone-5kHz	50	2	2218832006
2218835219	Triggered	2	 NoSound	50	2	2218835219
2218840300	Triggered	5	 PureTone-5kHz	50	2	2218840300
2218844770	Triggered	2	 NoSound	50	2	2218844770
2218849920	Triggered	5	 PureTone-5kHz	50	2	2218849920
2218854330	Triggered	2	 NoSound	50	2	2218854330
2218859952	Triggered	5	 PureTone-5kHz	50	2	2218859952
2218862951	Triggered	8	 NoSound	50	2	2218862951
2218876259	Triggered	5	 PureTone-5kHz	50	2	2218876259
2218880063	Triggered	1	 PureTone-5kHz	50	2	2218880063
2218882944	Triggered	6	 NoSound	50	2	2218882944
2218890429	Triggered	1	 PureTone-5kHz	50	2	2218890429
2218893565	Triggered	6	 NoSound	50	2	2218893565
2218900786	Triggered	1	 PureTone-5kHz	50	2	2218900786
2218903992	Triggered	6	 NoSound	50	2	2218903992
2218911284	Triggered	1	 PureTone-5kHz	50	2	2218911284
2218914486	Triggered	4	 NoSound	50	2	2218914486
2218919699	Triggered	1	 PureTone-5kHz	50	2	2218919699
2218923510	Triggered	5	 PureTone-5kHz	50	2	2218923510
2218926926	Triggered	2	 NoSound	50	2	2218926926
2218931999	Triggered	5	 PureTone-5kHz	50	2	2218931999
2218945098	Triggered	2	 NoSound	50	2	2218945098
2218949845	Triggered	5	 PureTone-5kHz	50	2	2218949845
2218955466	Triggered	1	 PureTone-5kHz	50	2	2218955466
2218958735	Triggered	8	 NoSound	50	2	2218958735
2218964350	Triggered	2	 NoSound	50	2	2218964350
2218970037	Triggered	5	 PureTone-5kHz	50	2	2218970037
2218973442	Triggered	2	 NoSound	50	2	2218973442
2218978735	Triggered	5	 PureTone-5kHz	50	2	2218978735
2218982529	Triggered	1	 PureTone-5kHz	50	2	2218982529
2218985471	Triggered	4	 NoSound	50	2	2218985471
2218992355	Triggered	1	 PureTone-5kHz	50	2	2218992355
2218997843	Triggered	5	 PureTone-5kHz	50	2	2218997843
2219001385	Triggered	4	 NoSound	50	2	2219001385
2219008263	Triggered	1	 PureTone-5kHz	50	2	2219008263
2219013417	Triggered	4	 NoSound	50	2	2219013417
2219018758	Triggered	1	 PureTone-5kHz	50	2	2219018758
2219021766	Triggered	6	 NoSound	50	2	2219021766
2219029318	Triggered	1	 PureTone-5kHz	50	2	2219029318
2219033536	Triggered	5	 PureTone-5kHz	50	2	2219033536
2219036471	Triggered	8	 NoSound	50	2	2219036471
2219052648	Triggered	5	 PureTone-5kHz	50	2	2219052648
2219055790	Triggered	8	 NoSound	50	2	2219055790
2219066481	Triggered	5	 PureTone-5kHz	50	2	2219066481
2219069496	Triggered	8	 NoSound	50	2	2219069496
2219084065	Triggered	5	 PureTone-5kHz	50	2	2219084065
2219087070	Triggered	8	 NoSound	50	2	2219087070
2219099834	Triggered	5	 PureTone-5kHz	50	2	2219099834
2219103645	Triggered	1	 PureTone-5kHz	50	2	2219103645
2219106923	Triggered	4	 NoSound	50	2	2219106923
2219118157	Triggered	1	 PureTone-5kHz	50	2	2219118157
2219121291	Triggered	4	 NoSound	50	2	2219121291
2219132988	Triggered	1	 PureTone-5kHz	50	2	2219132988
2219136130	Triggered	4	 NoSound	50	2	2219136130
2219145890	Triggered	1	 PureTone-5kHz	50	2	2219145890
2219149235	Triggered	6	 NoSound	50	2	2219149235
2219154378	Triggered	1	 PureTone-5kHz	50	2	2219154378
2219158329	Triggered	5	 PureTone-5kHz	50	2	2219158329
2219161800	Triggered	8	 NoSound	50	2	2219161800
2219171957	Triggered	5	 PureTone-5kHz	50	2	2219171957
2219175173	Triggered	8	 NoSound	50	2	2219175173
2219185659	Triggered	5	 PureTone-5kHz	50	2	2219185659
2219188734	Triggered	8	 NoSound	50	2	2219188734
2219199901	Triggered	5	 PureTone-5kHz	50	2	2219199901
2219203580	Triggered	8	 NoSound	50	2	2219203580
2219212999	Triggered	5	 PureTone-5kHz	50	2	2219212999
2219216941	Triggered	1	 PureTone-5kHz	50	2	2219216941
2219220619	Triggered	4	 NoSound	50	2	2219220619
2219233184	Triggered	1	 PureTone-5kHz	50	2	2219233184
2219236258	Triggered	4	 NoSound	50	2	2219236258
2219248229	Triggered	1	 PureTone-5kHz	50	2	2219248229
2219251431	Triggered	4	 NoSound	50	2	2219251431
2219264064	Triggered	1	 PureTone-5kHz	50	2	2219264064
2219267272	Triggered	4	 NoSound	50	2	2219267272
2219278767	Triggered	1	 PureTone-5kHz	50	2	2219278767
2219283045	Triggered	5	 PureTone-5kHz	50	2	2219283045
2219286256	Triggered	2	 NoSound	50	2	2219286256
2219293011	Triggered	5	 PureTone-5kHz	50	2	2219293011
2219296481	Triggered	2	 NoSound	50	2	2219296481
2219302698	Triggered	5	 PureTone-5kHz	50	2	2219302698
2219305974	Triggered	2	 NoSound	50	2	2219305974
2219313793	Triggered	5	 PureTone-5kHz	50	2	2219313793
2219316872	Triggered	8	 NoSound	50	2	2219316872
2219331973	Triggered	5	 PureTone-5kHz	50	2	2219331973
2219335918	Triggered	1	 PureTone-5kHz	50	2	2219335918
2219339058	Triggered	4	 NoSound	50	2	2219339058
2219344880	Triggered	1	 PureTone-5kHz	50	2	2219344880
2219351557	Triggered	5	 PureTone-5kHz	50	2	2219351557
2219371475	Triggered	4	 NoSound	50	2	2219371475
2219377500	Triggered	1	 PureTone-5kHz	50	2	2219377500
2219381774	Triggered	4	 NoSound	50	2	2219381774
2219387584	Triggered	1	 PureTone-5kHz	50	2	2219387584
2219390736	Triggered	6	 NoSound	50	2	2219390736
2219401761	Triggered	1	 PureTone-5kHz	50	2	2219401761
2219406234	Triggered	5	 PureTone-5kHz	50	2	2219406234
2219409443	Triggered	8	 NoSound	50	2	2219409443
2219419601	Triggered	5	 PureTone-5kHz	50	2	2219419601
2219422744	Triggered	8	 NoSound	50	2	2219422744
2219432843	Triggered	5	 PureTone-5kHz	50	2	2219432843
2219436044	Triggered	8	 NoSound	50	2	2219436044
2219447476	Triggered	5	 PureTone-5kHz	50	2	2219447476
2219450349	Triggered	8	 NoSound	50	2	2219450349
2219459379	Triggered	5	 PureTone-5kHz	50	2	2219459379
2219463248	Triggered	1	 PureTone-5kHz	50	2	2219463248
2219466597	Triggered	6	 NoSound	50	2	2219466597
2219476350	Triggered	1	 PureTone-5kHz	50	2	2219476350
2219479758	Triggered	6	 NoSound	50	2	2219479758
2219489852	Triggered	1	 PureTone-5kHz	50	2	2219489852
2219493127	Triggered	6	 NoSound	50	2	2219493127
2219503353	Triggered	1	 PureTone-5kHz	50	2	2219503353
2219507563	Triggered	6	 NoSound	50	2	2219507563
2219517658	Triggered	1	 PureTone-5kHz	50	2	2219517658
2219522339	Triggered	5	 PureTone-5kHz	50	2	2219522339
2219525949	Triggered	2	 NoSound	50	2	2219525949
2219533437	Triggered	5	 PureTone-5kHz	50	2	2219533437
2219539046	Triggered	2	 NoSound	50	2	2219539046
2219546065	Triggered	5	 PureTone-5kHz	50	2	2219546065
2219549942	Triggered	2	 NoSound	50	2	2219549942
2219556566	Triggered	5	 PureTone-5kHz	50	2	2219556566
2219559833	Triggered	8	 NoSound	50	2	2219559833
2219573937	Triggered	5	 PureTone-5kHz	50	2	2219573937
2219577881	Triggered	1	 PureTone-5kHz	50	2	2219577881
2219581224	Triggered	6	 NoSound	50	2	2219581224
2219586771	Triggered	1	 PureTone-5kHz	50	2	2219586771
2219592051	Triggered	6	 NoSound	50	2	2219592051
2219599212	Triggered	1	 PureTone-5kHz	50	2	2219599212
2219606358	Triggered	5	 PureTone-5kHz	50	2	2219606358
2219611567	Triggered	6	 NoSound	50	2	2219611567
2219617722	Triggered	1	 PureTone-5kHz	50	2	2219617722
2219620926	Triggered	4	 NoSound	50	2	2219620926
2219633425	Triggered	1	 PureTone-5kHz	50	2	2219633425
2219637236	Triggered	5	 PureTone-5kHz	50	2	2219637236
2219640177	Triggered	8	 NoSound	50	2	2219640177
2219655016	Triggered	5	 PureTone-5kHz	50	2	2219655016
2219658028	Triggered	8	 NoSound	50	2	2219658028
2219671193	Triggered	5	 PureTone-5kHz	50	2	2219671193
2219674265	Triggered	8	 NoSound	50	2	2219674265
2219687366	Triggered	5	 PureTone-5kHz	50	2	2219687366
2219690709	Triggered	8	 NoSound	50	2	2219690709
2219703809	Triggered	5	 PureTone-5kHz	50	2	2219703809
