Ver1.2	2499208045	StartFile	4/11/2020	4:47:43 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\041120B\SoundData.txt	2499208045
2499350761	Triggered	4	 NoSound	50	2	2499350761
2499359847	Triggered	5	 PureTone-5kHz	50	2	2499359847
2499363528	Triggered	8	 NoSound	50	2	2499363528
2499369474	Triggered	5	 PureTone-5kHz	50	2	2499369474
2499373749	Triggered	2	 NoSound	50	2	2499373749
2499379833	Triggered	8	 NoSound	50	2	2499379833
2499384516	Triggered	6	 NoSound	50	2	2499384516
2499387987	Triggered	5	 PureTone-5kHz	50	2	2499387987
2499393734	Triggered	1	 PureTone-5kHz	50	2	2499393734
2499399348	Triggered	8	 NoSound	50	2	2499399348
2499404831	Triggered	5	 PureTone-5kHz	50	2	2499404831
2499407977	Triggered	2	 NoSound	50	2	2499407977
2499421140	Triggered	5	 PureTone-5kHz	50	2	2499421140
2499425218	Triggered	2	 NoSound	50	2	2499425218
2499431434	Triggered	1	 PureTone-5kHz	50	2	2499431434
2499434849	Triggered	6	 NoSound	50	2	2499434849
2499443403	Triggered	1	 PureTone-5kHz	50	2	2499443403
2499447081	Triggered	6	 NoSound	50	2	2499447081
2499455028	Triggered	1	 PureTone-5kHz	50	2	2499455028
2499458441	Triggered	6	 NoSound	50	2	2499458441
2499466261	Triggered	1	 PureTone-5kHz	50	2	2499466261
2499470274	Triggered	4	 NoSound	50	2	2499470274
2499484037	Triggered	1	 PureTone-5kHz	50	2	2499484037
2499487917	Triggered	5	 PureTone-5kHz	50	2	2499487917
2499491187	Triggered	8	 NoSound	50	2	2499491187
2499511241	Triggered	5	 PureTone-5kHz	50	2	2499511241
2499514850	Triggered	8	 NoSound	50	2	2499514850
2499519863	Triggered	5	 PureTone-5kHz	50	2	2499519863
2499524610	Triggered	1	 PureTone-5kHz	50	2	2499524610
2499530023	Triggered	8	 NoSound	50	2	2499530023
2499531833	Triggered	7	 NoSound	50	2	2499531833
2499533030	Triggered	6	 NoSound	50	2	2499533030
2499539049	Triggered	5	 PureTone-5kHz	50	2	2499539049
2499541991	Triggered	2	 NoSound	50	2	2499541991
2499551745	Triggered	5	 PureTone-5kHz	50	2	2499551745
2499554894	Triggered	2	 NoSound	50	2	2499554894
2499561506	Triggered	1	 PureTone-5kHz	50	2	2499561506
2499565052	Triggered	6	 NoSound	50	2	2499565052
2499571731	Triggered	1	 PureTone-5kHz	50	2	2499571731
2499577546	Triggered	6	 NoSound	50	2	2499577546
2499582761	Triggered	1	 PureTone-5kHz	50	2	2499582761
2499587507	Triggered	5	 PureTone-5kHz	50	2	2499587507
2499591255	Triggered	4	 NoSound	50	2	2499591255
2499604955	Triggered	5	 PureTone-5kHz	50	2	2499604955
2499609771	Triggered	6	 NoSound	50	2	2499609771
2499615852	Triggered	1	 PureTone-5kHz	50	2	2499615852
2499619121	Triggered	4	 NoSound	50	2	2499619121
2499627014	Triggered	1	 PureTone-5kHz	50	2	2499627014
2499631354	Triggered	5	 PureTone-5kHz	50	2	2499631354
2499634498	Triggered	8	 NoSound	50	2	2499634498
2499647935	Triggered	5	 PureTone-5kHz	50	2	2499647935
2499650944	Triggered	8	 NoSound	50	2	2499650945
2499663505	Triggered	5	 PureTone-5kHz	50	2	2499663505
2499666513	Triggered	8	 NoSound	50	2	2499666513
2499680348	Triggered	5	 PureTone-5kHz	50	2	2499680348
2499683630	Triggered	8	 NoSound	50	2	2499683630
2499698531	Triggered	5	 PureTone-5kHz	50	2	2499698531
2499702606	Triggered	1	 PureTone-5kHz	50	2	2499702606
2499705887	Triggered	4	 NoSound	50	2	2499705887
2499715711	Triggered	1	 PureTone-5kHz	50	2	2499715711
2499718648	Triggered	4	 NoSound	50	2	2499718648
2499729617	Triggered	1	 PureTone-5kHz	50	2	2499729617
2499732751	Triggered	4	 NoSound	50	2	2499732751
2499743983	Triggered	1	 PureTone-5kHz	50	2	2499743983
2499747790	Triggered	4	 NoSound	50	2	2499747790
2499758352	Triggered	1	 PureTone-5kHz	50	2	2499758352
2499762898	Triggered	5	 PureTone-5kHz	50	2	2499762898
2499766042	Triggered	8	 NoSound	50	2	2499766042
2499775261	Triggered	5	 PureTone-5kHz	50	2	2499775261
2499778939	Triggered	8	 NoSound	50	2	2499778939
2499786224	Triggered	5	 PureTone-5kHz	50	2	2499786224
2499789637	Triggered	8	 NoSound	50	2	2499789637
2499796657	Triggered	5	 PureTone-5kHz	50	2	2499796657
2499800463	Triggered	8	 NoSound	50	2	2499800463
2499807412	Triggered	5	 PureTone-5kHz	50	2	2499807412
2499812100	Triggered	1	 PureTone-5kHz	50	2	2499812100
2499815437	Triggered	6	 NoSound	50	2	2499815437
2499822787	Triggered	1	 PureTone-5kHz	50	2	2499822787
2499826336	Triggered	6	 NoSound	50	2	2499826336
2499833153	Triggered	1	 PureTone-5kHz	50	2	2499833153
2499836890	Triggered	6	 NoSound	50	2	2499836890
2499843509	Triggered	1	 PureTone-5kHz	50	2	2499843509
2499846916	Triggered	4	 NoSound	50	2	2499846916
2499862361	Triggered	1	 PureTone-5kHz	50	2	2499862361
2499866239	Triggered	5	 PureTone-5kHz	50	2	2499866239
2499869514	Triggered	8	 NoSound	50	2	2499869514
2499874658	Triggered	5	 PureTone-5kHz	50	2	2499874658
2499894438	Triggered	1	 PureTone-5kHz	50	2	2499894438
2499898588	Triggered	8	 NoSound	50	2	2499898588
2499902863	Triggered	5	 PureTone-5kHz	50	2	2499902863
2499912488	Triggered	1	 PureTone-5kHz	50	2	2499912488
2499919102	Triggered	4	 NoSound	50	2	2499919102
2499925588	Triggered	1	 PureTone-5kHz	50	2	2499925588
2499929262	Triggered	8	 NoSound	50	2	2499929262
2499933407	Triggered	5	 PureTone-5kHz	50	2	2499933407
2499936884	Triggered	2	 NoSound	50	2	2499936884
2499951120	Triggered	5	 PureTone-5kHz	50	2	2499951120
2499954734	Triggered	2	 NoSound	50	2	2499954734
2499965827	Triggered	1	 PureTone-5kHz	50	2	2499965827
2499969101	Triggered	6	 NoSound	50	2	2499969101
2499978194	Triggered	1	 PureTone-5kHz	50	2	2499978194
2499981739	Triggered	6	 NoSound	50	2	2499981739
