Ver1.2	251098021	StartFile	4/19/2020	2:37:36 PM	E:\BehavioralExperiments\Tianqi\Horizon\RawData\041920A\SoundData.txt	251098021
251277206	Triggered	1	 Modulated Tone	25	2	251277206
251282083	Triggered	4	 NoSound	50	2	251282083
251299198	Triggered	1	 Modulated Tone	25	2	251299198
251303138	Triggered	4	 NoSound	50	2	251303138
251314369	Triggered	1	 Modulated Tone	25	2	251314369
251317911	Triggered	4	 NoSound	50	2	251317911
251328671	Triggered	1	 Modulated Tone	25	2	251328671
251332085	Triggered	4	 NoSound	50	2	251332085
251342044	Triggered	1	 Modulated Tone	25	2	251342044
251345583	Triggered	4	 NoSound	50	2	251345583
251356879	Triggered	1	 Modulated Tone	25	2	251356879
251360155	Triggered	4	 NoSound	50	2	251360155
251370990	Triggered	1	 Modulated Tone	25	2	251370990
251374392	Triggered	4	 NoSound	50	2	251374392
251384627	Triggered	1	 Modulated Tone	25	2	251384627
251388032	Triggered	4	 NoSound	50	2	251388032
251398459	Triggered	1	 Modulated Tone	25	2	251398459
251401997	Triggered	4	 NoSound	50	2	251401997
251414428	Triggered	1	 Modulated Tone	25	2	251414428
251419846	Triggered	5	 Modulated Tone	25	2	251419846
251426459	Triggered	2	 NoSound	50	2	251426459
251435821	Triggered	5	 Modulated Tone	25	2	251435821
251440298	Triggered	2	 NoSound	50	2	251440298
251449186	Triggered	5	 Modulated Tone	25	2	251449186
251452462	Triggered	2	 NoSound	50	2	251452462
251461286	Triggered	5	 Modulated Tone	25	2	251461286
251465028	Triggered	8	 NoSound	50	2	251465028
251480400	Triggered	5	 Modulated Tone	25	2	251480400
251483950	Triggered	2	 NoSound	50	2	251483950
251490895	Triggered	5	 Modulated Tone	25	2	251490895
251495311	Triggered	2	 NoSound	50	2	251495311
251501588	Triggered	5	 Modulated Tone	25	2	251501588
251505933	Triggered	2	 NoSound	50	2	251505933
251513689	Triggered	5	 Modulated Tone	25	2	251513689
251517166	Triggered	8	 NoSound	50	2	251517166
251529529	Triggered	5	 Modulated Tone	25	2	251529529
251532803	Triggered	8	 NoSound	50	2	251532803
251545372	Triggered	5	 Modulated Tone	25	2	251545372
251549315	Triggered	1	 Modulated Tone	25	2	251549315
251552998	Triggered	4	 NoSound	50	2	251552998
251562420	Triggered	1	 Modulated Tone	25	2	251562420
251566558	Triggered	4	 NoSound	50	2	251566558
251575581	Triggered	1	 Modulated Tone	25	2	251575581
251579192	Triggered	4	 NoSound	50	2	251579192
251588083	Triggered	1	 Modulated Tone	25	2	251588083
251592031	Triggered	4	 NoSound	50	2	251592031
251602727	Triggered	1	 Modulated Tone	25	2	251602727
251606797	Triggered	6	 NoSound	50	2	251606797
251615422	Triggered	1	 Modulated Tone	25	2	251615422
251619570	Triggered	6	 NoSound	50	2	251619570
251627382	Triggered	1	 Modulated Tone	25	2	251627382
251631326	Triggered	6	 NoSound	50	2	251631326
251637543	Triggered	1	 Modulated Tone	25	2	251637543
251641889	Triggered	4	 NoSound	50	2	251641889
251651314	Triggered	1	 Modulated Tone	25	2	251651314
251655389	Triggered	4	 NoSound	50	2	251655389
251663352	Triggered	1	 Modulated Tone	25	2	251663352
251667894	Triggered	5	 Modulated Tone	25	2	251667894
251671176	Triggered	2	 NoSound	50	2	251671176
251678854	Triggered	5	 Modulated Tone	25	2	251678854
251682193	Triggered	2	 NoSound	50	2	251682193
