Wednesday, June 5, 2019	3:52:22 PM	7-2 random130.txt	1808092673
cued	now	1808102436
2	BlinkStart	1808102539
2	BlinkEnd	1808407660
2	Feed	1808407741
5	BlinkStart	1808407972
5	BlinkEnd	1808432085
5	Feed	1808432165
2	BlinkStart	1808432397
2	BlinkEnd	1808522238
2	Feed	1808522318
7	BlinkStart	1808522549
7	BlinkEnd	1808523197
7	Feed	1808523277
2	BlinkStart	1808523508
2	BlinkEnd	1808523780
2	Feed	1808523860
5	BlinkStart	1808524090
5	BlinkEnd	1808580896
5	Feed	1808580977
2	BlinkStart	1808581207
2	BlinkEnd	1808695702
2	Feed	1808695782
7	BlinkStart	1808696012
7	BlinkEnd	1808890631
7	Feed	1808890712
2	BlinkStart	1808890942
2	BlinkEnd	1809023961
2	Feed	1809024042
5	BlinkStart	1809024272
5	BlinkEnd	1809321357
5	Feed	1809321437
2	BlinkStart	1809321667
2	BlinkEnd	1809508143
2	Feed	1809508430
7	BlinkStart	1809508660
7	BlinkEnd	1809508931
7	Feed	1809509011
