Friday, June 28, 2019	8:15:56 PM	allfeedersrandom9-130.txt	710107203
cued	now	710131919
1	BlinkStart	710131999
1	BlinkEnd	710256249
1	Feed	710256329
7	BlinkStart	710256559
7	BlinkEnd	710285487
7	Feed	710285568
3	BlinkStart	710285798
3	BlinkEnd	710406731
3	Feed	710406811
6	BlinkStart	710407041
6	BlinkEnd	710583388
6	Feed	710583468
1	BlinkStart	710583698
1	BlinkEnd	710825219
1	Feed	710825300
5	BlinkStart	710825530
5	BlinkEnd	710938986
5	Feed	710939066
1	BlinkStart	710939296
1	BlinkEnd	711001222
1	Feed	711001302
5	BlinkStart	711001532
5	BlinkEnd	711046069
5	Feed	711046149
1	BlinkStart	711046379
1	BlinkEnd	711098332
1	Feed	711098412
5	BlinkStart	711098642
5	BlinkEnd	711156696
5	Feed	711156776
6	BlinkStart	711157006
6	BlinkEnd	711399182
6	Feed	711399262
4	BlinkStart	711399493
4	BlinkEnd	711405675
4	Feed	711405755
5	BlinkStart	711405985
5	BlinkEnd	711467097
5	Feed	711467178
8	BlinkStart	711467408
8	BlinkEnd	711517759
8	Feed	711517839
5	BlinkStart	711518070
5	BlinkEnd	711737733
5	Feed	711737813
7	BlinkStart	711738043
7	BlinkEnd	711823364
7	Feed	711823445
4	BlinkStart	711823675
4	BlinkEnd	711942337
4	Feed	711942417
2	BlinkStart	711942647
2	BlinkEnd	712039455
2	Feed	712039535
5	BlinkStart	712039765
5	BlinkEnd	712047619
5	Feed	712047699
3	BlinkStart	712047930
3	BlinkEnd	712049758
3	Feed	712049838
8	BlinkStart	712050068
8	BlinkEnd	712050814
8	Feed	712050894
3	BlinkStart	712051124
3	BlinkEnd	712052954
3	Feed	712053034
8	BlinkStart	712053264
8	BlinkEnd	712054426
8	Feed	712054506
3	BlinkStart	712054737
3	BlinkEnd	712055569
3	Feed	712055649
2	BlinkStart	712055879
2	BlinkEnd	712090591
2	Feed	712090671
6	BlinkStart	712090901
6	BlinkEnd	712503222
6	Feed	712503302
2	BlinkStart	712503532
2	BlinkEnd	712503803
2	Feed	712503883
