Monday, July 1, 2019	8:27:04 PM	allfeedersrandom10-130.txt	200748251
cued	now	200771247
1	BlinkStart	200771327
1	BlinkEnd	200931042
1	Feed	200931122
7	BlinkStart	200931353
7	BlinkEnd	201101131
7	Feed	201101212
5	BlinkStart	201101443
5	BlinkEnd	201221041
5	Feed	201221121
8	BlinkStart	201221351
8	BlinkEnd	201267761
8	Feed	201267842
2	BlinkStart	201268072
2	BlinkEnd	201333130
2	Feed	201333210
6	BlinkStart	201333440
6	BlinkEnd	201583067
6	Feed	201583147
1	BlinkStart	201583377
1	BlinkEnd	201650852
1	Feed	201650933
3	BlinkStart	201651163
3	BlinkEnd	201675855
3	Feed	201675935
5	BlinkStart	201676165
5	BlinkEnd	201714754
5	Feed	201714834
8	BlinkStart	201715064
8	BlinkEnd	202050598
8	Feed	202050678
2	BlinkStart	202050909
2	BlinkEnd	202086158
2	Feed	202086238
8	BlinkStart	202086469
8	BlinkEnd	202100129
8	Feed	202100209
4	BlinkStart	202100440
4	BlinkEnd	202159352
4	Feed	202159432
8	BlinkStart	202159662
8	BlinkEnd	202280731
8	Feed	202280811
4	BlinkStart	202281044
4	BlinkEnd	202319904
4	Feed	202319985
8	BlinkStart	202320217
8	BlinkEnd	202428249
8	Feed	202428329
4	BlinkStart	202428560
4	BlinkEnd	202560754
0	NoFeed	202560835
7	BlinkStart	202561065
7	BlinkEnd	202611269
7	Feed	202611349
2	BlinkStart	202611579
2	BlinkEnd	202651394
2	Feed	202651474
5	BlinkStart	202651704
5	BlinkEnd	202689270
5	Feed	202689350
8	BlinkStart	202689581
8	BlinkEnd	202699761
8	Feed	202699841
7	BlinkStart	202700071
7	BlinkEnd	202710587
7	Feed	202710668
1	BlinkStart	202710898
1	BlinkEnd	202797280
1	Feed	202797360
6	BlinkStart	202797590
6	BlinkEnd	202824244
0	NoFeed	202824324
3	BlinkStart	202824554
3	BlinkEnd	202824825
0	NoFeed	202824906
