Friday, July 19, 2019	7:48:41 PM	taskset_random130_20190719T194031.txt	855912884
cued	now	856111055
1	BlinkStart	856111136
1	BlinkEnd	856262444
1	Feed	856262524
2	BlinkStart	856262754
2	BlinkEnd	856487429
2	Feed	856487510
1	BlinkStart	856487741
1	BlinkEnd	856509749
1	Feed	856509829
8	BlinkStart	856510060
8	BlinkEnd	856520179
8	Feed	856520259
2	BlinkStart	856520490
2	BlinkEnd	856640562
2	Feed	856640642
5	BlinkStart	856640872
5	BlinkEnd	856672438
5	Feed	856672519
6	BlinkStart	856672750
6	BlinkEnd	856682200
6	Feed	856682280
3	BlinkStart	856682512
3	BlinkEnd	856758003
3	Feed	856758084
7	BlinkStart	856758316
7	BlinkEnd	856797701
7	Feed	856797781
2	BlinkStart	856798012
2	BlinkEnd	856827383
2	Feed	856827463
3	BlinkStart	856827693
3	BlinkEnd	856898033
3	Feed	856898113
4	BlinkStart	856898343
4	BlinkEnd	856917810
4	Feed	856917891
5	BlinkStart	856918121
5	BlinkEnd	856928105
5	Feed	856928185
7	BlinkStart	856928416
7	BlinkEnd	856937003
7	Feed	856937083
1	BlinkStart	856937313
1	BlinkEnd	856947229
1	Feed	856947310
3	BlinkStart	856947541
3	BlinkEnd	856966209
3	Feed	856966289
4	BlinkStart	856966519
4	BlinkEnd	857041061
4	Feed	857041141
1	BlinkStart	857041371
1	BlinkEnd	857055243
1	Feed	857055323
3	BlinkStart	857055553
3	BlinkEnd	857065132
3	Feed	857065212
4	BlinkStart	857065443
4	BlinkEnd	857071617
4	Feed	857071697
8	BlinkStart	857071927
8	BlinkEnd	857100689
8	Feed	857100769
7	BlinkStart	857100999
7	BlinkEnd	857122277
7	Feed	857122357
3	BlinkStart	857122587
3	BlinkEnd	857269400
3	Feed	857269480
6	BlinkStart	857269710
6	BlinkEnd	857285177
6	Feed	857285257
7	BlinkStart	857285488
7	BlinkEnd	857302889
7	Feed	857302969
2	BlinkStart	857303200
2	BlinkEnd	857320935
2	Feed	857321015
8	BlinkStart	857321245
8	BlinkEnd	857330489
8	Feed	857330569
4	BlinkStart	857330799
4	BlinkEnd	857348801
4	Feed	857348881
2	BlinkStart	857349111
2	BlinkEnd	857363303
2	Feed	857363384
7	BlinkStart	857363614
7	BlinkEnd	857373538
7	Feed	857373618
5	BlinkStart	857373848
5	BlinkEnd	857388242
5	Feed	857388322
1	BlinkStart	857388553
1	BlinkEnd	857400608
1	Feed	857400688
6	BlinkStart	857400918
6	BlinkEnd	857413437
6	Feed	857413517
8	BlinkStart	857413747
8	BlinkEnd	857422932
8	Feed	857423012
7	BlinkStart	857423243
7	BlinkEnd	857431690
7	Feed	857431771
2	BlinkStart	857432002
2	BlinkEnd	857458027
2	Feed	857458107
7	BlinkStart	857458337
7	BlinkEnd	857479342
7	Feed	857479422
3	BlinkStart	857479653
3	BlinkEnd	857503544
3	Feed	857503625
1	BlinkStart	857503856
1	BlinkEnd	857858369
1	Feed	857858450
2	BlinkStart	857858681
2	BlinkEnd	857889613
2	Feed	857889693
5	BlinkStart	857889923
3	KBWrong3	857920311
5	BlinkEnd	857924038
5	Feed	857924118
2	BlinkStart	857924348
4	KBWrong4	858014671
2	BlinkEnd	858201162
2	Feed	858201242
1	BlinkStart	858201473
1	BlinkEnd	858213857
1	Feed	858213937
5	BlinkStart	858214168
5	BlinkEnd	858244007
5	Feed	858244087
7	BlinkStart	858244318
7	BlinkEnd	858265256
7	Feed	858265337
5	BlinkStart	858265567
5	BlinkEnd	858427217
5	Feed	858427297
2	BlinkStart	858427527
2	BlinkEnd	858445936
2	Feed	858446016
8	BlinkStart	858446247
8	BlinkEnd	858457435
8	Feed	858457515
7	BlinkStart	858457745
7	BlinkEnd	858470593
7	Feed	858470673
1	BlinkStart	858470904
1	BlinkEnd	858497940
1	Feed	858498020
6	BlinkStart	858498251
6	BlinkEnd	858509696
6	Feed	858509776
8	BlinkStart	858510006
8	BlinkEnd	858530288
8	Feed	858530369
6	BlinkStart	858530600
6	BlinkEnd	858541306
6	Feed	858541386
5	BlinkStart	858541616
5	BlinkEnd	858547530
5	Feed	858547610
2	BlinkStart	858547840
2	BlinkEnd	858568448
2	Feed	858568529
8	BlinkStart	858568760
8	BlinkEnd	858599531
8	Feed	858599612
7	BlinkStart	858599843
7	BlinkEnd	858609219
7	Feed	858609299
5	BlinkStart	858609530
5	BlinkEnd	858621462
5	Feed	858621542
1	BlinkStart	858621773
1	BlinkEnd	858639301
1	Feed	858639381
5	BlinkStart	858639612
5	BlinkEnd	858649864
5	Feed	858649945
3	BlinkStart	858650176
3	BlinkEnd	858663305
3	Feed	858663385
4	BlinkStart	858663616
4	BlinkEnd	858677006
4	Feed	858677086
3	BlinkStart	858677319
3	BlinkEnd	858682815
3	Feed	858682895
5	BlinkStart	858683125
5	BlinkEnd	858694382
5	Feed	858694462
2	BlinkStart	858694692
2	BlinkEnd	858704743
2	Feed	858704823
6	BlinkStart	858705053
6	BlinkEnd	858714967
6	Feed	858715047
3	BlinkStart	858715278
3	BlinkEnd	858723116
3	Feed	858723196
5	BlinkStart	858723426
6	KBWrong6	858758312
8	KBWrong8	858758513
5	BlinkEnd	858822186
0	NoFeed	858822267
8	BlinkStart	858822497
8	BlinkEnd	858822768
0	NoFeed	858822848
