Thursday, September 5, 2019	3:10:59 PM	Game1.txt	847616315
cued	now	847628881
5	BlinkStart	847628961
5	BlinkEnd	847658840
0	NoFeed	847658921
2	BlinkStart	847659152
2	BlinkEnd	847675655
2	Feed	847675735
5	BlinkStart	847675965
1	KBWrong1	847721404
5	BlinkEnd	847725354
5	Feed	847725434
8	BlinkStart	847725664
8	BlinkEnd	847735868
8	Feed	847735948
5	BlinkStart	847736178
5	BlinkEnd	847746175
5	Feed	847746255
2	BlinkStart	847746486
2	BlinkEnd	847756759
2	Feed	847756839
5	BlinkStart	847757069
5	BlinkEnd	847765357
5	Feed	847765437
2	BlinkStart	847765667
2	BlinkEnd	847774508
2	Feed	847774589
5	BlinkStart	847774820
5	BlinkEnd	847782391
5	Feed	847782471
8	BlinkStart	847782701
8	BlinkEnd	847795197
8	Feed	847795277
5	BlinkStart	847795507
5	BlinkEnd	847804654
5	Feed	847804735
8	BlinkStart	847804965
8	BlinkEnd	847813494
8	Feed	847813574
5	BlinkStart	847813804
5	BlinkEnd	847821913
5	Feed	847821993
28	BlinkStart	847822224
28	BlinkEnd	847830699
2	Feed	847830779
5	BlinkStart	847831010
5	BlinkEnd	847838167
5	Feed	847838247
28	BlinkStart	847838477
28	BlinkEnd	847845981
2	Feed	847846062
5	BlinkStart	847846293
5	BlinkEnd	847853206
5	Feed	847853286
28	BlinkStart	847853517
28	BlinkEnd	847860773
2	Feed	847860854
5	BlinkStart	847861084
5	BlinkEnd	847870531
5	Feed	847870611
28	BlinkStart	847870841
28	BlinkEnd	847878466
8	Feed	847878546
5	BlinkStart	847878777
5	BlinkEnd	847900197
5	Feed	847900278
28	BlinkStart	847900508
28	BlinkEnd	847909760
2	Feed	847909840
5	BlinkStart	847910070
5	BlinkEnd	847916851
5	Feed	847916931
28	BlinkStart	847917161
28	BlinkEnd	847925046
2	Feed	847925126
5	BlinkStart	847925356
5	BlinkEnd	847937855
5	Feed	847937935
28	BlinkStart	847938165
28	BlinkEnd	847946879
2	Feed	847946959
5	BlinkStart	847947189
5	BlinkEnd	847959697
5	Feed	847959777
28	BlinkStart	847960007
28	BlinkEnd	847968477
2	Feed	847968557
5	BlinkStart	847968787
5	BlinkEnd	847975822
5	Feed	847975902
28	BlinkStart	847976133
28	BlinkEnd	847994952
2	Feed	847995032
5	BlinkStart	847995262
5	BlinkEnd	848002475
5	Feed	848002556
28	BlinkStart	848002786
28	BlinkEnd	848009448
8	Feed	848009528
5	BlinkStart	848009759
5	BlinkEnd	848015283
5	Feed	848015364
28	BlinkStart	848015594
28	BlinkEnd	848023531
2	Feed	848023611
5	BlinkStart	848023842
5	BlinkEnd	848031238
5	Feed	848031318
28	BlinkStart	848031548
28	BlinkEnd	848038691
8	Feed	848038771
5	BlinkStart	848039001
5	BlinkEnd	848042481
5	Feed	848042561
28	BlinkStart	848042791
28	BlinkEnd	848050547
8	Feed	848050627
5	BlinkStart	848050858
5	BlinkEnd	848054695
5	Feed	848054775
28	BlinkStart	848055005
