Thursday, October 10, 2019	8:32:08 PM	Game1.txt	182825417
cued	now	182836712
1	BlinkStart	182836792
1	BlinkEnd	182869603
1	NoFeedLowProb	182869683
4	BlinkStart	182869913
4	BlinkEnd	182886991
4	Feed	182887072
1	BlinkStart	182887303
1	BlinkEnd	182895547
1	NoFeedLowProb	182895627
4	BlinkStart	182895858
4	BlinkEnd	182900560
4	Feed	182900640
1	BlinkStart	182900871
1	BlinkEnd	182907117
1	NoFeedLowProb	182907197
6	BlinkStart	182907428
6	BlinkEnd	182933186
6	Feed	182933266
1	BlinkStart	182933498
1	BlinkEnd	182994674
1	NoFeedLowProb	182994754
4	BlinkStart	182994985
4	BlinkEnd	182998887
4	Feed	182998967
1	BlinkStart	182999198
1	BlinkEnd	183010388
1	NoFeedLowProb	183010468
6	BlinkStart	183010699
6	BlinkEnd	183015327
6	Feed	183015407
1	BlinkStart	183015637
1	BlinkEnd	183032781
1	NoFeedLowProb	183032861
6	BlinkStart	183033092
6	BlinkEnd	183037318
6	Feed	183037398
1	BlinkStart	183037628
1	BlinkEnd	183053094
1	NoFeedLowProb	183053174
64	BlinkStart	183053405
64	BlinkEnd	183057577
6	Feed	183057657
1	BlinkStart	183057888
1	BlinkEnd	183068465
1	NoFeedLowProb	183068545
64	BlinkStart	183068776
64	BlinkEnd	183072483
6	Feed	183072563
1	BlinkStart	183072794
1	BlinkEnd	183105433
1	NoFeedLowProb	183105514
64	BlinkStart	183105744
64	BlinkEnd	183110980
6	Feed	183111060
1	BlinkStart	183111290
1	BlinkEnd	183123275
1	NoFeedLowProb	183123355
64	BlinkStart	183123585
64	BlinkEnd	183126755
6	Feed	183126835
1	BlinkStart	183127067
1	BlinkEnd	183137251
1	NoFeedLowProb	183137332
64	BlinkStart	183137562
64	BlinkEnd	183142525
6	Feed	183142605
1	BlinkStart	183142835
1	BlinkEnd	183164182
1	NoFeedLowProb	183164262
64	BlinkStart	183164492
64	BlinkEnd	183167792
6	Feed	183167872
1	BlinkStart	183168102
1	BlinkEnd	183177357
1	NoFeedLowProb	183177437
64	BlinkStart	183177667
64	BlinkEnd	183180901
6	Feed	183180982
