Saturday, October 12, 2019	5:52:55 PM	Game1.txt	346073338
cued	now	346081703
5	BlinkStart	346081783
5	BlinkEnd	346108759
5	NoFeedLowProb	346108839
2	BlinkStart	346109069
2	BlinkEnd	346117122
2	Feed	346117202
5	BlinkStart	346117432
5	BlinkEnd	346143857
5	NoFeedLowProb	346143937
8	BlinkStart	346144167
8	BlinkEnd	346148534
8	Feed	346148614
5	BlinkStart	346148844
5	BlinkEnd	346165789
5	NoFeedLowProb	346165870
2	BlinkStart	346166100
2	BlinkEnd	346169662
2	Feed	346169742
5	BlinkStart	346169972
5	BlinkEnd	346179356
5	NoFeedLowProb	346179436
8	BlinkStart	346179666
8	BlinkEnd	346183293
8	Feed	346183373
5	BlinkStart	346183603
5	BlinkEnd	346200810
5	NoFeedLowProb	346200890
82	BlinkStart	346201120
82	BlinkEnd	346204016
2	Feed	346204096
5	BlinkStart	346204326
5	BlinkEnd	346213501
5	NoFeedLowProb	346213581
82	BlinkStart	346213811
82	BlinkEnd	346217050
8	Feed	346217130
5	BlinkStart	346217360
3	KBWrong3	346230399
5	BlinkEnd	346231622
5	NoFeedLowProb	346231702
82	BlinkStart	346231932
5	KBWrong5	346232631
82	BlinkEnd	346235430
2	Feed	346235510
5	BlinkStart	346235740
5	BlinkEnd	346242583
5	NoFeedLowProb	346242663
82	BlinkStart	346242893
82	BlinkEnd	346247792
2	Feed	346247872
5	BlinkStart	346248102
5	BlinkEnd	346254753
5	NoFeedLowProb	346254833
82	BlinkStart	346255063
82	BlinkEnd	346259100
2	Feed	346259180
5	BlinkStart	346259411
5	BlinkEnd	346267976
5	NoFeedLowProb	346268056
82	BlinkStart	346268286
82	BlinkEnd	346271802
2	Feed	346271882
5	BlinkStart	346272112
5	BlinkEnd	346299998
5	NoFeedLowProb	346300078
82	BlinkStart	346300308
82	BlinkEnd	346303406
2	Feed	346303486
5	BlinkStart	346303716
5	BlinkEnd	346315514
5	NoFeedLowProb	346315594
82	BlinkStart	346315824
82	BlinkEnd	346319123
2	Feed	346319203
1	BlinkStart	346319433
1	BlinkEnd	346326336
1	NoFeedLowProb	346326416
4	BlinkStart	346326646
4	BlinkEnd	346330214
4	Feed	346330294
1	BlinkStart	346330524
1	BlinkEnd	346341780
1	NoFeedLowProb	346341860
6	BlinkStart	346342090
6	BlinkEnd	346345916
6	Feed	346345996
1	BlinkStart	346346227
1	BlinkEnd	346361229
1	NoFeedLowProb	346361309
6	BlinkStart	346361540
6	BlinkEnd	346365031
6	Feed	346365111
1	BlinkStart	346365342
1	BlinkEnd	346384823
1	NoFeedLowProb	346384903
4	BlinkStart	346385133
4	BlinkEnd	346388763
4	Feed	346388843
1	BlinkStart	346389073
1	BlinkEnd	346396993
1	NoFeedLowProb	346397074
46	BlinkStart	346397305
46	BlinkEnd	346412090
6	Feed	346412170
1	BlinkStart	346412401
1	BlinkEnd	346507466
1	NoFeedLowProb	346507547
46	BlinkStart	346507777
46	BlinkEnd	346512355
6	Feed	346512435
1	BlinkStart	346512665
5	KBWrong5	346513770
1	BlinkEnd	346535012
1	NoFeedLowProb	346535092
46	BlinkStart	346535322
46	BlinkEnd	346538884
6	Feed	346538965
1	BlinkStart	346539195
1	BlinkEnd	346555068
1	NoFeedLowProb	346555148
46	BlinkStart	346555379
46	BlinkEnd	346559080
6	Feed	346559161
1	BlinkStart	346559392
1	BlinkEnd	346575513
