Monday, November 25, 2019	3:39:03 PM	Game1.txt	1113836001
cued	now	1113844719
5	BlinkStart	1113844799
5	BlinkEnd	1113887492
5	NoFeedLowProb	1113887572
8	BlinkStart	1113887802
8	BlinkEnd	1113892039
8	Feed	1113892120
5	BlinkStart	1113892351
5	BlinkEnd	1113911558
5	NoFeedLowProb	1113911638
8	BlinkStart	1113911870
8	BlinkEnd	1113915028
8	Feed	1113915108
5	BlinkStart	1113915338
5	BlinkEnd	1113927200
5	NoFeedLowProb	1113927280
8	BlinkStart	1113927510
8	BlinkEnd	1113931270
8	Feed	1113931350
5	BlinkStart	1113931580
5	BlinkEnd	1113942237
5	NoFeedLowProb	1113942317
8	BlinkStart	1113942548
8	BlinkEnd	1113945911
8	Feed	1113945991
5	BlinkStart	1113946221
5	BlinkEnd	1113954731
5	NoFeedLowProb	1113954811
82	BlinkStart	1113955041
82	BlinkEnd	1113958808
2	Feed	1113958888
5	BlinkStart	1113959119
5	BlinkEnd	1113983545
5	NoFeedLowProb	1113983626
82	BlinkStart	1113983857
82	BlinkEnd	1113987553
2	Feed	1113987633
5	BlinkStart	1113987865
5	BlinkEnd	1114006335
5	NoFeedLowProb	1114006415
82	BlinkStart	1114006646
82	BlinkEnd	1114009878
2	Feed	1114009959
5	BlinkStart	1114010189
5	BlinkEnd	1114025319
5	NoFeedLowProb	1114025399
82	BlinkStart	1114025630
82	BlinkEnd	1114028991
2	Feed	1114029072
5	BlinkStart	1114029302
5	BlinkEnd	1114046835
5	NoFeedLowProb	1114046915
8	BlinkStart	1114047145
8	BlinkEnd	1114050718
8	Feed	1114050799
5	BlinkStart	1114051031
5	BlinkEnd	1114059485
5	NoFeedLowProb	1114059565
8	BlinkStart	1114059796
8	BlinkEnd	1114075512
8	Feed	1114075592
5	BlinkStart	1114075822
5	BlinkEnd	1114098910
5	NoFeedLowProb	1114098990
2	BlinkStart	1114099221
2	BlinkEnd	1114102516
2	Feed	1114102597
5	BlinkStart	1114102828
5	BlinkEnd	1114120570
5	NoFeedLowProb	1114120650
2	BlinkStart	1114120880
2	BlinkEnd	1114124109
2	Feed	1114124189
5	BlinkStart	1114124419
5	BlinkEnd	1114144763
5	NoFeedLowProb	1114144843
2	BlinkStart	1114145074
2	BlinkEnd	1114148435
2	Feed	1114148515
5	BlinkStart	1114148745
5	BlinkEnd	1114167756
5	NoFeedLowProb	1114167837
8	BlinkStart	1114168069
8	BlinkEnd	1114171569
8	Feed	1114171649
5	BlinkStart	1114171881
5	BlinkEnd	1114181457
5	NoFeedLowProb	1114181537
2	BlinkStart	1114181768
2	BlinkEnd	1114185398
2	Feed	1114185479
5	BlinkStart	1114185710
5	BlinkEnd	1114199042
5	NoFeedLowProb	1114199122
8	BlinkStart	1114199352
8	BlinkEnd	1114203111
8	Feed	1114203191
5	BlinkStart	1114203423
5	BlinkEnd	1114212267
5	NoFeedLowProb	1114212347
82	BlinkStart	1114212578
82	BlinkEnd	1114216550
2	Feed	1114216630
5	BlinkStart	1114216860
5	BlinkEnd	1114235398
5	NoFeedLowProb	1114235478
82	BlinkStart	1114235709
82	BlinkEnd	1114240408
2	Feed	1114240489
5	BlinkStart	1114240719
5	BlinkEnd	1114254516
5	NoFeedLowProb	1114254597
82	BlinkStart	1114254827
82	BlinkEnd	1114259262
2	Feed	1114259343
5	BlinkStart	1114259573
5	BlinkEnd	1114274371
5	NoFeedLowProb	1114274452
82	BlinkStart	1114274683
82	BlinkEnd	1114279719
2	Feed	1114279799
1	BlinkStart	1114280029
1	BlinkEnd	1114324497
1	NoFeedLowProb	1114324577
4	BlinkStart	1114324807
4	BlinkEnd	1114328573
4	Feed	1114328653
1	BlinkStart	1114328883
1	BlinkEnd	1114344750
1	NoFeedLowProb	1114344830
4	BlinkStart	1114345060
4	BlinkEnd	1114349027
4	Feed	1114349107
1	BlinkStart	1114349338
1	BlinkEnd	1114377900
1	NoFeedLowProb	1114377981
4	BlinkStart	1114378211
4	BlinkEnd	1114382387
4	Feed	1114382468
1	BlinkStart	1114382698
1	BlinkEnd	1114392207
1	NoFeedLowProb	1114392288
4	BlinkStart	1114392520
4	BlinkEnd	1114396146
4	Feed	1114396227
1	BlinkStart	1114396458
1	BlinkEnd	1114405376
1	NoFeedLowProb	1114405456
46	BlinkStart	1114405686
46	BlinkEnd	1114409251
6	Feed	1114409331
1	BlinkStart	1114409562
1	BlinkEnd	1114430905
1	NoFeedLowProb	1114430985
46	BlinkStart	1114431215
46	BlinkEnd	1114435583
4	Feed	1114435663
1	BlinkStart	1114435894
1	BlinkEnd	1114450354
1	NoFeedLowProb	1114450435
46	BlinkStart	1114450665
46	BlinkEnd	1114454438
4	Feed	1114454519
1	BlinkStart	1114454750
1	BlinkEnd	1114463724
1	NoFeedLowProb	1114463804
46	BlinkStart	1114464035
46	BlinkEnd	1114468136
6	Feed	1114468216
1	BlinkStart	1114468447
1	BlinkEnd	1114491804
1	NoFeedLowProb	1114491884
4	BlinkStart	1114492115
4	BlinkEnd	1114496080
4	Feed	1114496161
1	BlinkStart	1114496392
1	BlinkEnd	1114505642
1	NoFeedLowProb	1114505722
6	BlinkStart	1114505952
6	BlinkEnd	1114509643
6	Feed	1114509724
1	BlinkStart	1114509955
1	BlinkEnd	1114528831
1	NoFeedLowProb	1114528912
4	BlinkStart	1114529145
4	BlinkEnd	1114533246
4	Feed	1114533327
1	BlinkStart	1114533557
1	BlinkEnd	1114542664
1	NoFeedLowProb	1114542745
6	BlinkStart	1114542976
6	BlinkEnd	1114547074
6	Feed	1114547155
1	BlinkStart	1114547386
1	BlinkEnd	1114571806
1	NoFeedLowProb	1114571886
4	BlinkStart	1114572117
4	BlinkEnd	1114576089
4	Feed	1114576170
1	BlinkStart	1114576401
1	BlinkEnd	1114585248
1	NoFeedLowProb	1114585329
4	BlinkStart	1114585560
4	BlinkEnd	1114589717
4	Feed	1114589797
1	BlinkStart	1114590028
1	BlinkEnd	1114599148
1	NoFeedLowProb	1114599228
6	BlinkStart	1114599460
6	BlinkEnd	1114603822
6	Feed	1114603903
1	BlinkStart	1114604134
1	BlinkEnd	1114622937
1	NoFeedLowProb	1114623017
6	BlinkStart	1114623247
6	BlinkEnd	1114628153
6	Feed	1114628233
1	BlinkStart	1114628464
1	BlinkEnd	1114645135
1	NoFeedLowProb	1114645215
46	BlinkStart	1114645446
46	BlinkEnd	1114650615
4	Feed	1114650695
1	BlinkStart	1114650925
1	BlinkEnd	1114659436
1	NoFeedLowProb	1114659516
46	BlinkStart	1114659746
46	BlinkEnd	1114665458
4	Feed	1114665538
1	BlinkStart	1114665769
1	BlinkEnd	1114674678
1	NoFeedLowProb	1114674759
46	BlinkStart	1114674989
46	BlinkEnd	1114680155
6	Feed	1114680235
1	BlinkStart	1114680466
1	BlinkEnd	1114708502
1	NoFeedLowProb	1114708583
46	BlinkStart	1114708813
46	BlinkEnd	1114713311
4	Feed	1114713391
5	BlinkStart	1114713622
5	BlinkEnd	1114772868
5	NoFeedLowProb	1114772949
2	BlinkStart	1114773180
2	BlinkEnd	1114777543
2	Feed	1114777623
5	BlinkStart	1114777854
5	BlinkEnd	1114807959
5	NoFeedLowProb	1114808039
2	BlinkStart	1114808270
2	BlinkEnd	1114811834
2	Feed	1114811915
5	BlinkStart	1114812145
5	BlinkEnd	1114824131
5	NoFeedLowProb	1114824211
2	BlinkStart	1114824442
2	BlinkEnd	1114828210
2	Feed	1114828290
5	BlinkStart	1114828521
5	BlinkEnd	1114840980
5	NoFeedLowProb	1114841060
2	BlinkStart	1114841291
2	BlinkEnd	1114845463
2	Feed	1114845544
5	BlinkStart	1114845775
5	BlinkEnd	1114859428
5	NoFeedLowProb	1114859508
28	BlinkStart	1114859739
28	BlinkEnd	1114864229
8	Feed	1114864309
5	BlinkStart	1114864539
5	BlinkEnd	1114891711
5	NoFeedLowProb	1114891791
28	BlinkStart	1114892021
28	BlinkEnd	1114896722
2	Feed	1114896803
5	BlinkStart	1114897033
5	BlinkEnd	1114906550
5	NoFeedLowProb	1114906630
28	BlinkStart	1114906861
28	BlinkEnd	1114911698
2	Feed	1114911778
5	BlinkStart	1114912009
5	BlinkEnd	1114923397
5	NoFeedLowProb	1114923478
28	BlinkStart	1114923709
28	BlinkEnd	1114929339
8	Feed	1114929420
5	BlinkStart	1114929655
5	BlinkEnd	1114950863
5	NoFeedLowProb	1114950943
8	BlinkStart	1114951174
8	BlinkEnd	1114958019
8	Feed	1114958100
5	BlinkStart	1114958331
5	BlinkEnd	1114977946
5	NoFeedLowProb	1114978027
8	BlinkStart	1114978257
8	BlinkEnd	1114983550
