Tuesday, December 17, 2019	8:19:32 PM	Game1.txt	3031464922
cued	now	3031472159
5	BlinkStart	3031472239
5	BlinkEnd	3031507139
5	NoFeedLowProb	3031507219
8	BlinkStart	3031507450
8	BlinkEnd	3031512236
8	Feed	3031512316
5	BlinkStart	3031512546
5	BlinkEnd	3031554485
5	NoFeedLowProb	3031554565
8	BlinkStart	3031554795
8	BlinkEnd	3031559429
8	Feed	3031559509
5	BlinkStart	3031559739
5	BlinkEnd	3031617646
5	NoFeedLowProb	3031617726
8	BlinkStart	3031617956
8	BlinkEnd	3031621722
8	Feed	3031621802
5	BlinkStart	3031622033
5	BlinkEnd	3031634489
5	NoFeedLowProb	3031634569
8	BlinkStart	3031634800
8	BlinkEnd	3031638242
8	Feed	3031638322
5	BlinkStart	3031638552
5	BlinkEnd	3031661962
5	NoFeedLowProb	3031662042
82	BlinkStart	3031662272
82	BlinkEnd	3031665780
8	Feed	3031665861
5	BlinkStart	3031666091
5	BlinkEnd	3031677467
5	NoFeedLowProb	3031677547
82	BlinkStart	3031677781
82	BlinkEnd	3031682286
2	Feed	3031682366
5	BlinkStart	3031682596
5	BlinkEnd	3031696587
5	NoFeedLowProb	3031696667
82	BlinkStart	3031696897
82	BlinkEnd	3031700935
2	Feed	3031701015
5	BlinkStart	3031701245
5	BlinkEnd	3031709554
5	NoFeedLowProb	3031709634
82	BlinkStart	3031709865
82	BlinkEnd	3031713497
8	Feed	3031713577
5	BlinkStart	3031713807
5	BlinkEnd	3031727000
5	NoFeedLowProb	3031727080
82	BlinkStart	3031727310
82	BlinkEnd	3031731410
8	Feed	3031731490
5	BlinkStart	3031731721
5	BlinkEnd	3031742709
5	NoFeedLowProb	3031742789
82	BlinkStart	3031743019
82	BlinkEnd	3031747057
2	Feed	3031747137
5	BlinkStart	3031747367
5	BlinkEnd	3031761903
5	NoFeedLowProb	3031761983
1	BlinkStart	3031762213
1	BlinkEnd	3031768706
1	NoFeedLowProb	3031768786
4	BlinkStart	3031769016
4	BlinkEnd	3031772651
4	Feed	3031772731
1	BlinkStart	3031772962
1	BlinkEnd	3031789025
1	NoFeedLowProb	3031789109
4	BlinkStart	3031789339
4	BlinkEnd	3031793574
4	Feed	3031793654
1	BlinkStart	3031793885
1	BlinkEnd	3031807539
1	NoFeedLowProb	3031807619
4	BlinkStart	3031807850
4	BlinkEnd	3031812961
4	Feed	3031813041
1	BlinkStart	3031813272
1	BlinkEnd	3031846782
1	NoFeedLowProb	3031846862
4	BlinkStart	3031847093
4	BlinkEnd	3031850861
4	Feed	3031850941
1	BlinkStart	3031851171
1	BlinkEnd	3031864625
1	NoFeedLowProb	3031864705
46	BlinkStart	3031864935
46	BlinkEnd	3031868848
4	Feed	3031868928
1	BlinkStart	3031869158
1	BlinkEnd	3031880004
1	NoFeedLowProb	3031880084
46	BlinkStart	3031880314
46	BlinkEnd	3031884086
4	Feed	3031884166
1	BlinkStart	3031884396
1	BlinkEnd	3031895504
1	NoFeedLowProb	3031895584
46	BlinkStart	3031895814
46	BlinkEnd	3031899715
4	Feed	3031899795
1	BlinkStart	3031900025
1	BlinkEnd	3031912679
1	NoFeedLowProb	3031912759
46	BlinkStart	3031912989
46	BlinkEnd	3031917375
4	Feed	3031917455
1	BlinkStart	3031917685
1	BlinkEnd	3031927120
1	NoFeedLowProb	3031927201
46	BlinkStart	3031927431
46	BlinkEnd	3031932477
4	Feed	3031932557
1	BlinkStart	3031932787
1	BlinkEnd	3031943438
1	NoFeedLowProb	3031943518
46	BlinkStart	3031943748
46	BlinkEnd	3031950919
4	Feed	3031950999
1	BlinkStart	3031951229
2	KBWrong2	3031961525
5	KBWrong5	3031961916
1	BlinkEnd	3031962815
1	NoFeedLowProb	3031962895
5	BlinkStart	3031963125
2	KBWrong2	3031964592
5	BlinkEnd	3031968565
5	NoFeedLowProb	3031968645
2	BlinkStart	3031968875
5	KBWrong5	3031971013
2	BlinkEnd	3031971973
2	Feed	3031972053
5	BlinkStart	3031972283
5	BlinkEnd	3031980462
5	NoFeedLowProb	3031980542
2	BlinkStart	3031980772
2	BlinkEnd	3031984004
2	Feed	3031984084
5	BlinkStart	3031984314
5	BlinkEnd	3031991892
5	NoFeedLowProb	3031991972
2	BlinkStart	3031992202
2	BlinkEnd	3031995900
2	Feed	3031995980
5	BlinkStart	3031996210
5	BlinkEnd	3032012610
5	NoFeedLowProb	3032012690
2	BlinkStart	3032012920
2	BlinkEnd	3032015949
2	Feed	3032016029
5	BlinkStart	3032016259
5	BlinkEnd	3032023382
5	NoFeedLowProb	3032023462
28	BlinkStart	3032023693
28	BlinkEnd	3032026919
8	Feed	3032026999
5	BlinkStart	3032027229
5	BlinkEnd	3032042889
5	NoFeedLowProb	3032042969
28	BlinkStart	3032043200
28	BlinkEnd	3032046634
8	Feed	3032046714
5	BlinkStart	3032046945
5	BlinkEnd	3032059739
5	NoFeedLowProb	3032059819
28	BlinkStart	3032060049
28	BlinkEnd	3032063879
8	Feed	3032063959
5	BlinkStart	3032064189
5	BlinkEnd	3032076986
5	NoFeedLowProb	3032077067
28	BlinkStart	3032077297
28	BlinkEnd	3032081529
8	Feed	3032081609
5	BlinkStart	3032081839
5	BlinkEnd	3032094090
5	NoFeedLowProb	3032094170
28	BlinkStart	3032094400
28	BlinkEnd	3032098366
8	Feed	3032098446
5	BlinkStart	3032098676
5	BlinkEnd	3032111538
5	NoFeedLowProb	3032111618
28	BlinkStart	3032111849
28	BlinkEnd	3032116214
2	Feed	3032116294
5	BlinkStart	3032116524
5	BlinkEnd	3032129719
5	NoFeedLowProb	3032129799
1	BlinkStart	3032130029
1	BlinkEnd	3032136001
1	NoFeedLowProb	3032136081
6	BlinkStart	3032136311
6	BlinkEnd	3032140009
6	Feed	3032140089
1	BlinkStart	3032140319
1	BlinkEnd	3032158269
1	NoFeedLowProb	3032158350
6	BlinkStart	3032158580
6	BlinkEnd	3032162539
6	Feed	3032162620
1	BlinkStart	3032162850
1	BlinkEnd	3032174700
1	NoFeedLowProb	3032174781
6	BlinkStart	3032175012
6	BlinkEnd	3032179049
6	Feed	3032179129
1	BlinkStart	3032179360
1	BlinkEnd	3032191345
1	NoFeedLowProb	3032191425
6	BlinkStart	3032191655
6	BlinkEnd	3032195828
6	Feed	3032195908
1	BlinkStart	3032196138
1	BlinkEnd	3032206926
1	NoFeedLowProb	3032207007
64	BlinkStart	3032207237
64	BlinkEnd	3032212134
6	Feed	3032212214
1	BlinkStart	3032212444
1	BlinkEnd	3032225704
1	NoFeedLowProb	3032225784
64	BlinkStart	3032226016
64	BlinkEnd	3032229784
4	Feed	3032229864
1	BlinkStart	3032230094
1	BlinkEnd	3032242011
1	NoFeedLowProb	3032242091
64	BlinkStart	3032242321
64	BlinkEnd	3032247085
4	Feed	3032247165
1	BlinkStart	3032247395
1	BlinkEnd	3032256912
1	NoFeedLowProb	3032256992
64	BlinkStart	3032257222
64	BlinkEnd	3032261793
4	Feed	3032261873
1	BlinkStart	3032262103
1	BlinkEnd	3032273031
1	NoFeedLowProb	3032273116
64	BlinkStart	3032273346
64	BlinkEnd	3032277233
4	Feed	3032277313
1	BlinkStart	3032277543
1	BlinkEnd	3032287393
1	NoFeedLowProb	3032287473
64	BlinkStart	3032287703
64	BlinkEnd	3032293077
6	Feed	3032293157
1	BlinkStart	3032293387
1	BlinkEnd	3032308451
1	NoFeedLowProb	3032308531
5	BlinkStart	3032308762
5	BlinkEnd	3032315065
5	NoFeedLowProb	3032315145
2	BlinkStart	3032315376
2	BlinkEnd	3032318557
2	Feed	3032318637
5	BlinkStart	3032318868
5	BlinkEnd	3032327099
5	NoFeedLowProb	3032327179
2	BlinkStart	3032327409
2	BlinkEnd	3032331241
2	Feed	3032331321
5	BlinkStart	3032331551
5	BlinkEnd	3032344406
5	NoFeedLowProb	3032344486
2	BlinkStart	3032344716
2	BlinkEnd	3032348286
2	Feed	3032348367
5	BlinkStart	3032348597
5	BlinkEnd	3032526359
5	NoFeedLowProb	3032526439
2	BlinkStart	3032526670
2	BlinkEnd	3032531694
2	Feed	3032531779
5	BlinkStart	3032532010
5	BlinkEnd	3032625610
5	NoFeedLowProb	3032625690
28	BlinkStart	3032625920
28	BlinkEnd	3032630152
2	Feed	3032630232
5	BlinkStart	3032630462
5	BlinkEnd	3032643128
5	NoFeedLowProb	3032643208
28	BlinkStart	3032643438
28	BlinkEnd	3032654090
2	Feed	3032654170
5	BlinkStart	3032654400
5	BlinkEnd	3032662914
5	NoFeedLowProb	3032662994
28	BlinkStart	3032663225
28	BlinkEnd	3032676540
2	Feed	3032676620
5	BlinkStart	3032676850
5	BlinkEnd	3032688112
5	NoFeedLowProb	3032688192
28	BlinkStart	3032688423
28	BlinkEnd	3032694193
2	Feed	3032694273
5	BlinkStart	3032694503
5	BlinkEnd	3032711839
5	NoFeedLowProb	3032711919
28	BlinkStart	3032712149
28	BlinkEnd	3032715642
8	Feed	3032715722
5	BlinkStart	3032715952
5	BlinkEnd	3032726479
5	NoFeedLowProb	3032726559
28	BlinkStart	3032726789
28	BlinkEnd	3032730827
2	Feed	3032730907
5	BlinkStart	3032731137
5	BlinkEnd	3032743253
5	NoFeedLowProb	3032743333
