Tuesday, January 5, 2021	12:34:10 PM	Game1.txt	1033054326
Cued	Now	1033073585
9	BlinkStart	1033073665
9	BlinkEnd	1033340035
23,5	BlinkStart	1033340122
23,5	BlinkEnd	1033373273
5	0DropFeed	1033373353
23	NoFeedAbort	1033373433
1	BlinkStart	1033383450
1	BlinkEnd	1033383722
1	NoFeedLowProb	1033383802
4,45	BlinkStart	1033383823
4,45	BlinkEnd	1033388380
4	Feed	1033388460
45	Feed	1033388540
1	BlinkStart	1033388631
1	BlinkEnd	1033401213
1	NoFeedLowProb	1033401293
4,45	BlinkStart	1033401333
4,45	BlinkEnd	1033404764
4	Feed	1033404844
45	Feed	1033404924
1	BlinkStart	1033405027
1	BlinkEnd	1033416787
1	NoFeedLowProb	1033416867
4,45	BlinkStart	1033416901
4,45	BlinkEnd	1033420463
4	Feed	1033420543
45	Feed	1033420623
21,1	BlinkStart	1033420710
21,1	BlinkEnd	1033434435
1	0DropFeed	1033434516
21	Feed	1033434597
4,45,6,51	BlinkStart	1033434709
4,45,6,51	BlinkEnd	1033437909
6	Feed	1033437989
51	Feed	1033438070
20,1	BlinkStart	1033438158
20,1	BlinkEnd	1033456759
1	0DropFeed	1033456839
20	Feed	1033456919
4,45,6,51	BlinkStart	1033457008
4,45,6,51	BlinkEnd	1033460034
6	Feed	1033460114
51	Feed	1033460194
19,1	BlinkStart	1033460284
19,1	BlinkEnd	1033479285
1	0DropFeed	1033479365
19	Feed	1033479446
4,45,6,51	BlinkStart	1033479562
4,45,6,51	BlinkEnd	1033492251
6	Feed	1033492331
51	Feed	1033492411
18,1	BlinkStart	1033492516
18,1	BlinkEnd	1033515384
1	0DropFeed	1033515464
18	Feed	1033515544
4,45,6,51	BlinkStart	1033515641
4,45,6,51	BlinkEnd	1033526540
6	Feed	1033526620
51	Feed	1033526701
17,1	BlinkStart	1033526800
17,1	BlinkEnd	1033548665
1	0DropFeed	1033548745
17	Feed	1033548826
4,45,6,51	BlinkStart	1033548938
4,45,6,51	BlinkEnd	1033565642
6	Feed	1033565722
51	Feed	1033565802
16,1	BlinkStart	1033565894
16,1	BlinkEnd	1033585094
1	0DropFeed	1033585174
16	Feed	1033585254
4,45,6,51	BlinkStart	1033585357
