Friday, January 8, 2021	1:02:47 PM	Game1.txt	1293971585
Cued	Now	1293986351
9	BlinkStart	1293986371
9	BlinkEnd	1294284317
23,5	BlinkStart	1294284409
23,5	BlinkEnd	1294335023
5	0DropFeed	1294335103
23	NoFeedAbort	1294335183
1	BlinkStart	1294345199
1	BlinkEnd	1294372989
1	NoFeedLowProb	1294373069
6,49	BlinkStart	1294373102
6,49	BlinkEnd	1294378404
6	Feed	1294378485
49	Feed	1294378565
1	BlinkStart	1294378671
1	BlinkEnd	1294392662
1	NoFeedLowProb	1294392742
6,49	BlinkStart	1294392774
6,49	BlinkEnd	1294396633
6	Feed	1294396713
49	Feed	1294396793
1	BlinkStart	1294396906
1	BlinkEnd	1294410593
1	NoFeedLowProb	1294410673
6,49	BlinkStart	1294410703
6,49	BlinkEnd	1294414395
6	Feed	1294414475
49	Feed	1294414555
21,1	BlinkStart	1294414656
21,1	BlinkEnd	1294425513
1	0DropFeed	1294425593
21	Feed	1294425674
6,49,4,45	BlinkStart	1294425785
6,49,4,45	BlinkEnd	1294429735
4	Feed	1294429815
45	Feed	1294429895
20,1	BlinkStart	1294430000
20,1	BlinkEnd	1294440916
1	0DropFeed	1294440996
20	Feed	1294441076
6,49,4,45	BlinkStart	1294441194
6,49,4,45	BlinkEnd	1294445007
6	Feed	1294445088
49	Feed	1294445168
19,1	BlinkStart	1294445266
19,1	BlinkEnd	1294470163
1	0DropFeed	1294470243
19	Feed	1294470323
6,49,4,45	BlinkStart	1294470438
6,49,4,45	BlinkEnd	1294473827
6	Feed	1294473907
49	Feed	1294473987
18,1	BlinkStart	1294474100
18,1	BlinkEnd	1294484897
1	0DropFeed	1294484977
18	Feed	1294485057
6,49,4,45	BlinkStart	1294485154
6,49,4,45	BlinkEnd	1294488447
6	Feed	1294488527
49	Feed	1294488607
17,1	BlinkStart	1294488716
17,1	BlinkEnd	1294499758
1	0DropFeed	1294499838
17	Feed	1294499919
6,49,4,45	BlinkStart	1294500029
6,49,4,45	BlinkEnd	1294503429
6	Feed	1294503510
49	Feed	1294503590
16,1	BlinkStart	1294503694
16,1	BlinkEnd	1294516244
1	0DropFeed	1294516324
16	Feed	1294516405
6,49,4,45	BlinkStart	1294516507
