Tuesday, February 2, 2021	10:33:21 AM	Game1.txt	1767768720
Cued	Now	1767785697
9	BlinkStart	1767785720
9	BlinkEnd	1768054137
23,5	BlinkStart	1768054224
23,5	BlinkEnd	1768082242
5	0DropFeed	1768082322
23	NoFeedAbort	1768082402
1	BlinkStart	1768092418
1	BlinkEnd	1768098082
1	NoFeedLowProb	1768098162
4	BlinkStart	1768098196
4	BlinkEnd	1768105101
4	0DropFeed	1768105181
1	BlinkStart	1768105276
1	BlinkEnd	1768114594
1	NoFeedLowProb	1768114675
4	BlinkStart	1768114701
4	BlinkEnd	1768153094
4	0DropFeed	1768153174
1	BlinkStart	1768153276
1	BlinkEnd	1768158440
1	NoFeedLowProb	1768158521
4	BlinkStart	1768158548
4	BlinkEnd	1768183305
4	0DropFeed	1768183385
21,1	BlinkStart	1768183481
21,1	BlinkEnd	1768190930
1	0DropFeed	1768191010
21	Feed	1768191090
6,48,4	BlinkStart	1768191199
6,48,4	BlinkEnd	1768196273
6	Feed	1768196354
48	Feed	1768196434
20,1	BlinkStart	1768196522
20,1	BlinkEnd	1768208570
1	0DropFeed	1768208650
20	Feed	1768208730
6,48,4	BlinkStart	1768208831
6,48,4	BlinkEnd	1768212715
6	Feed	1768212795
48	Feed	1768212875
19,1	BlinkStart	1768212977
19,1	BlinkEnd	1768223209
1	0DropFeed	1768223289
19	Feed	1768223369
6,48,4	BlinkStart	1768223475
6,48,4	BlinkEnd	1768226283
6	Feed	1768226363
48	Feed	1768226444
18,1	BlinkStart	1768226531
18,1	BlinkEnd	1768237045
1	0DropFeed	1768237125
18	Feed	1768237205
6,48,4	BlinkStart	1768237308
6,48,4	BlinkEnd	1768240254
6	Feed	1768240334
48	Feed	1768240414
17,1	BlinkStart	1768240506
17,1	BlinkEnd	1768248877
1	0DropFeed	1768248958
17	Feed	1768249039
6,48,4	BlinkStart	1768249147
6,48,4	BlinkEnd	1768253488
6	Feed	1768253568
48	Feed	1768253649
16,1	BlinkStart	1768253744
16,1	BlinkEnd	1768263113
1	0DropFeed	1768263193
16	Feed	1768263274
6,48,4	BlinkStart	1768263369
6,48,4	BlinkEnd	1768266922
6	Feed	1768267002
48	Feed	1768267082
14,1	BlinkStart	1768267184
14,1	BlinkEnd	1768273941
1	0DropFeed	1768274021
14	NoFeedAbort	1768274102
5	BlinkStart	1768284117
5	BlinkEnd	1768285905
5	NoFeedLowProb	1768285985
2,38	BlinkStart	1768286016
2,38	BlinkEnd	1768295262
2	Feed	1768295342
38	Feed	1768295422
5	BlinkStart	1768295514
5	BlinkEnd	1768302281
5	NoFeedLowProb	1768302362
2,38	BlinkStart	1768302393
2,38	BlinkEnd	1768309501
2	Feed	1768309582
38	Feed	1768309662
5	BlinkStart	1768309750
5	BlinkEnd	1768316986
5	NoFeedLowProb	1768317066
2,38	BlinkStart	1768317079
2,38	BlinkEnd	1768337443
2	Feed	1768337523
38	Feed	1768337603
30,5	BlinkStart	1768337695
30,5	BlinkEnd	1768345060
5	0DropFeed	1768345140
30	Feed	1768345220
2,38,8,55	BlinkStart	1768345319
2,38,8,55	BlinkEnd	1768350876
8	Feed	1768350956
55	Feed	1768351036
29,5	BlinkStart	1768351208
29,5	BlinkEnd	1768360634
5	0DropFeed	1768360714
29	Feed	1768360794
2,38,8,55	BlinkStart	1768360956
2,38,8,55	BlinkEnd	1768365446
2	Feed	1768365526
38	Feed	1768365606
28,5	BlinkStart	1768365780
28,5	BlinkEnd	1768372263
5	0DropFeed	1768372343
28	Feed	1768372423
2,38,8,55	BlinkStart	1768372599
2,38,8,55	BlinkEnd	1768376945
8	Feed	1768377025
55	Feed	1768377105
27,5	BlinkStart	1768377298
27,5	BlinkEnd	1768386239
5	0DropFeed	1768386319
27	Feed	1768386399
2,38,8,55	BlinkStart	1768386560
2,38,8,55	BlinkEnd	1768390379
8	Feed	1768390459
55	Feed	1768390540
26,5	BlinkStart	1768390702
26,5	BlinkEnd	1768399468
