Monday, March 15, 2021	10:33:08 AM	Game1.txt	392616107
Cued	Now	392623701
9	BlinkStart	392623718
9	BlinkEnd	393110698
23,5	BlinkStart	393110796
23,5	BlinkEnd	393155617
5	0DropFeed	393155697
23	NoFeedAbort	393155777
1	BlinkStart	393165804
1	BlinkEnd	393166067
1	NoFeedLowProb	393166147
4,45	BlinkStart	393166160
4,45	BlinkEnd	393174868
4	Feed	393174948
45	Feed	393175028
16,1	BlinkStart	393175117
16,1	BlinkEnd	393194720
1	0DropFeed	393194800
16	Feed	393194880
4,45,6,51	BlinkStart	393194984
4,45,6,51	BlinkEnd	393199667
4	Feed	393199747
45	Feed	393199827
15,1	BlinkStart	393199927
15,1	BlinkEnd	393215440
1	0DropFeed	393215520
15	NoFeedAbort	393215600
5	BlinkStart	393225616
5	BlinkEnd	393225882
5	NoFeedLowProb	393225963
2,40	BlinkStart	393225971
2,40	BlinkEnd	393229544
2	Feed	393229624
40	Feed	393229704
30,5	BlinkStart	393229800
30,5	BlinkEnd	393245519
5	0DropFeed	393245599
30	Feed	393245679
2,40,8,52	BlinkStart	393245789
2,40,8,52	BlinkEnd	393252070
8	Feed	393252150
52	Feed	393252231
29,5	BlinkStart	393252332
29,5	BlinkEnd	393261827
5	0DropFeed	393261907
29	Feed	393261987
2,40,8,52	BlinkStart	393262098
2,40,8,52	BlinkEnd	393268780
8	Feed	393268860
52	Feed	393268941
28,5	BlinkStart	393269035
28,5	BlinkEnd	393277335
5	0DropFeed	393277415
28	Feed	393277496
2,40,8,52	BlinkStart	393277591
2,40,8,52	BlinkEnd	393283285
2	Feed	393283365
40	Feed	393283445
27,5	BlinkStart	393283536
27,5	BlinkEnd	393294380
5	0DropFeed	393294460
27	Feed	393294540
2,40,8,52	BlinkStart	393294643
2,40,8,52	BlinkEnd	393301003
8	Feed	393301083
52	Feed	393301163
26,5	BlinkStart	393301258
26,5	BlinkEnd	393309887
5	0DropFeed	393309968
26	Feed	393310048
2,40,8,52	BlinkStart	393310135
2,40,8,52	BlinkEnd	393315503
2	Feed	393315583
40	Feed	393315663
25,5	BlinkStart	393315755
25,5	BlinkEnd	393326062
5	0DropFeed	393326142
25	Feed	393326223
2,40,8,52	BlinkStart	393326345
2,40,8,52	BlinkEnd	393330072
2	Feed	393330153
40	Feed	393330233
23,5	BlinkStart	393330327
23,5	BlinkEnd	393341035
5	0DropFeed	393341115
23	NoFeedAbort	393341195
1	BlinkStart	393351213
1	BlinkEnd	393360493
1	NoFeedLowProb	393360573
6	BlinkStart	393360599
6	BlinkEnd	393365098
6	0DropFeed	393365179
16,1	BlinkStart	393365281
16,1	BlinkEnd	393371981
1	0DropFeed	393372062
16	Feed	393372142
4,43,6	BlinkStart	393372245
4,43,6	BlinkEnd	393375862
4	Feed	393375942
43	Feed	393376022
15,1	BlinkStart	393376115
15,1	BlinkEnd	393385885
1	0DropFeed	393385965
15	NoFeedAbort	393386045
5	BlinkStart	393396061
5	BlinkEnd	393400122
5	NoFeedLowProb	393400202
8	BlinkStart	393400209
8	BlinkEnd	393404077
8	0DropFeed	393404157
30,5	BlinkStart	393404352
30,5	BlinkEnd	393410554
5	0DropFeed	393410634
30	Feed	393410714
2,37,8	BlinkStart	393410860
2,37,8	BlinkEnd	393415896
2	Feed	393415977
37	Feed	393416057
29,5	BlinkStart	393416211
29,5	BlinkEnd	393422781
5	0DropFeed	393422861
29	Feed	393422941
2,37,8	BlinkStart	393423105
2,37,8	BlinkEnd	393427729
2	Feed	393427809
37	Feed	393427890
28,5	BlinkStart	393428031
28,5	BlinkEnd	393434277
5	0DropFeed	393434357
28	Feed	393434438
2,37,8	BlinkStart	393434599
2,37,8	BlinkEnd	393439892
2	Feed	393439972
37	Feed	393440052
27,5	BlinkStart	393440193
27,5	BlinkEnd	393448314
5	0DropFeed	393448395
27	Feed	393448475
2,37,8	BlinkStart	393448624
2,37,8	BlinkEnd	393451923
2	Feed	393452004
37	Feed	393452084
26,5	BlinkStart	393452223
26,5	BlinkEnd	393457806
5	0DropFeed	393457886
26	Feed	393457966
2,37,8	BlinkStart	393458107
2,37,8	BlinkEnd	393463154
8	0DropFeed	393463234
25,5	BlinkStart	393463397
25,5	BlinkEnd	393467370
5	0DropFeed	393467450
25	Feed	393467530
2,37,8	BlinkStart	393467688
2,37,8	BlinkEnd	393471909
2	Feed	393471989
37	Feed	393472070
23,5	BlinkStart	393472216
23,5	BlinkEnd	393478058
5	0DropFeed	393478138
23	NoFeedAbort	393478218
1	BlinkStart	393488282
1	BlinkEnd	393490357
1	NoFeedLowProb	393490437
6,48	BlinkStart	393490538
6,48	BlinkEnd	393494100
6	Feed	393494180
48	Feed	393494260
16,1	BlinkStart	393494416
16,1	BlinkEnd	393502522
1	0DropFeed	393502602
16	Feed	393502682
6,48,4,42	BlinkStart	393502849
6,48,4,42	BlinkEnd	393506198
4	Feed	393506278
42	Feed	393506359
15,1	BlinkStart	393506519
15,1	BlinkEnd	393514419
1	0DropFeed	393514499
15	NoFeedAbort	393514579
5	BlinkStart	393524641
5	BlinkEnd	393529926
5	NoFeedLowProb	393530006
2,39	BlinkStart	393530091
2,39	BlinkEnd	393535207
2	Feed	393535287
39	Feed	393535367
30,5	BlinkStart	393535541
30,5	BlinkEnd	393544832
5	0DropFeed	393544912
30	Feed	393544992
2,39,8,53	BlinkStart	393545156
2,39,8,53	BlinkEnd	393549243
2	Feed	393549323
39	Feed	393549403
29,5	BlinkStart	393549599
29,5	BlinkEnd	393559270
5	0DropFeed	393559350
29	Feed	393559430
2,39,8,53	BlinkStart	393559623
2,39,8,53	BlinkEnd	393562813
2	Feed	393562893
39	Feed	393562973
28,5	BlinkStart	393563113
28,5	BlinkEnd	393572170
5	0DropFeed	393572251
28	Feed	393572332
2,39,8,53	BlinkStart	393572492
2,39,8,53	BlinkEnd	393575313
2	Feed	393575393
39	Feed	393575473
27,5	BlinkStart	393575639
27,5	BlinkEnd	393586207
5	0DropFeed	393586287
27	Feed	393586367
2,39,8,53	BlinkStart	393586534
2,39,8,53	BlinkEnd	393589349
2	Feed	393589429
39	Feed	393589509
26,5	BlinkStart	393589650
26,5	BlinkEnd	393599107
5	0DropFeed	393599187
26	Feed	393599268
2,39,8,53	BlinkStart	393599433
2,39,8,53	BlinkEnd	393602316
2	Feed	393602396
39	Feed	393602476
25,5	BlinkStart	393602628
25,5	BlinkEnd	393612075
5	0DropFeed	393612155
25	Feed	393612236
2,39,8,53	BlinkStart	393612404
2,39,8,53	BlinkEnd	393615550
2	Feed	393615631
39	Feed	393615712
23,5	BlinkStart	393615860
23,5	BlinkEnd	393647232
5	0DropFeed	393647312
23	NoFeedAbort	393647392
1	BlinkStart	393657452
1	BlinkEnd	393659531
1	NoFeedLowProb	393659611
6,51	BlinkStart	393659679
6,51	BlinkEnd	393662204
6	Feed	393662285
51	Feed	393662365
16,1	BlinkStart	393662543
16,1	BlinkEnd	393673903
1	0DropFeed	393673983
16	Feed	393674063
6,51,4,45	BlinkStart	393674218
6,51,4,45	BlinkEnd	393677244
4	Feed	393677324
45	Feed	393677404
15,1	BlinkStart	393677566
15,1	BlinkEnd	393687405
1	0DropFeed	393687485
