Thursday, March 18, 2021	11:06:07 AM	Game1.txt	653794368
Cued	Now	653803980
9	BlinkStart	653804004
9	BlinkEnd	654075822
23,5	BlinkStart	654075918
23,5	BlinkEnd	654117097
5	0DropFeed	654117177
23	NoFeedAbort	654117257
1	BlinkStart	654127273
1	BlinkEnd	654128527
1	NoFeedLowProb	654128607
4,46	BlinkStart	654128629
4,46	BlinkEnd	654133539
4	Feed	654133619
46	Feed	654133699
16,1	BlinkStart	654133804
16,1	BlinkEnd	654146110
1	0DropFeed	654146190
16	Feed	654146270
4,46,6,49	BlinkStart	654146366
4,46,6,49	BlinkEnd	654149382
4	Feed	654149462
46	Feed	654149542
15,1	BlinkStart	654149636
15,1	BlinkEnd	654162882
1	0DropFeed	654162962
15	NoFeedAbort	654163042
5	BlinkStart	654173068
5	BlinkEnd	654178724
5	NoFeedLowProb	654178804
2,40	BlinkStart	654178840
2,40	BlinkEnd	654181610
2	Feed	654181690
40	Feed	654181770
30,5	BlinkStart	654181875
30,5	BlinkEnd	654192962
5	0DropFeed	654193042
30	Feed	654193122
2,40,8,55	BlinkStart	654193209
2,40,8,55	BlinkEnd	654195969
2	Feed	654196049
40	Feed	654196129
29,5	BlinkStart	654196215
29,5	BlinkEnd	654208334
5	0DropFeed	654208414
29	Feed	654208494
2,40,8,55	BlinkStart	654208607
2,40,8,55	BlinkEnd	654211209
2	Feed	654211289
40	Feed	654211369
28,5	BlinkStart	654211459
28,5	BlinkEnd	654223708
5	0DropFeed	654223788
28	Feed	654223869
2,40,8,55	BlinkStart	654223985
2,40,8,55	BlinkEnd	654226917
2	Feed	654226997
40	Feed	654227077
27,5	BlinkStart	654227169
27,5	BlinkEnd	654238880
5	0DropFeed	654238960
27	Feed	654239040
2,40,8,55	BlinkStart	654239128
2,40,8,55	BlinkEnd	654241888
2	Feed	654241968
40	Feed	654242048
26,5	BlinkStart	654242142
26,5	BlinkEnd	654253653
5	0DropFeed	654253733
26	Feed	654253813
2,40,8,55	BlinkStart	654253915
2,40,8,55	BlinkEnd	654257198
2	Feed	654257278
40	Feed	654257358
25,5	BlinkStart	654257445
25,5	BlinkEnd	654269894
5	0DropFeed	654269974
25	Feed	654270054
2,40,8,55	BlinkStart	654270142
2,40,8,55	BlinkEnd	654273705
2	Feed	654273785
40	Feed	654273865
23,5	BlinkStart	654273970
23,5	BlinkEnd	654286271
5	0DropFeed	654286351
23	NoFeedAbort	654286432
1	BlinkStart	654296447
1	BlinkEnd	654296716
1	NoFeedLowProb	654296796
4,42	BlinkStart	654296816
4,42	BlinkEnd	654299907
4	Feed	654299987
42	Feed	654300067
16,1	BlinkStart	654300167
16,1	BlinkEnd	654306123
1	0DropFeed	654306203
16	Feed	654306283
4,42,6,47	BlinkStart	654306390
4,42,6,47	BlinkEnd	654309464
4	Feed	654309544
42	Feed	654309624
15,1	BlinkStart	654309720
15,1	BlinkEnd	654317753
1	0DropFeed	654317833
15	NoFeedAbort	654317913
5	BlinkStart	654327929
5	BlinkEnd	654332791
5	NoFeedLowProb	654332871
8	BlinkStart	654332897
8	BlinkEnd	654335934
8	0DropFeed	654336015
30,5	BlinkStart	654336189
30,5	BlinkEnd	654343019
5	0DropFeed	654343099
30	Feed	654343179
2,41,8	BlinkStart	654343331
2,41,8	BlinkEnd	654346160
2	Feed	654346240
41	Feed	654346320
29,5	BlinkStart	654346494
29,5	BlinkEnd	654359061
5	0DropFeed	654359141
29	Feed	654359221
2,41,8	BlinkStart	654359388
2,41,8	BlinkEnd	654361868
2	Feed	654361948
41	Feed	654362028
28,5	BlinkStart	654362187
28,5	BlinkEnd	654375571
5	0DropFeed	654375651
28	Feed	654375731
2,41,8	BlinkStart	654375888
2,41,8	BlinkEnd	654378378
2	Feed	654378458
41	Feed	654378538
27,5	BlinkStart	654378705
27,5	BlinkEnd	654391612
5	0DropFeed	654391692
27	Feed	654391772
2,41,8	BlinkStart	654391929
2,41,8	BlinkEnd	654394554
2	Feed	654394634
41	Feed	654394714
26,5	BlinkStart	654394856
26,5	BlinkEnd	654407721
5	0DropFeed	654407801
26	Feed	654407881
2,41,8	BlinkStart	654408028
2,41,8	BlinkEnd	654411264
8	0DropFeed	654411345
25,5	BlinkStart	654411517
25,5	BlinkEnd	654415073
5	0DropFeed	654415153
25	Feed	654415233
2,41,8	BlinkStart	654415385
2,41,8	BlinkEnd	654418884
2	Feed	654418964
41	Feed	654419044
23,5	BlinkStart	654419193
23,5	BlinkEnd	654431917
5	0DropFeed	654431997
23	NoFeedAbort	654432077
1	BlinkStart	654442140
1	BlinkEnd	654445552
1	NoFeedLowProb	654445632
4,44	BlinkStart	654445726
4,44	BlinkEnd	654448226
4	Feed	654448307
44	Feed	654448387
16,1	BlinkStart	654448540
16,1	BlinkEnd	654457050
1	0DropFeed	654457130
16	Feed	654457211
4,44,6,51	BlinkStart	654457378
4,44,6,51	BlinkEnd	654460592
6	Feed	654460672
51	Feed	654460752
15,1	BlinkStart	654460908
15,1	BlinkEnd	654470283
1	0DropFeed	654470364
15	NoFeedAbort	654470444
5	BlinkStart	654480511
5	BlinkEnd	654493210
5	NoFeedLowProb	654493290
8,55	BlinkStart	654493387
8,55	BlinkEnd	654496753
8	Feed	654496833
55	Feed	654496913
30,5	BlinkStart	654497073
30,5	BlinkEnd	654508048
5	0DropFeed	654508128
30	Feed	654508208
8,55,2,41	BlinkStart	654508377
8,55,2,41	BlinkEnd	654510990
2	Feed	654511070
41	Feed	654511150
29,5	BlinkStart	654511299
29,5	BlinkEnd	654522553
5	0DropFeed	654522633
29	Feed	654522713
8,55,2,41	BlinkStart	654522897
8,55,2,41	BlinkEnd	654525432
2	Feed	654525512
41	Feed	654525593
28,5	BlinkStart	654525776
28,5	BlinkEnd	654539131
5	0DropFeed	654539211
28	Feed	654539291
8,55,2,41	BlinkStart	654539458
8,55,2,41	BlinkEnd	654542138
2	Feed	654542218
41	Feed	654542298
27,5	BlinkStart	654542442
