Monday, March 22, 2021	12:19:13 PM	Game1.txt	1003780682
Cued	Now	1003798043
9	BlinkStart	1003798069
9	BlinkEnd	1004064487
24,5	BlinkStart	1004064581
24,5	BlinkEnd	1004095332
5	0DropFeed	1004095412
24	NoFeedAbort	1004095493
23,1	BlinkStart	1004105509
23,1	BlinkEnd	1004106644
1	0DropFeed	1004106724
4,45,6,50	BlinkStart	1004106843
4,45,6,50	BlinkEnd	1004112062
4	Feed	1004112142
45	Feed	1004112222
22,1	BlinkStart	1004112309
22,1	BlinkEnd	1004127588
1	0DropFeed	1004127668
22	Feed	1004127748
4,45,6,50	BlinkStart	1004127856
4,45,6,50	BlinkEnd	1004131492
4	Feed	1004131572
45	Feed	1004131652
21,1	BlinkStart	1004131753
21,1	BlinkEnd	1004143225
1	0DropFeed	1004143305
21	Feed	1004143385
4,45,6,50	BlinkStart	1004143499
4,45,6,50	BlinkEnd	1004146594
4	Feed	1004146674
45	Feed	1004146754
20,1	BlinkStart	1004146865
20,1	BlinkEnd	1004159228
1	0DropFeed	1004159308
20	Feed	1004159388
4,45,6,50	BlinkStart	1004159477
4,45,6,50	BlinkEnd	1004164343
4	Feed	1004164423
45	Feed	1004164503
19,1	BlinkStart	1004164591
19,1	BlinkEnd	1004177519
1	0DropFeed	1004177599
19	Feed	1004177679
4,45,6,50	BlinkStart	1004177767
4,45,6,50	BlinkEnd	1004180708
4	Feed	1004180788
45	Feed	1004180868
18,1	BlinkStart	1004180969
18,1	BlinkEnd	1004193284
1	0DropFeed	1004193364
18	Feed	1004193444
4,45,6,50	BlinkStart	1004193558
4,45,6,50	BlinkEnd	1004196953
4	Feed	1004197033
45	Feed	1004197113
17,1	BlinkStart	1004197225
17,1	BlinkEnd	1004209233
1	0DropFeed	1004209313
17	Feed	1004209393
4,45,6,50	BlinkStart	1004209505
4,45,6,50	BlinkEnd	1004212174
4	Feed	1004212255
45	Feed	1004212335
16,1	BlinkStart	1004212429
16,1	BlinkEnd	1004223912
1	0DropFeed	1004223993
16	Feed	1004224073
4,45,6,50	BlinkStart	1004224191
4,45,6,50	BlinkEnd	1004227037
4	Feed	1004227117
45	Feed	1004227197
14,1	BlinkStart	1004227307
14,1	BlinkEnd	1004238588
1	0DropFeed	1004238668
14	NoFeedAbort	1004238749
27,5	BlinkStart	1004248764
27,5	BlinkEnd	1004250688
5	0DropFeed	1004250768
27	Feed	1004250848
2,37,8,53	BlinkStart	1004250957
2,37,8,53	BlinkEnd	1004253809
2	Feed	1004253889
37	Feed	1004253970
26,5	BlinkStart	1004254058
26,5	BlinkEnd	1004258924
5	0DropFeed	1004259004
26	Feed	1004259085
2,37,8,53	BlinkStart	1004259197
2,37,8,53	BlinkEnd	1004262894
8	Feed	1004262974
53	Feed	1004263054
25,5	BlinkStart	1004263143
25,5	BlinkEnd	1004273664
5	0DropFeed	1004273745
25	Feed	1004273825
2,37,8,53	BlinkStart	1004273943
2,37,8,53	BlinkEnd	1004276854
8	Feed	1004276934
53	Feed	1004277014
24,5	BlinkStart	1004277129
24,5	BlinkEnd	1004287864
