Thursday, March 25, 2021	12:10:45 PM	Game1.txt	1262472466
Cued	Now	1262479716
9	BlinkStart	1262479740
9	BlinkEnd	1262745929
23,5	BlinkStart	1262746022
23,5	BlinkEnd	1262772858
5	0DropFeed	1262772938
23	NoFeedAbort	1262773018
18,1	BlinkStart	1262783036
18,1	BlinkEnd	1262783755
1	0DropFeed	1262783835
18	Feed	1262783915
4,46,6	BlinkStart	1262784008
4,46,6	BlinkEnd	1262789505
4	Feed	1262789585
46	Feed	1262789665
17,1	BlinkStart	1262789752
17,1	BlinkEnd	1262806613
1	0DropFeed	1262806694
17	Feed	1262806774
4,46,6	BlinkStart	1262806869
4,46,6	BlinkEnd	1262811300
4	Feed	1262811380
46	Feed	1262811460
16,1	BlinkStart	1262811567
16,1	BlinkEnd	1262828874
1	0DropFeed	1262828954
16	Feed	1262829035
4,46,6	BlinkStart	1262829129
4,46,6	BlinkEnd	1262832882
4	Feed	1262832962
46	Feed	1262833042
15,1	BlinkStart	1262833133
15,1	BlinkEnd	1262849925
1	0DropFeed	1262850005
15	NoFeedAbort	1262850085
32,5	BlinkStart	1262860100
32,5	BlinkEnd	1262861624
32	Feed	1262861704
8,53,2,39	BlinkStart	1262861804
8,53,2,39	BlinkEnd	1262868976
8	Feed	1262869056
53	Feed	1262869136
31,5	BlinkStart	1262869229
31,5	BlinkEnd	1262883012
5	0DropFeed	1262883092
31	Feed	1262883172
8,53,2,39	BlinkStart	1262883282
8,53,2,39	BlinkEnd	1262888293
8	Feed	1262888373
53	Feed	1262888453
30,5	BlinkStart	1262888541
30,5	BlinkEnd	1262902402
5	0DropFeed	1262902482
30	Feed	1262902562
8,53,2,39	BlinkStart	1262902649
8,53,2,39	BlinkEnd	1262908078
2	Feed	1262908158
39	Feed	1262908238
29,5	BlinkStart	1262908332
29,5	BlinkEnd	1262919107
5	0DropFeed	1262919187
29	Feed	1262919267
8,53,2,39	BlinkStart	1262919355
8,53,2,39	BlinkEnd	1262923926
8	Feed	1262924006
53	Feed	1262924086
28,5	BlinkStart	1262924179
28,5	BlinkEnd	1262936418
5	0DropFeed	1262936498
28	Feed	1262936578
8,53,2,39	BlinkStart	1262936692
8,53,2,39	BlinkEnd	1262940830
8	Feed	1262940910
53	Feed	1262940990
27,5	BlinkStart	1262941095
27,5	BlinkEnd	1262952126
5	0DropFeed	1262952206
27	Feed	1262952286
8,53,2,39	BlinkStart	1262952381
8,53,2,39	BlinkEnd	1262956337
8	Feed	1262956417
53	Feed	1262956498
26,5	BlinkStart	1262956594
26,5	BlinkEnd	1262966564
5	0DropFeed	1262966645
26	Feed	1262966725
8,53,2,39	BlinkStart	1262966812
8,53,2,39	BlinkEnd	1262970908
8	Feed	1262970988
53	Feed	1262971068
25,5	BlinkStart	1262971158
25,5	BlinkEnd	1262984410
5	0DropFeed	1262984490
25	Feed	1262984571
