Wednesday, March 31, 2021	12:24:53 PM	Game1.txt	255996525
Cued	Now	256010640
9	BlinkStart	256010719
9	BlinkEnd	256043684
23,5	BlinkStart	256043780
23,5	BlinkEnd	256061420
5	0DropFeed	256061500
23	NoFeedAbort	256061581
17,1	BlinkStart	256071598
17,1	BlinkEnd	256094034
1	0DropFeed	256094114
17	Feed	256094194
4,45,6,47	BlinkStart	256094310
4,45,6,47	BlinkEnd	256104663
6	Feed	256104743
47	Feed	256104823
16,1	BlinkStart	256104914
16,1	BlinkEnd	256111949
1	0DropFeed	256112030
16	Feed	256112110
4,45,6,47	BlinkStart	256112209
4,45,6,47	BlinkEnd	256116361
4	Feed	256116441
45	Feed	256116521
15,1	BlinkStart	256116612
15,1	BlinkEnd	256130062
1	0DropFeed	256130142
15	NoFeedAbort	256130222
31,5	BlinkStart	256140242
31,5	BlinkEnd	256140506
5	0DropFeed	256140586
31	Feed	256140667
8,53,2	BlinkStart	256140755
8,53,2	BlinkEnd	256169497
2	0DropFeed	256169577
30,5	BlinkStart	256169679
30,5	BlinkEnd	256173574
5	0DropFeed	256173654
30	Feed	256173734
8,53,2	BlinkStart	256173833
8,53,2	BlinkEnd	256177186
8	Feed	256177266
53	Feed	256177346
29,5	BlinkStart	256177435
29,5	BlinkEnd	256186208
5	0DropFeed	256186288
29	Feed	256186369
8,53,2	BlinkStart	256186463
8,53,2	BlinkEnd	256189684
8	Feed	256189764
53	Feed	256189844
28,5	BlinkStart	256189931
28,5	BlinkEnd	256198440
5	0DropFeed	256198520
28	Feed	256198600
8,53,2	BlinkStart	256198688
8,53,2	BlinkEnd	256201650
8	Feed	256201731
53	Feed	256201811
27,5	BlinkStart	256201901
27,5	BlinkEnd	256215819
5	0DropFeed	256215899
27	Feed	256215979
8,53,2	BlinkStart	256216074
8,53,2	BlinkEnd	256219161
8	Feed	256219242
53	Feed	256219322
26,5	BlinkStart	256219411
26,5	BlinkEnd	256229255
5	0DropFeed	256229335
26	Feed	256229415
8,53,2	BlinkStart	256229510
8,53,2	BlinkEnd	256232530
8	Feed	256232610
53	Feed	256232690
25,5	BlinkStart	256232781
25,5	BlinkEnd	256243492
5	0DropFeed	256243572
25	Feed	256243652
8,53,2	BlinkStart	256243746
8,53,2	BlinkEnd	256246633
8	Feed	256246713
53	Feed	256246793
23,5	BlinkStart	256246883
23,5	BlinkEnd	256256725
5	0DropFeed	256256805
23	NoFeedAbort	256256885
17,1	BlinkStart	256266900
17,1	BlinkEnd	256267165
1	0DropFeed	256267245
17	Feed	256267325
4,46,6,50	BlinkStart	256267444
4,46,6,50	BlinkEnd	256278583
4	Feed	256278663
46	Feed	256278743
16,1	BlinkStart	256278834
16,1	BlinkEnd	256290546
1	0DropFeed	256290626
