Sunday, June 21, 2020	10:57:54 PM	Game1.txt	1050032783
Cued	Now	1050040626
9	BlinkStart	1050040651
9	BlinkEnd	1050228486
2	BlinkStart	1050228572
2	BlinkEnd	1050238331
2	Feed	1050238411
8	BlinkStart	1050238500
8	BlinkEnd	1050283634
8	Feed	1050283714
2	BlinkStart	1050283801
2	BlinkEnd	1050407997
2	Feed	1050408077
6	BlinkStart	1050408166
6	BlinkEnd	1050500052
6	Feed	1050500132
2	BlinkStart	1050500219
2	BlinkEnd	1050522494
2	Feed	1050522575
6	BlinkStart	1050522662
6	BlinkEnd	1050539520
6	Feed	1050539601
8	BlinkStart	1050539687
8	BlinkEnd	1050555403
8	Feed	1050555484
4	BlinkStart	1050555570
4	BlinkEnd	1050573457
4	Feed	1050573537
2	BlinkStart	1050573624
2	BlinkEnd	1050594872
2	Feed	1050594952
6	BlinkStart	1050595042
6	BlinkEnd	1050616533
6	Feed	1050616613
4	BlinkStart	1050616700
4	BlinkEnd	1050639937
4	Feed	1050640017
8	BlinkStart	1050640104
8	BlinkEnd	1050649563
8	Feed	1050649643
4	BlinkStart	1050649729
4	BlinkEnd	1050670923
4	Feed	1050671004
6	BlinkStart	1050671092
6	BlinkEnd	1050680248
6	Feed	1050680328
2	BlinkStart	1050680416
2	BlinkEnd	1050703172
2	Feed	1050703252
8	BlinkStart	1050703339
8	BlinkEnd	1050714121
8	Feed	1050714201
6	BlinkStart	1050714288
6	BlinkEnd	1050724770
6	Feed	1050724850
8	BlinkStart	1050724937
8	BlinkEnd	1050751664
8	Feed	1050751744
6	BlinkStart	1050751844
6	BlinkEnd	1050770376
6	Feed	1050770456
2	BlinkStart	1050770554
2	BlinkEnd	1050786563
2	Feed	1050786643
4	BlinkStart	1050786730
4	BlinkEnd	1050798052
4	Feed	1050798132
2	BlinkStart	1050798218
2	BlinkEnd	1050812913
2	Feed	1050812993
6	BlinkStart	1050813080
6	BlinkEnd	1050826095
6	Feed	1050826175
4	BlinkStart	1050826264
4	BlinkEnd	1050848350
4	Feed	1050848430
8	BlinkStart	1050848522
8	BlinkEnd	1050862250
8	Feed	1050862330
6	BlinkStart	1050862428
6	BlinkEnd	1051072349
6	Feed	1051072429
8	BlinkStart	1051072524
8	BlinkEnd	1051120060
8	Feed	1051120140
6	BlinkStart	1051120233
6	BlinkEnd	1051177639
6	Feed	1051177719
4	BlinkStart	1051177863
4	BlinkEnd	1051197735
4	Feed	1051197815
6	BlinkStart	1051197976
6	BlinkEnd	1051208443
6	Feed	1051208523
4	BlinkStart	1051208670
4	BlinkEnd	1051224869
4	Feed	1051224950
2	BlinkStart	1051225094
2	BlinkEnd	1051236481
2	Feed	1051236561
6	BlinkStart	1051236698
6	BlinkEnd	1051273966
6	Feed	1051274046
8	BlinkStart	1051274192
8	BlinkEnd	1051286425
8	Feed	1051286505
4	BlinkStart	1051286644
4	BlinkEnd	1051299053
4	Feed	1051299133
2	BlinkStart	1051299284
2	BlinkEnd	1051314395
2	Feed	1051314475
