Monday, June 22, 2020	2:07:50 PM	Game1.txt	1104628481
Cued	Now	1104651628
9	BlinkStart	1104651654
9	BlinkEnd	1104938282
4	BlinkStart	1104938369
4	BlinkEnd	1104951867
4	Feed	1104951947
8	BlinkStart	1104952037
8	BlinkEnd	1104965523
8	Feed	1104965603
4	BlinkStart	1104965690
4	BlinkEnd	1105011190
4	Feed	1105011270
8	BlinkStart	1105011356
8	BlinkEnd	1105027074
8	Feed	1105027154
2	BlinkStart	1105027240
2	BlinkEnd	1105069730
2	Feed	1105069810
6	BlinkStart	1105069901
6	BlinkEnd	1105092894
6	Feed	1105092974
4	BlinkStart	1105093062
4	BlinkEnd	1105107094
4	Feed	1105107174
8	BlinkStart	1105107269
8	BlinkEnd	1105149089
8	Feed	1105149169
4	BlinkStart	1105149256
4	BlinkEnd	1105199148
4	Feed	1105199228
8	BlinkStart	1105199320
8	BlinkEnd	1105211483
8	Feed	1105211563
2	BlinkStart	1105211651
2	BlinkEnd	1105236393
2	Feed	1105236473
4	BlinkStart	1105236573
4	BlinkEnd	1105286447
4	Feed	1105286527
8	BlinkStart	1105286608
8	BlinkEnd	1105316297
8	Feed	1105316378
6	BlinkStart	1105316461
6	BlinkEnd	1105330430
6	Feed	1105330510
8	BlinkStart	1105330592
8	BlinkEnd	1105344388
8	Feed	1105344468
6	BlinkStart	1105344551
6	BlinkEnd	1105357566
6	Feed	1105357646
8	BlinkStart	1105357727
8	BlinkEnd	1105375740
8	Feed	1105375820
4	BlinkStart	1105375906
4	BlinkEnd	1105394090
4	Feed	1105394170
2	BlinkStart	1105394252
2	BlinkEnd	1105435480
2	Feed	1105435561
8	BlinkStart	1105435642
8	BlinkEnd	1105445948
8	Feed	1105446029
2	BlinkStart	1105446110
2	BlinkEnd	1105457259
2	Feed	1105457339
4	BlinkStart	1105457421
4	BlinkEnd	1105467729
4	Feed	1105467809
8	BlinkStart	1105467891
8	BlinkEnd	1105487523
8	Feed	1105487604
6	BlinkStart	1105487685
6	BlinkEnd	1105498894
6	Feed	1105498974
4	BlinkStart	1105499055
4	BlinkEnd	1105520493
4	Feed	1105520573
6	BlinkStart	1105520654
6	BlinkEnd	1105531745
6	Feed	1105531827
4	BlinkStart	1105531908
4	BlinkEnd	1105546726
4	Feed	1105546806
2	BlinkStart	1105546889
2	BlinkEnd	1105559120
2	Feed	1105559200
8	BlinkStart	1105559319
8	BlinkEnd	1105575967
8	Feed	1105576047
2	BlinkStart	1105576178
2	BlinkEnd	1105636674
2	Feed	1105636754
6	BlinkStart	1105636889
6	BlinkEnd	1105648767
6	Feed	1105648847
4	BlinkStart	1105648986
4	BlinkEnd	1105659720
4	Feed	1105659801
2	BlinkStart	1105659920
2	BlinkEnd	1105669405
2	Feed	1105669485
6	BlinkStart	1105669595
6	BlinkEnd	1105679211
6	Feed	1105679291
4	BlinkStart	1105679406
4	BlinkEnd	1105692387
4	Feed	1105692468
6	BlinkStart	1105692590
6	BlinkEnd	1105701714
6	Feed	1105701794
2	BlinkStart	1105701926
2	BlinkEnd	1105715731
2	Feed	1105715813
8	BlinkStart	1105715917
8	BlinkEnd	1105725367
8	Feed	1105725447
2	BlinkStart	1105725563
2	BlinkEnd	1105738237
2	Feed	1105738317
4	BlinkStart	1105738431
4	BlinkEnd	1105746597
4	Feed	1105746677
2	BlinkStart	1105746791
2	BlinkEnd	1105757487
2	Feed	1105757567
6	BlinkStart	1105757672
6	BlinkEnd	1105767233
6	Feed	1105767314
8	BlinkStart	1105767431
8	BlinkEnd	1105788536
8	Feed	1105788616
6	BlinkStart	1105788740
6	BlinkEnd	1105816027
6	Feed	1105816107
4	BlinkStart	1105816229
4	BlinkEnd	1105830468
4	Feed	1105830549
6	BlinkStart	1105830656
6	BlinkEnd	1105841116
6	Feed	1105841196
4	BlinkStart	1105841328
4	BlinkEnd	1105855257
4	Feed	1105855337
