Tuesday, June 23, 2020	10:52:15 AM	Game1.txt	1179293895
Cued	Now	1179310853
9	BlinkStart	1179310892
9	BlinkEnd	1179844311
4	BlinkStart	1179844399
4	BlinkEnd	1179912590
4	Feed	1179912670
8	BlinkStart	1179912758
8	BlinkEnd	1179941470
8	Feed	1179941550
2	BlinkStart	1179941638
2	BlinkEnd	1179955970
2	Feed	1179956050
8	BlinkStart	1179956137
8	BlinkEnd	1179971311
8	Feed	1179971391
2	BlinkStart	1179971486
2	BlinkEnd	1180037255
2	Feed	1180037335
8	BlinkStart	1180037435
8	BlinkEnd	1180046579
8	Feed	1180046659
4	BlinkStart	1180046748
4	BlinkEnd	1180073835
4	Feed	1180073916
6	BlinkStart	1180074003
6	BlinkEnd	1180086771
6	Feed	1180086852
4	BlinkStart	1180086942
4	BlinkEnd	1180098623
4	Feed	1180098703
2	BlinkStart	1180098789
2	BlinkEnd	1180109994
2	Feed	1180110074
8	BlinkStart	1180110162
8	BlinkEnd	1180117996
8	Feed	1180118076
4	BlinkStart	1180118171
4	BlinkEnd	1180134181
4	Feed	1180134261
6	BlinkStart	1180134347
6	BlinkEnd	1180144288
6	Feed	1180144368
2	BlinkStart	1180144456
2	BlinkEnd	1180167634
2	Feed	1180167714
8	BlinkStart	1180167801
8	BlinkEnd	1180176719
8	Feed	1180176799
6	BlinkStart	1180176885
6	BlinkEnd	1180189052
6	Feed	1180189132
2	BlinkStart	1180189216
2	BlinkEnd	1180202409
2	Feed	1180202489
6	BlinkStart	1180202572
6	BlinkEnd	1180216313
6	Feed	1180216393
8	BlinkStart	1180216476
8	BlinkEnd	1180229724
8	Feed	1180229804
6	BlinkStart	1180229886
6	BlinkEnd	1180253609
6	Feed	1180253689
4	BlinkStart	1180253770
4	BlinkEnd	1180265343
4	Feed	1180265423
6	BlinkStart	1180265505
6	BlinkEnd	1180276955
6	Feed	1180277035
4	BlinkStart	1180277117
4	BlinkEnd	1180284958
4	Feed	1180285038
6	BlinkStart	1180285119
6	BlinkEnd	1180296146
6	Feed	1180296227
2	BlinkStart	1180296309
2	BlinkEnd	1180316544
2	Feed	1180316624
8	BlinkStart	1180316706
8	BlinkEnd	1180371595
8	Feed	1180371675
4	BlinkStart	1180371757
