Monday, June 29, 2020	11:13:34 AM	Game1.txt	42870513
Cued	Now	42889039
9	BlinkStart	42889072
9	BlinkEnd	43252522
6	BlinkStart	43252614
6	BlinkEnd	43893798
6	Feed	43893878
8	BlinkStart	43893965
8	BlinkEnd	44287764
8	Feed	44287844
4	BlinkStart	44287942
4	BlinkEnd	44465011
4	Feed	44465091
2	BlinkStart	44465192
2	BlinkEnd	44504240
2	Feed	44504320
4	BlinkStart	44504420
4	BlinkEnd	44593587
4	Feed	44593667
6	BlinkStart	44593753
6	BlinkEnd	44691837
6	Feed	44691917
2	BlinkStart	44692016
2	BlinkEnd	45359017
2	Feed	45359097
6	BlinkStart	45359196
6	BlinkEnd	45434647
6	Feed	45434727
2	BlinkStart	45434816
2	BlinkEnd	45998280
2	Feed	45998360
6	BlinkStart	45998461
6	BlinkEnd	46449586
6	Feed	46449666
4	BlinkStart	46449757
4	BlinkEnd	46854794
