Thursday, July 2, 2020	5:55:47 PM	Game1.txt	326203605
Cued	Now	326209097
9	BlinkStart	326209116
9	BlinkEnd	326483802
4	BlinkStart	326483903
4	BlinkEnd	326501869
4	Feed	326501949
8	BlinkStart	326502044
8	BlinkEnd	326553211
8	Feed	326553291
2	BlinkStart	326553393
2	BlinkEnd	326562361
2	Feed	326562441
8	BlinkStart	326562541
8	BlinkEnd	326571054
8	Feed	326571134
6	BlinkStart	326571232
6	BlinkEnd	326579874
6	Feed	326579954
8	BlinkStart	326580040
8	BlinkEnd	326589366
8	Feed	326589446
2	BlinkStart	326589535
2	BlinkEnd	326600327
2	Feed	326600407
6	BlinkStart	326600503
6	BlinkEnd	326616303
6	Feed	326616383
8	BlinkStart	326616482
8	BlinkEnd	326623989
8	Feed	326624069
4	BlinkStart	326624168
4	BlinkEnd	326637839
4	Feed	326637919
6	BlinkStart	326638018
6	BlinkEnd	326649323
6	Feed	326649403
4	BlinkStart	326649500
4	BlinkEnd	326668108
4	Feed	326668188
6	BlinkStart	326668287
6	BlinkEnd	326675661
6	Feed	326675741
4	BlinkStart	326675839
4	BlinkEnd	326701791
4	Feed	326701872
6	BlinkStart	326701973
6	BlinkEnd	326708677
6	Feed	326708757
4	BlinkStart	326708853
4	BlinkEnd	326719905
4	Feed	326719985
2	BlinkStart	326720072
2	BlinkEnd	326729397
2	Feed	326729478
6	BlinkStart	326729574
6	BlinkEnd	326739024
6	Feed	326739104
8	BlinkStart	326739201
8	BlinkEnd	326744972
8	Feed	326745052
4	BlinkStart	326745152
4	BlinkEnd	326754261
4	Feed	326754341
6	BlinkStart	326754441
6	BlinkEnd	326761213
6	Feed	326761293
2	BlinkStart	326761393
2	BlinkEnd	326769436
2	Feed	326769518
6	BlinkStart	326769619
6	BlinkEnd	326779268
6	Feed	326779348
8	BlinkStart	326779448
8	BlinkEnd	326787014
8	Feed	326787095
4	BlinkStart	326787191
4	BlinkEnd	326808737
4	Feed	326808817
8	BlinkStart	326808916
8	BlinkEnd	326819232
8	Feed	326819312
2	BlinkStart	326819398
2	BlinkEnd	326828322
2	Feed	326828403
8	BlinkStart	326828497
8	BlinkEnd	326835473
8	Feed	326835553
6	BlinkStart	326835713
6	BlinkEnd	326870498
6	Feed	326870578
4	BlinkStart	326870740
4	BlinkEnd	326877650
4	Feed	326877730
2	BlinkStart	326877933
2	BlinkEnd	326885070
2	Feed	326885150
6	BlinkStart	326885317
6	BlinkEnd	326896231
6	Feed	326896312
2	BlinkStart	326896478
2	BlinkEnd	326905457
2	Feed	326905537
8	BlinkStart	326905698
8	BlinkEnd	326913010
8	Feed	326913090
6	BlinkStart	326913253
6	BlinkEnd	326923703
6	Feed	326923783
2	BlinkStart	326923953
2	BlinkEnd	326932866
2	Feed	326932946
6	BlinkStart	326933125
6	BlinkEnd	326942418
6	Feed	326942499
4	BlinkStart	326942673
4	BlinkEnd	326951243
4	Feed	326951324
8	BlinkStart	326951520
8	BlinkEnd	326960132
8	Feed	326960212
2	BlinkStart	326960390
2	BlinkEnd	326975376
2	Feed	326975457
8	BlinkStart	326975600
8	BlinkEnd	326981667
8	Feed	326981747
4	BlinkStart	326981905
4	BlinkEnd	326993421
4	Feed	326993501
6	BlinkStart	326993686
6	BlinkEnd	327000704
6	Feed	327000784
2	BlinkStart	327000938
2	BlinkEnd	327012268
2	Feed	327012348
4	BlinkStart	327012520
4	BlinkEnd	327019620
4	Feed	327019700
8	BlinkStart	327019855
8	BlinkEnd	327032587
8	Feed	327032667
2	BlinkStart	327032841
2	BlinkEnd	327041344
2	Feed	327041424
4	BlinkStart	327041594
4	BlinkEnd	327048504
4	Feed	327048584
2	BlinkStart	327048745
2	BlinkEnd	327058267
2	Feed	327058347
8	BlinkStart	327058532
8	BlinkEnd	327065206
8	Feed	327065286
6	BlinkStart	327065480
6	BlinkEnd	327076369
6	Feed	327076449
8	BlinkStart	327076635
8	BlinkEnd	327155175
8	Feed	327155255
2	BlinkStart	327155416
2	BlinkEnd	327164464
2	Feed	327164544
6	BlinkStart	327164705
6	BlinkEnd	327178234
6	Feed	327178314
8	BlinkStart	327178464
8	BlinkEnd	327186468
8	Feed	327186548
2	BlinkStart	327186725
2	BlinkEnd	327194879
2	Feed	327194959
8	BlinkStart	327195126
8	BlinkEnd	327205438
8	Feed	327205519
2	BlinkStart	327205682
2	BlinkEnd	327214800
2	Feed	327214881
8	BlinkStart	327215066
8	BlinkEnd	327222148
8	Feed	327222228
6	BlinkStart	327222418
6	BlinkEnd	327233184
6	Feed	327233264
4	BlinkStart	327233418
4	BlinkEnd	327240062
4	Feed	327240142
6	BlinkStart	327240320
6	BlinkEnd	327249152
6	Feed	327249232
8	BlinkStart	327249415
8	BlinkEnd	327255235
8	Feed	327255315
4	BlinkStart	327255505
4	BlinkEnd	327271010
4	Feed	327271090
8	BlinkStart	327271266
8	BlinkEnd	327283382
8	Feed	327283463
2	BlinkStart	327283625
2	BlinkEnd	327291797
2	Feed	327291877
6	BlinkStart	327292051
6	BlinkEnd	327314523
6	Feed	327314603
8	BlinkStart	327314800
8	BlinkEnd	327326756
8	Feed	327326836
6	BlinkStart	327326998
6	BlinkEnd	327338718
6	Feed	327338799
8	BlinkStart	327338958
8	BlinkEnd	327346407
8	Feed	327346487
6	BlinkStart	327346662
6	BlinkEnd	327361781
6	Feed	327361861
4	BlinkStart	327362021
4	BlinkEnd	327395270
4	Feed	327395350
8	BlinkStart	327395513
8	BlinkEnd	327409437
8	Feed	327409517
6	BlinkStart	327409669
6	BlinkEnd	327417527
6	Feed	327417608
2	BlinkStart	327417771
2	BlinkEnd	327429288
2	Feed	327429368
4	BlinkStart	327429531
4	BlinkEnd	327436521
4	Feed	327436602
8	BlinkStart	327436774
8	BlinkEnd	327447611
8	Feed	327447691
2	BlinkStart	327447847
2	BlinkEnd	327456439
2	Feed	327456519
6	BlinkStart	327456696
6	BlinkEnd	327467989
6	Feed	327468069
2	BlinkStart	327468214
2	BlinkEnd	327481964
2	Feed	327482044
8	BlinkStart	327482207
8	BlinkEnd	327492458
8	Feed	327492538
6	BlinkStart	327492685
6	BlinkEnd	327518521
6	Feed	327518601
2	BlinkStart	327518769
2	BlinkEnd	327531220
2	Feed	327531300
8	BlinkStart	327531451
8	BlinkEnd	327537842
8	Feed	327537922
2	BlinkStart	327538099
2	BlinkEnd	327546729
2	Feed	327546809
8	BlinkStart	327547003
8	BlinkEnd	327555418
8	Feed	327555499
6	BlinkStart	327555672
6	BlinkEnd	327568989
6	Feed	327569069
2	BlinkStart	327569249
2	BlinkEnd	327583031
2	Feed	327583111
8	BlinkStart	327583271
8	BlinkEnd	327590844
8	Feed	327590924
6	BlinkStart	327591088
6	BlinkEnd	327600601
6	Feed	327600682
4	BlinkStart	327600833
4	BlinkEnd	327607956
4	Feed	327608036
6	BlinkStart	327608194
6	BlinkEnd	327616644
6	Feed	327616724
8	BlinkStart	327616902
8	BlinkEnd	327679215
8	Feed	327679295
4	BlinkStart	327679452
4	BlinkEnd	327693312
4	Feed	327693392
2	BlinkStart	327693562
2	BlinkEnd	327720249
2	Feed	327720329
4	BlinkStart	327720483
4	BlinkEnd	327749726
4	Feed	327749806
6	BlinkStart	327749997
6	BlinkEnd	327760887
6	Feed	327760967
8	BlinkStart	327761122
8	BlinkEnd	328508448
