Ver1.3	1252353253	StartFile	7/13/2020	11:11:36 AM	E:\BehavioralExperiments\Twenty\RawData\071320\SoundData.txt	1252353253
1253092433	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253092433
1253103262	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253103262
1253117031	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253117031
1253285137	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253285137
1253297302	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253297302
1253309735	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253309735
1253322099	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253322099
1253330590	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253330590
1253355252	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253355252
1253363674	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253363674
1253391346	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253391346
1253400837	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253400837
1253409266	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253409266
1253419486	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253419486
1253430655	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253430655
1253440207	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253440207
1253530510	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253530510
1253540869	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253540869
1253549694	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253549694
1253562259	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253562259
1253572753	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253572753
1253581643	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253581643
1253587324	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253587324
1253596146	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253596146
1253602700	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253602700
1253611259	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253611259
1253617414	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253617414
1253625358	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253625358
1253635850	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253635850
1253644213	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253644213
1253653300	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253653300
1253659926	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253659926
1253677960	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253677960
1253685581	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253685581
1253693000	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253693000
1253711849	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253711849
1253720939	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253720939
1253727890	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253727890
1253739990	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253739990
1253748079	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253748079
1253754359	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253754359
1253762180	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253762180
1253769666	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253769666
1253775482	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253775482
1253785373	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253785373
1253791723	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253791723
1253799745	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253799745
1253815719	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253815719
1253823473	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253823473
1253831026	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253831026
1253837042	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253837042
1253844139	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253844139
1253850009	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253850009
1253858565	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253858565
1253887841	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253887841
1253893924	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253893924
1253902625	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253902625
1253910368	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253910368
1253919391	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253919391
1253927076	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1253927076
1253936300	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253936300
1253944123	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253944123
1253951941	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253951941
1253960698	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253960698
1253966714	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253966714
1253973397	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253973397
1253982156	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1253982156
1253987835	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1253987835
1253993650	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1253993650
1254001203	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1254001203
1254006819	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1254006819
1254013712	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1254013712
1254018851	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1254018851
1254026001	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1254026001
1254033955	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1254033955
1254038505	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1254038505
1254046725	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1254046725
1254054476	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1254054476
1254059491	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1254059491
1254068178	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1254068178
1254074527	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1254074527
1254080411	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1254080411
1254086091	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1254086091
1254098056	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1254098056
1254104874	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1254104874
1254111357	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1254111357
1254120649	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1254120649
1254131075	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1254131075
1254140433	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1254140433
1254150525	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1254150525
1254155941	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1254155941
