Tuesday, July 14, 2020	1:38:16 PM	Game1.txt	1347552347
Cued	Now	1347564910
9	BlinkStart	1347564928
9	BlinkEnd	1348091673
2	BlinkStart	1348091761
2	BlinkEnd	1348112719
2	Feed	1348112799
4	BlinkStart	1348112893
4	BlinkEnd	1348121870
4	Feed	1348121950
6	BlinkStart	1348122052
6	BlinkEnd	1348133588
6	Feed	1348133668
4	BlinkStart	1348133759
4	BlinkEnd	1348145412
4	Feed	1348145493
6	BlinkStart	1348145594
6	BlinkEnd	1348155429
6	Feed	1348155509
4	BlinkStart	1348155605
4	BlinkEnd	1348186640
4	Feed	1348186720
8	BlinkStart	1348186820
8	BlinkEnd	1348197134
8	Feed	1348197214
6	BlinkStart	1348197313
6	BlinkEnd	1348264376
6	Feed	1348264456
4	BlinkStart	1348264554
4	BlinkEnd	1348271996
4	Feed	1348272076
2	BlinkStart	1348272176
2	BlinkEnd	1348278746
2	Feed	1348278827
8	BlinkStart	1348278926
8	BlinkEnd	1348286434
8	Feed	1348286515
6	BlinkStart	1348286614
6	BlinkEnd	1348293721
6	Feed	1348293801
2	BlinkStart	1348293896
2	BlinkEnd	1348303076
2	Feed	1348303156
6	BlinkStart	1348303256
6	BlinkEnd	1348315843
6	Feed	1348315923
8	BlinkStart	1348316023
8	BlinkEnd	1348324667
8	Feed	1348324747
6	BlinkStart	1348324849
6	BlinkEnd	1348343114
6	Feed	1348343194
8	BlinkStart	1348343293
8	BlinkEnd	1348349932
8	Feed	1348350012
4	BlinkStart	1348350111
4	BlinkEnd	1348357620
4	Feed	1348357700
8	BlinkStart	1348357800
8	BlinkEnd	1348364510
8	Feed	1348364590
6	BlinkStart	1348364687
6	BlinkEnd	1348376200
6	Feed	1348376281
4	BlinkStart	1348376379
4	BlinkEnd	1348382683
4	Feed	1348382763
6	BlinkStart	1348382850
6	BlinkEnd	1348388566
6	Feed	1348388646
8	BlinkStart	1348388740
8	BlinkEnd	1348395250
8	Feed	1348395330
4	BlinkStart	1348395416
4	BlinkEnd	1348403271
4	Feed	1348403351
2	BlinkStart	1348403445
2	BlinkEnd	1348408954
2	Feed	1348409034
4	BlinkStart	1348409122
4	BlinkEnd	1348414501
4	Feed	1348414581
2	BlinkStart	1348414676
2	BlinkEnd	1348421720
2	Feed	1348421800
4	BlinkStart	1348421893
4	BlinkEnd	1348441839
4	Feed	1348441920
6	BlinkStart	1348442071
6	BlinkEnd	1348447855
6	Feed	1348447935
8	BlinkStart	1348448092
8	BlinkEnd	1348454879
8	Feed	1348454959
6	BlinkStart	1348455099
6	BlinkEnd	1348461290
6	Feed	1348461370
2	BlinkStart	1348461532
2	BlinkEnd	1348468775
2	Feed	1348468855
4	BlinkStart	1348468999
4	BlinkEnd	1348474189
4	Feed	1348474270
6	BlinkStart	1348474445
6	BlinkEnd	1348480674
6	Feed	1348480754
2	BlinkStart	1348480910
2	BlinkEnd	1348489295
2	Feed	1348489376
4	BlinkStart	1348489528
