Wednesday, July 15, 2020	9:46:49 AM	Game1.txt	1420066155
Cued	Now	1420077889
9	BlinkStart	1420077927
9	BlinkEnd	1421081867
6	BlinkStart	1421081955
6	BlinkEnd	1421085474
6	Feed	1421085554
2	BlinkStart	1421085640
2	BlinkEnd	1421145698
2	Feed	1421145778
4	BlinkStart	1421145865
4	BlinkEnd	1421190021
4	Feed	1421190101
8	BlinkStart	1421190199
8	BlinkEnd	1421204790
8	Feed	1421204870
6	BlinkStart	1421204969
6	BlinkEnd	1421226775
6	Feed	1421226855
8	BlinkStart	1421226950
8	BlinkEnd	1421235799
8	Feed	1421235880
2	BlinkStart	1421235969
2	BlinkEnd	1421246576
2	Feed	1421246656
6	BlinkStart	1421246744
6	BlinkEnd	1421264280
6	Feed	1421264360
8	BlinkStart	1421264455
8	BlinkEnd	1421280788
8	Feed	1421280869
6	BlinkStart	1421280963
6	BlinkEnd	1421294553
6	Feed	1421294633
8	BlinkStart	1421294722
8	BlinkEnd	1421323427
8	Feed	1421323507
4	BlinkStart	1421323602
4	BlinkEnd	1421333721
4	Feed	1421333802
6	BlinkStart	1421333891
6	BlinkEnd	1421341009
6	Feed	1421341090
2	BlinkStart	1421341187
2	BlinkEnd	1421350030
2	Feed	1421350111
8	BlinkStart	1421350210
8	BlinkEnd	1421356314
8	Feed	1421356395
2	BlinkStart	1421356493
2	BlinkEnd	1421364468
2	Feed	1421364548
8	BlinkStart	1421364646
8	BlinkEnd	1421374093
8	Feed	1421374173
4	BlinkStart	1421374261
4	BlinkEnd	1421383250
4	Feed	1421383331
8	BlinkStart	1421383430
8	BlinkEnd	1421392408
8	Feed	1421392488
6	BlinkStart	1421392575
6	BlinkEnd	1421406913
6	Feed	1421406993
8	BlinkStart	1421407088
8	BlinkEnd	1421422957
8	Feed	1421423037
2	BlinkStart	1421423137
2	BlinkEnd	1421436455
2	Feed	1421436535
8	BlinkStart	1421436632
8	BlinkEnd	1421444411
8	Feed	1421444491
2	BlinkStart	1421444577
2	BlinkEnd	1421452631
2	Feed	1421452711
4	BlinkStart	1421452808
4	BlinkEnd	1421459249
4	Feed	1421459329
2	BlinkStart	1421459427
2	BlinkEnd	1421466267
2	Feed	1421466347
6	BlinkStart	1421466442
6	BlinkEnd	1421477295
6	Feed	1421477375
2	BlinkStart	1421477475
2	BlinkEnd	1421488926
2	Feed	1421489007
8	BlinkStart	1421489166
8	BlinkEnd	1421495945
8	Feed	1421496025
2	BlinkStart	1421496172
2	BlinkEnd	1421506373
2	Feed	1421506453
4	BlinkStart	1421506598
4	BlinkEnd	1421513858
4	Feed	1421513939
2	BlinkStart	1421514086
2	BlinkEnd	1421523286
2	Feed	1421523367
6	BlinkStart	1421523544
6	BlinkEnd	1421533709
6	Feed	1421533789
2	BlinkStart	1421533957
2	BlinkEnd	1421542335
2	Feed	1421542416
4	BlinkStart	1421542581
4	BlinkEnd	1421552230
4	Feed	1421552310
6	BlinkStart	1421552468
6	BlinkEnd	1421558376
6	Feed	1421558456
8	BlinkStart	1421558615
8	BlinkEnd	1421566127
8	Feed	1421566207
6	BlinkStart	1421566356
6	BlinkEnd	1421576355
6	Feed	1421576435
8	BlinkStart	1421576586
8	BlinkEnd	1421586447
8	Feed	1421586527
2	BlinkStart	1421586688
2	BlinkEnd	1421594333
2	Feed	1421594413
4	BlinkStart	1421594587
4	BlinkEnd	1421602689
4	Feed	1421602769
2	BlinkStart	1421602927
2	BlinkEnd	1421610177
2	Feed	1421610257
6	BlinkStart	1421610404
6	BlinkEnd	1421618667
6	Feed	1421618748
8	BlinkStart	1421618906
8	BlinkEnd	1421627695
8	Feed	1421627775
4	BlinkStart	1421627940
4	BlinkEnd	1421680099
4	Feed	1421680179
2	BlinkStart	1421680335
2	BlinkEnd	1421696065
2	Feed	1421696145
4	BlinkStart	1421696342
4	BlinkEnd	1421703422
4	Feed	1421703502
2	BlinkStart	1421703664
2	BlinkEnd	1421710842
2	Feed	1421710923
8	BlinkStart	1421711064
8	BlinkEnd	1421716519
8	Feed	1421716599
2	BlinkStart	1421716762
2	BlinkEnd	1421724675
2	Feed	1421724756
8	BlinkStart	1421724904
8	BlinkEnd	1421732361
8	Feed	1421732441
2	BlinkStart	1421732612
2	BlinkEnd	1421740984
2	Feed	1421741064
4	BlinkStart	1421741232
4	BlinkEnd	1421746999
4	Feed	1421747079
6	BlinkStart	1421747250
6	BlinkEnd	1421754351
6	Feed	1421754431
4	BlinkStart	1421754596
4	BlinkEnd	1421762510
4	Feed	1421762590
8	BlinkStart	1421762743
8	BlinkEnd	1421771730
8	Feed	1421771810
4	BlinkStart	1421771961
4	BlinkEnd	1421781758
4	Feed	1421781838
8	BlinkStart	1421781996
8	BlinkEnd	1421789777
8	Feed	1421789857
2	BlinkStart	1421790029
2	BlinkEnd	1421799268
2	Feed	1421799348
8	BlinkStart	1421799516
8	BlinkEnd	1421859360
8	Feed	1421859440
6	BlinkStart	1421859599
6	BlinkEnd	1421975462
6	Feed	1421975542
8	BlinkStart	1421975707
8	BlinkEnd	1422007878
8	Feed	1422007958
4	BlinkStart	1422008149
4	BlinkEnd	1422019911
4	Feed	1422019991
2	BlinkStart	1422020157
2	BlinkEnd	1422031744
2	Feed	1422031825
8	BlinkStart	1422031971
8	BlinkEnd	1422043505
8	Feed	1422043585
2	BlinkStart	1422043760
2	BlinkEnd	1422052595
2	Feed	1422052675
4	BlinkStart	1422052857
4	BlinkEnd	1422060283
4	Feed	1422060363
2	BlinkStart	1422060529
2	BlinkEnd	1422069172
2	Feed	1422069252
8	BlinkStart	1422069425
8	BlinkEnd	1422078062
8	Feed	1422078143
4	BlinkStart	1422078312
4	BlinkEnd	1422119304
4	Feed	1422119384
8	BlinkStart	1422119538
8	BlinkEnd	1422130600
8	Feed	1422130680
2	BlinkStart	1422130855
2	BlinkEnd	1422140760
2	Feed	1422140840
6	BlinkStart	1422141018
6	BlinkEnd	1422152389
6	Feed	1422152469
2	BlinkStart	1422152621
2	BlinkEnd	1422171707
2	Feed	1422171787
8	BlinkStart	1422171940
8	BlinkEnd	1422184811
8	Feed	1422184891
4	BlinkStart	1422185072
4	BlinkEnd	1422203590
4	Feed	1422203670
6	BlinkStart	1422203827
6	BlinkEnd	1422214952
6	Feed	1422215033
4	BlinkStart	1422215187
4	BlinkEnd	1422224510
4	Feed	1422224591
2	BlinkStart	1422224771
2	BlinkEnd	1422232198
2	Feed	1422232278
8	BlinkStart	1422232433
8	BlinkEnd	1422243159
8	Feed	1422243239
2	BlinkStart	1422243433
2	BlinkEnd	1422263211
2	Feed	1422263292
6	BlinkStart	1422263450
6	BlinkEnd	1422683175
6	Feed	1422683255
4	BlinkStart	1422683391
4	BlinkEnd	1422694203
4	Feed	1422694283
2	BlinkStart	1422694435
2	BlinkEnd	1422701226
2	Feed	1422701306
4	BlinkStart	1422701475
4	BlinkEnd	1422709108
4	Feed	1422709188
2	BlinkStart	1422709306
2	BlinkEnd	1422718079
2	Feed	1422718159
8	BlinkStart	1422718289
8	BlinkEnd	1422729627
8	Feed	1422729707
6	BlinkStart	1422729848
6	BlinkEnd	1422769532
6	Feed	1422769613
8	BlinkStart	1422769745
8	BlinkEnd	1422777689
8	Feed	1422777769
4	BlinkStart	1422777907
4	BlinkEnd	1422791124
4	Feed	1422791204
6	BlinkStart	1422791337
6	BlinkEnd	1422801148
6	Feed	1422801228
2	BlinkStart	1422801375
2	BlinkEnd	1422813720
2	Feed	1422813800
4	BlinkStart	1422813951
4	BlinkEnd	1422821202
4	Feed	1422821282
8	BlinkStart	1422821422
8	BlinkEnd	1422831025
8	Feed	1422831105
2	BlinkStart	1422831240
2	BlinkEnd	1422841459
2	Feed	1422841539
6	BlinkStart	1422841696
6	BlinkEnd	1422872067
6	Feed	1422872147
4	BlinkStart	1422872280
4	BlinkEnd	1422880355
4	Feed	1422880436
8	BlinkStart	1422880571
8	BlinkEnd	1422891124
8	Feed	1422891205
6	BlinkStart	1422891351
6	BlinkEnd	1422900741
6	Feed	1422900821
4	BlinkStart	1422900977
4	BlinkEnd	1422912705
4	Feed	1422912785
6	BlinkStart	1422912920
6	BlinkEnd	1422920726
6	Feed	1422920806
4	BlinkStart	1422920938
4	BlinkEnd	1422931087
4	Feed	1422931167
6	BlinkStart	1422931300
6	BlinkEnd	1423000400
