Sunday, July 26, 2020	6:01:59 PM	Game1.txt	107860460
Cued	Now	107866365
9	BlinkStart	107866396
9	BlinkEnd	107997068
23,5	BlinkStart	107997155
23,5	BlinkEnd	108018280
5	0DropFeed	108018360
23	NoFeedAbort	108018440
1	BlinkStart	108028456
1	BlinkEnd	108079521
1	NoFeedLowProb	108079601
6,51	BlinkStart	108079636
6,51	BlinkEnd	108094622
6	Feed	108094703
51	Feed	108094783
1	BlinkStart	108094871
1	BlinkEnd	108172056
1	NoFeedLowProb	108172136
4,42	BlinkStart	108172163
4,42	BlinkEnd	108181201
4	Feed	108181281
42	Feed	108181362
1	BlinkStart	108181457
1	BlinkEnd	108196183
1	NoFeedLowProb	108196263
4,42	BlinkStart	108196277
4,42	BlinkEnd	108225725
4	Feed	108225805
42	Feed	108225885
1	BlinkStart	108225988
1	BlinkEnd	108266101
1	NoFeedLowProb	108266181
4,42	BlinkStart	108266211
4,42	BlinkEnd	108276563
4	Feed	108276643
42	Feed	108276723
16,1	BlinkStart	108276818
16,1	BlinkEnd	108287574
1	0DropFeed	108287655
16	Feed	108287736
6,51,4,42	BlinkStart	108287841
6,51,4,42	BlinkEnd	108312302
4	Feed	108312382
42	Feed	108312463
15,1	BlinkStart	108312567
15,1	BlinkEnd	108328789
1	0DropFeed	108328869
15	NoFeedAbort	108328949
5	BlinkStart	108338967
5	BlinkEnd	108355021
5	NoFeedLowProb	108355101
8,56	BlinkStart	108355113
8,56	BlinkEnd	108360555
8	Feed	108360636
56	Feed	108360716
5	BlinkStart	108360813
5	BlinkEnd	108422768
5	NoFeedLowProb	108422848
2,37	BlinkStart	108422876
2,37	BlinkEnd	108458324
2	Feed	108458404
37	Feed	108458484
5	BlinkStart	108458578
5	BlinkEnd	108608619
5	NoFeedLowProb	108608699
8,56	BlinkStart	108608730
8,56	BlinkEnd	108617462
8	Feed	108617542
56	Feed	108617623
5	BlinkStart	108617716
5	BlinkEnd	108688278
5	NoFeedLowProb	108688358
2,37	BlinkStart	108688388
2,37	BlinkEnd	108693272
2	Feed	108693352
37	Feed	108693432
30,5	BlinkStart	108693518
30,5	BlinkEnd	109035013
5	0DropFeed	109035093
30	Feed	109035173
8,56,2,37	BlinkStart	109035293
8,56,2,37	BlinkEnd	109045663
2	Feed	109045743
37	Feed	109045823
29,5	BlinkStart	109045910
29,5	BlinkEnd	109165452
5	0DropFeed	109165532
29	Feed	109165612
8,56,2,37	BlinkStart	109165728
8,56,2,37	BlinkEnd	109174118
2	Feed	109174198
37	Feed	109174278
28,5	BlinkStart	109174374
28,5	BlinkEnd	109403649
5	0DropFeed	109403729
28	Feed	109403809
8,56,2,37	BlinkStart	109403917
8,56,2,37	BlinkEnd	109421881
8	Feed	109421961
56	Feed	109422041
27,5	BlinkStart	109422135
27,5	BlinkEnd	109598886
5	0DropFeed	109598966
27	Feed	109599046
8,56,2,37	BlinkStart	109599151
8,56,2,37	BlinkEnd	110320034
8	Feed	110320114
56	Feed	110320194
26,5	BlinkStart	110320348
26,5	BlinkEnd	110813476
0	StopTraining	110813556
0	StopTraining	110813557
