Ver1.3	2076061185	StartFile	8/18/2020	12:45:19 PM	E:\BehavioralExperiments\Twenty\RawData\081820\SoundData.txt	2076061185
2076333151	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076333151
2076343379	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076343379
2076343580	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2076343580
2076353007	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076353007
2076353207	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2076353207
2076372560	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076372560
2076384171	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076384171
2076384373	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	2076384373
2076399154	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076399154
2076399354	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2076399354
2076414510	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076414510
2076420512	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076420512
2076420724	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2076420724
2076434771	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076434771
2076434971	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	2076434971
2076454446	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076454446
2076454646	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2076454646
2076464253	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076464253
2076464453	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2076464453
2076482423	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076482423
2076482623	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	2076482623
2076494696	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076494696
2076500712	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076500712
2076500913	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	2076500913
2076553779	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076553779
2076560878	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076560878
2076566774	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076566774
2076566975	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2076566975
2076578688	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076578688
2076578906	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2076578906
2076586932	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076586932
2076587132	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	2076587132
2076602759	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076602759
2076609552	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076609552
2076609752	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	2076609752
2076623211	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076623211
2076623412	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2076623412
2076641443	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076641443
2076641644	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	2076641644
2076656061	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076656061
2076660814	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076660814
2076666542	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076666542
2076671944	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076671944
2076672145	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2076672145
2076681632	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076681632
2076686565	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076686565
2076686766	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2076686766
2076698845	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076698845
2076699046	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	2076699046
2076714843	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076714843
2076721761	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076721761
2076721962	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2076721962
2076754973	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076754973
2076755174	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	2076755174
2076781386	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076781386
2076781588	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2076781588
2076794262	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076794262
2076794462	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2076794462
2076807859	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076807859
2076814657	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076814657
2076821636	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076821636
2076821837	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2076821837
2076833791	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2076833791
2076834004	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	2076834004
2076846848	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076846848
2076847048	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2076847048
2076864898	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076864898
2076865098	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2076865098
2076877170	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076877170
2076921573	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076921573
2076921773	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2076921773
2076937877	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076937877
2076938078	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	2076938078
2076951836	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2076951836
2076952036	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	2076952036
2076967779	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2076967779
2076967979	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	2076967979
2076982768	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2076982768
2076982969	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2076982969
2077085405	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077085405
2077085605	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	2077085605
2077103453	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2077103453
2077108206	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077108206
2077108407	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2077108407
2077122946	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2077122946
2077123147	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	2077123147
2077141478	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077141478
2077141678	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2077141678
2077155255	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2077155255
2077155456	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2077155456
2077165905	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2077165905
2077166105	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	2077166105
2077181850	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077181850
2077182050	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2077182050
2077199358	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077199358
2077204359	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077204359
2077204559	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2077204559
2077235276	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077235276
2077235477	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2077235477
2077245506	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077245506
2077245706	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2077245706
2077261931	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2077261931
2077262144	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2077262144
2077271076	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077271076
2077275408	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077275408
2077280402	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2077280402
2077280603	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	2077280603
2077293037	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077293037
2077306092	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2077306092
2077306292	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	2077306292
2077325886	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077325886
2077326087	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2077326087
2077335279	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2077335279
2077335480	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	2077335480
2077352545	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2077352545
2077372394	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2077372394
2077372608	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2077372608
2077382925	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077382925
2077389061	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077389061
2077393332	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2077393332
2077393533	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2077393533
2077417820	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077417820
2077418021	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2077418021
2077427145	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077427145
2077427346	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2077427346
2077443993	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2077443993
2077444193	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2077444193
2077454521	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077454521
2077771234	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077771234
2077813289	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2077813289
2077813490	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2077813490
2077832904	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2077832904
2077833104	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	2077833104
2078086872	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2078086872
2078091797	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2078091797
2078096549	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2078096549
2078096750	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2078096750
2078109786	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2078109786
2078109986	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	2078109986
2078124955	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2078124955
2078125155	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2078125155
2078134634	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2078134634
2078134836	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2078134836
2078153468	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2078153468
2078153668	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	2078153668
2078175066	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2078175066
2078175267	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	2078175267
2078244196	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2078244196
2078244397	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	2078244397
2078252862	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2078252862
2078253062	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2078253062
2078260803	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2078260803
2078261003	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	2078261003
2078326142	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2078326142
