Ver1.3	1003887668	StartFile	8/31/2020	9:57:36 AM	E:\BehavioralExperiments\Twenty\Horizon\RawData\083120\SoundData.txt	1003887668
1004220921	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004220921
1004221122	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1004221122
1004278806	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1004278806
1004285889	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1004285889
1004286090	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1004286090
1004310553	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1004310553
1004317973	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1004317973
1004318185	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1004318185
1004328466	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1004328466
1004335486	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1004335486
1004335686	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1004335686
1004343173	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1004343173
1004351066	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1004351066
1004351267	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1004351267
1004370325	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1004370325
1004370527	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1004370527
1004379533	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1004379533
1004379746	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1004379746
1004411351	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1004411351
1004411578	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1004411578
1004426588	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004426588
1004432896	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004432896
1004433097	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004433097
1004462216	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004462216
1004467429	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004467429
1004467630	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004467630
1004484674	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004484674
1004489499	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004489499
1004489699	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004489699
1004564082	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004564082
1004567957	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004567957
1004568158	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004568158
1004580859	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004580859
1004581062	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1004581062
1004585002	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004585002
1004585203	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004585203
