Friday, September 11, 2020	12:49:29 PM	Game1.txt	1964600988
Cued	Now	1964621920
9	BlinkStart	1964621947
9	BlinkEnd	1965150929
23,5	BlinkStart	1965151016
23,5	BlinkEnd	1965245977
5	0DropFeed	1965246057
23	NoFeedAbort	1965246137
1	BlinkStart	1965256144
1	BlinkEnd	1965532668
1	NoFeedLowProb	1965532748
4,44	BlinkStart	1965532776
4,44	BlinkEnd	1965539887
4	Feed	1965539967
44	Feed	1965540047
1	BlinkStart	1965540152
1	BlinkEnd	1965560645
1	NoFeedLowProb	1965560725
4,44	BlinkStart	1965560746
4,44	BlinkEnd	1965566843
4	Feed	1965566923
44	Feed	1965567004
1	BlinkStart	1965567101
1	BlinkEnd	1965582244
1	NoFeedLowProb	1965582325
6,48	BlinkStart	1965582357
6,48	BlinkEnd	1965588862
6	Feed	1965588943
48	Feed	1965589023
1	BlinkStart	1965589131
1	BlinkEnd	1965602762
1	NoFeedLowProb	1965602842
6,48	BlinkStart	1965602861
6,48	BlinkEnd	1965607514
6	Feed	1965607594
48	Feed	1965607674
16,1	BlinkStart	1965607771
16,1	BlinkEnd	1965619427
1	0DropFeed	1965619507
16	Feed	1965619588
4,44,6,48	BlinkStart	1965619697
4,44,6,48	BlinkEnd	1965626647
4	Feed	1965626728
44	Feed	1965626808
15,1	BlinkStart	1965626917
15,1	BlinkEnd	1965645420
1	0DropFeed	1965645501
15	NoFeedAbort	1965645581
5	BlinkStart	1965655598
5	BlinkEnd	1965662145
5	NoFeedLowProb	1965662225
2,38	BlinkStart	1965662249
2,38	BlinkEnd	1965666597
2	Feed	1965666678
38	Feed	1965666758
5	BlinkStart	1965666845
5	BlinkEnd	1965680073
5	NoFeedLowProb	1965680153
8,54	BlinkStart	1965680178
8,54	BlinkEnd	1965684407
8	Feed	1965684488
54	Feed	1965684568
5	BlinkStart	1965684675
5	BlinkEnd	1965705886
5	NoFeedLowProb	1965705966
8,54	BlinkStart	1965705996
8,54	BlinkEnd	1965710337
8	Feed	1965710418
54	Feed	1965710498
5	BlinkStart	1965710584
5	BlinkEnd	1965730191
5	NoFeedLowProb	1965730271
8,54	BlinkStart	1965730294
8,54	BlinkEnd	1965734945
8	Feed	1965735025
54	Feed	1965735106
30,5	BlinkStart	1965735192
30,5	BlinkEnd	1965807504
5	0DropFeed	1965807584
30	Feed	1965807664
2,38,8,54	BlinkStart	1965807787
2,38,8,54	BlinkEnd	1965812018
8	Feed	1965812098
54	Feed	1965812178
29,5	BlinkStart	1965812275
29,5	BlinkEnd	1965825615
5	0DropFeed	1965825696
29	Feed	1965825776
2,38,8,54	BlinkStart	1965825893
2,38,8,54	BlinkEnd	1965830007
2	Feed	1965830087
38	Feed	1965830167
28,5	BlinkStart	1965830277
28,5	BlinkEnd	1965838730
5	0DropFeed	1965838812
28	Feed	1965838892
2,38,8,54	BlinkStart	1965839009
2,38,8,54	BlinkEnd	1965842883
8	Feed	1965842963
54	Feed	1965843044
27,5	BlinkStart	1965843151
27,5	BlinkEnd	1965854917
5	0DropFeed	1965854997
27	Feed	1965855077
2,38,8,54	BlinkStart	1965855177
2,38,8,54	BlinkEnd	1965859367
2	Feed	1965859447
38	Feed	1965859528
26,5	BlinkStart	1965859692
26,5	BlinkEnd	1965869896
5	0DropFeed	1965869976
26	Feed	1965870056
2,38,8,54	BlinkStart	1965870228
2,38,8,54	BlinkEnd	1965873634
8	Feed	1965873714
54	Feed	1965873794
25,5	BlinkStart	1965873937
25,5	BlinkEnd	1965884637
5	0DropFeed	1965884717
25	Feed	1965884797
2,38,8,54	BlinkStart	1965884981
2,38,8,54	BlinkEnd	1965889633
8	Feed	1965889713
54	Feed	1965889794
23,5	BlinkStart	1965889965
23,5	BlinkEnd	1965902267
5	0DropFeed	1965902347
23	NoFeedAbort	1965902427
1	BlinkStart	1965912488
1	BlinkEnd	1965958882
