Wednesday, September 16, 2020	1:38:10 PM	Game1.txt	2399522143
Cued	Now	2399531165
9	BlinkStart	2399531180
9	BlinkEnd	2399533230
24,5	BlinkStart	2399533316
24,5	BlinkEnd	2399556346
5	0DropFeed	2399556426
24	NoFeedAbort	2399556506
1	BlinkStart	2399566521
1	BlinkEnd	2399586558
1	NoFeedLowProb	2399586638
6,49	BlinkStart	2399586669
6,49	BlinkEnd	2399590703
6	Feed	2399590783
49	Feed	2399590863
1	BlinkStart	2399590954
1	BlinkEnd	2399606143
1	NoFeedLowProb	2399606223
4,43	BlinkStart	2399606236
4,43	BlinkEnd	2399609418
4	Feed	2399609498
43	Feed	2399609578
1	BlinkStart	2399609674
1	BlinkEnd	2399622986
1	NoFeedLowProb	2399623066
4,43	BlinkStart	2399623086
4,43	BlinkEnd	2399626195
4	Feed	2399626276
43	Feed	2399626356
1	BlinkStart	2399626443
1	BlinkEnd	2399641100
1	NoFeedLowProb	2399641180
6,49	BlinkStart	2399641187
6,49	BlinkEnd	2399645044
6	Feed	2399645124
49	Feed	2399645204
21,1	BlinkStart	2399645304
21,1	BlinkEnd	2399659682
1	0DropFeed	2399659762
21	Feed	2399659842
6,49,4,43	BlinkStart	2399659941
6,49,4,43	BlinkEnd	2399662894
4	Feed	2399662974
43	Feed	2399663055
20,1	BlinkStart	2399663142
20,1	BlinkEnd	2399673786
1	0DropFeed	2399673866
20	Feed	2399673947
6,49,4,43	BlinkStart	2399674048
6,49,4,43	BlinkEnd	2399677067
4	Feed	2399677147
43	Feed	2399677227
19,1	BlinkStart	2399677327
19,1	BlinkEnd	2399688431
1	0DropFeed	2399688511
19	Feed	2399688591
6,49,4,43	BlinkStart	2399688696
6,49,4,43	BlinkEnd	2399691564
4	Feed	2399691644
43	Feed	2399691725
18,1	BlinkStart	2399691813
18,1	BlinkEnd	2399700729
1	0DropFeed	2399700809
18	Feed	2399700889
6,49,4,43	BlinkStart	2399700994
6,49,4,43	BlinkEnd	2399704197
4	Feed	2399704277
43	Feed	2399704357
17,1	BlinkStart	2399704446
17,1	BlinkEnd	2399713021
1	0DropFeed	2399713101
17	Feed	2399713181
6,49,4,43	BlinkStart	2399713289
6,49,4,43	BlinkEnd	2399716897
4	Feed	2399716977
43	Feed	2399717057
16,1	BlinkStart	2399717147
16,1	BlinkEnd	2399724518
1	0DropFeed	2399724598
16	Feed	2399724678
6,49,4,43	BlinkStart	2399724775
6,49,4,43	BlinkEnd	2399728728
6	Feed	2399728808
49	Feed	2399728888
14,1	BlinkStart	2399728982
14,1	BlinkEnd	2399743835
1	0DropFeed	2399743915
14	NoFeedAbort	2399743995
5	BlinkStart	2399754014
5	BlinkEnd	2399770838
5	NoFeedLowProb	2399770918
2,38	BlinkStart	2399770938
2,38	BlinkEnd	2399773779
2	Feed	2399773859
38	Feed	2399773940
5	BlinkStart	2399774036
5	BlinkEnd	2399783270
5	NoFeedLowProb	2399783350
2,38	BlinkStart	2399783371
2,38	BlinkEnd	2399786212
2	Feed	2399786292
38	Feed	2399786373
5	BlinkStart	2399786460
5	BlinkEnd	2399793972
5	NoFeedLowProb	2399794053
8,52	BlinkStart	2399794059
8,52	BlinkEnd	2399797241
8	Feed	2399797321
52	Feed	2399797401
5	BlinkStart	2399797549
