Thursday, September 24, 2020	10:21:45 AM	Game1.txt	489376300
Cued	Now	489392362
9	BlinkStart	489392391
9	BlinkEnd	490385328
23,5	BlinkStart	490385424
23,5	BlinkEnd	490412216
5	0DropFeed	490412297
23	NoFeedAbort	490412378
1	BlinkStart	490422416
1	BlinkEnd	490428059
1	NoFeedLowProb	490428139
4,44	BlinkStart	490428187
4,44	BlinkEnd	490434074
4	Feed	490434154
44	Feed	490434234
1	BlinkStart	490434337
1	BlinkEnd	490455933
1	NoFeedLowProb	490456013
4,44	BlinkStart	490456036
4,44	BlinkEnd	490459609
4	Feed	490459689
44	Feed	490459770
1	BlinkStart	490459860
1	BlinkEnd	490473109
1	NoFeedLowProb	490473189
6,48	BlinkStart	490473225
6,48	BlinkEnd	490486076
6	Feed	490486156
48	Feed	490486236
1	BlinkStart	490486338
1	BlinkEnd	490492159
1	NoFeedLowProb	490492239
6,48	BlinkStart	490492280
6,48	BlinkEnd	490495835
6	Feed	490495915
48	Feed	490495995
16,1	BlinkStart	490496093
16,1	BlinkEnd	490529322
1	0DropFeed	490529402
16	Feed	490529482
6,48,4,44	BlinkStart	490529571
6,48,4,44	BlinkEnd	490532865
4	Feed	490532946
44	Feed	490533026
15,1	BlinkStart	490533115
15,1	BlinkEnd	490543760
1	0DropFeed	490543840
15	NoFeedAbort	490543920
5	BlinkStart	490553934
5	BlinkEnd	490558130
5	NoFeedLowProb	490558210
8,53	BlinkStart	490558225
8,53	BlinkEnd	490561672
8	Feed	490561752
53	Feed	490561832
5	BlinkStart	490561922
5	BlinkEnd	490573439
5	NoFeedLowProb	490573519
8,53	BlinkStart	490573553
8,53	BlinkEnd	490576780
8	Feed	490576860
53	Feed	490576940
5	BlinkStart	490577039
5	BlinkEnd	490616351
5	NoFeedLowProb	490616431
8,53	BlinkStart	490616478
8,53	BlinkEnd	490620027
8	Feed	490620107
53	Feed	490620187
5	BlinkStart	490620285
5	BlinkEnd	490633460
5	NoFeedLowProb	490633540
2,39	BlinkStart	490633574
2,39	BlinkEnd	490636267
2	Feed	490636347
39	Feed	490636427
30,5	BlinkStart	490636525
30,5	BlinkEnd	490646896
5	0DropFeed	490646976
30	Feed	490647056
2,39,8,53	BlinkStart	490647168
2,39,8,53	BlinkEnd	490650438
8	Feed	490650518
53	Feed	490650598
29,5	BlinkStart	490650686
29,5	BlinkEnd	490666079
5	0DropFeed	490666159
29	Feed	490666239
2,39,8,53	BlinkStart	490666338
2,39,8,53	BlinkEnd	490669220
8	Feed	490669300
53	Feed	490669380
28,5	BlinkStart	490669483
28,5	BlinkEnd	490680249
5	0DropFeed	490680329
28	Feed	490680409
2,39,8,53	BlinkStart	490680496
2,39,8,53	BlinkEnd	490683726
8	Feed	490683806
53	Feed	490683886
27,5	BlinkStart	490683975
27,5	BlinkEnd	490693952
5	0DropFeed	490694032
27	Feed	490694112
2,39,8,53	BlinkStart	490694229
2,39,8,53	BlinkEnd	490697628
8	Feed	490697709
53	Feed	490697789
26,5	BlinkStart	490697930
26,5	BlinkEnd	490707655
5	0DropFeed	490707735
26	Feed	490707815
2,39,8,53	BlinkStart	490707979
2,39,8,53	BlinkEnd	490711130
8	Feed	490711210
53	Feed	490711290
25,5	BlinkStart	490711468
25,5	BlinkEnd	490722494
5	0DropFeed	490722574
25	Feed	490722654
2,39,8,53	BlinkStart	490722823
2,39,8,53	BlinkEnd	490726838
8	Feed	490726918
53	Feed	490726999
23,5	BlinkStart	490727171
23,5	BlinkEnd	490766075
5	0DropFeed	490766155
23	NoFeedAbort	490766236
1	BlinkStart	490776309
1	BlinkEnd	490778173
1	NoFeedLowProb	490778253
4,43	BlinkStart	490778341
4,43	BlinkEnd	490781179
4	Feed	490781259
43	Feed	490781340
1	BlinkStart	490781504
1	BlinkEnd	490790270
1	NoFeedLowProb	490790350
4,43	BlinkStart	490790417
4,43	BlinkEnd	490793211
4	Feed	490793291
43	Feed	490793371
1	BlinkStart	490793515
1	BlinkEnd	490802903
1	NoFeedLowProb	490802983
6,47	BlinkStart	490803054
6,47	BlinkEnd	490805642
6	Feed	490805722
47	Feed	490805802
1	BlinkStart	490806006
1	BlinkEnd	490814398
1	NoFeedLowProb	490814478
4,43	BlinkStart	490814569
4,43	BlinkEnd	490817473
4	Feed	490817553
43	Feed	490817633
16,1	BlinkStart	490817804
16,1	BlinkEnd	490827100
1	0DropFeed	490827180
16	Feed	490827260
6,47,4,43	BlinkStart	490827430
6,47,4,43	BlinkEnd	490830777
6	Feed	490830857
47	Feed	490830937
15,1	BlinkStart	490831079
15,1	BlinkEnd	490856107
1	0DropFeed	490856187
15	NoFeedAbort	490856267
5	BlinkStart	490866350
5	BlinkEnd	490866614
5	NoFeedLowProb	490866694
2,37	BlinkStart	490866794
2,37	BlinkEnd	490870411
2	Feed	490870491
37	Feed	490870571
5	BlinkStart	490870732
