Monday, September 28, 2020	1:28:16 PM	Game1.txt	82982334
Cued	Now	83006308
9	BlinkStart	83006330
9	BlinkEnd	83239765
9	NoFeedLowProb	83239847
24,5	BlinkStart	83239854
24,5	BlinkEnd	83317662
5	0DropFeed	83317742
24	NoFeedAbort	83317822
1	BlinkStart	83327839
1	BlinkEnd	83338299
1	NoFeedLowProb	83338379
6,49	BlinkStart	83338410
6,49	BlinkEnd	83353761
6	Feed	83353841
49	Feed	83353921
1	BlinkStart	83354031
1	BlinkEnd	83372352
1	NoFeedLowProb	83372432
4,43	BlinkStart	83372459
4,43	BlinkEnd	83376864
4	Feed	83376945
43	Feed	83377025
1	BlinkStart	83377129
1	BlinkEnd	83395636
1	NoFeedLowProb	83395716
4,43	BlinkStart	83395748
4,43	BlinkEnd	83399547
4	Feed	83399628
43	Feed	83399708
1	BlinkStart	83399804
1	BlinkEnd	83409895
1	NoFeedLowProb	83409975
6,49	BlinkStart	83409997
6,49	BlinkEnd	83414529
6	Feed	83414609
49	Feed	83414689
21,1	BlinkStart	83414776
21,1	BlinkEnd	83429750
1	0DropFeed	83429830
21	Feed	83429913
4,43,6,49	BlinkStart	83430031
4,43,6,49	BlinkEnd	83434082
4	Feed	83434162
43	Feed	83434242
20,1	BlinkStart	83434353
20,1	BlinkEnd	83444190
1	0DropFeed	83444270
20	Feed	83444350
4,43,6,49	BlinkStart	83444458
4,43,6,49	BlinkEnd	83448583
6	Feed	83448663
49	Feed	83448743
19,1	BlinkStart	83448851
19,1	BlinkEnd	83477462
1	0DropFeed	83477542
19	Feed	83477623
4,43,6,49	BlinkStart	83477727
4,43,6,49	BlinkEnd	83481312
6	Feed	83481392
49	Feed	83481473
18,1	BlinkStart	83481579
18,1	BlinkEnd	83492510
1	0DropFeed	83492590
18	Feed	83492670
4,43,6,49	BlinkStart	83492780
4,43,6,49	BlinkEnd	83496354
4	Feed	83496434
43	Feed	83496514
17,1	BlinkStart	83496626
17,1	BlinkEnd	83504896
1	0DropFeed	83504976
17	Feed	83505056
4,43,6,49	BlinkStart	83505163
4,43,6,49	BlinkEnd	83509530
4	Feed	83509610
43	Feed	83509690
16,1	BlinkStart	83509802
16,1	BlinkEnd	83518434
1	0DropFeed	83518515
16	Feed	83518595
4,43,6,49	BlinkStart	83518681
4,43,6,49	BlinkEnd	83522886
4	Feed	83522966
43	Feed	83523046
14,1	BlinkStart	83523132
14,1	BlinkEnd	83531558
1	0DropFeed	83531638
14	NoFeedAbort	83531718
5	BlinkStart	83541735
5	BlinkEnd	83542004
5	NoFeedLowProb	83542085
8,54	BlinkStart	83542102
8,54	BlinkEnd	83546832
8	Feed	83546912
54	Feed	83546992
5	BlinkStart	83547097
5	BlinkEnd	83557361
5	NoFeedLowProb	83557441
8,54	BlinkStart	83557475
8,54	BlinkEnd	83561755
8	Feed	83561835
54	Feed	83561916
5	BlinkStart	83562004
5	BlinkEnd	83577156
5	NoFeedLowProb	83577236
8,54	BlinkStart	83577258
8,54	BlinkEnd	83580645
8	Feed	83580725
54	Feed	83580805
5	BlinkStart	83580949
5	BlinkEnd	83594789
5	NoFeedLowProb	83594870
2,37	BlinkStart	83594964
2,37	BlinkEnd	83598094
2	Feed	83598174
37	Feed	83598255
25,5	BlinkStart	83598416
25,5	BlinkEnd	83604170
5	0DropFeed	83604250
25	Feed	83604330
2,37,8,54	BlinkStart	83604489
2,37,8,54	BlinkEnd	83608202
8	Feed	83608283
54	Feed	83608363
24,5	BlinkStart	83608543
24,5	BlinkEnd	83619994
5	0DropFeed	83620074
24	NoFeedAbort	83620154
1	BlinkStart	83630223
1	BlinkEnd	83630705
1	NoFeedLowProb	83630785
4,42	BlinkStart	83630864
4,42	BlinkEnd	83635278
4	Feed	83635358
42	Feed	83635438
1	BlinkStart	83635583
1	BlinkEnd	83642977
1	NoFeedLowProb	83643057
6,48	BlinkStart	83643156
6,48	BlinkEnd	83646166
6	Feed	83646247
48	Feed	83646327
1	BlinkStart	83646511
1	BlinkEnd	83657417
1	NoFeedLowProb	83657498
4,42	BlinkStart	83657599
4,42	BlinkEnd	83660485
4	Feed	83660565
42	Feed	83660645
1	BlinkStart	83660827
1	BlinkEnd	83668127
1	NoFeedLowProb	83668208
6,48	BlinkStart	83668284
6,48	BlinkEnd	83671135
6	Feed	83671215
48	Feed	83671296
21,1	BlinkStart	83671436
21,1	BlinkEnd	83681785
1	0DropFeed	83681866
21	Feed	83681946
4,42,6,48	BlinkStart	83682113
4,42,6,48	BlinkEnd	83684914
6	Feed	83684994
48	Feed	83685074
20,1	BlinkStart	83685235
20,1	BlinkEnd	83695091
1	0DropFeed	83695171
20	Feed	83695251
4,42,6,48	BlinkStart	83695421
4,42,6,48	BlinkEnd	83698451
6	Feed	83698531
48	Feed	83698611
19,1	BlinkStart	83698754
19,1	BlinkEnd	83708437
1	0DropFeed	83708517
19	Feed	83708597
4,42,6,48	BlinkStart	83708778
4,42,6,48	BlinkEnd	83711807
6	Feed	83711887
48	Feed	83711968
18,1	BlinkStart	83712144
18,1	BlinkEnd	83743996
1	0DropFeed	83744076
18	Feed	83744156
4,42,6,48	BlinkStart	83744330
4,42,6,48	BlinkEnd	83747004
6	Feed	83747084
48	Feed	83747167
17,1	BlinkStart	83747331
17,1	BlinkEnd	83756933
1	0DropFeed	83757013
17	Feed	83757093
4,42,6,48	BlinkStart	83757252
4,42,6,48	BlinkEnd	83760421
4	Feed	83760501
42	Feed	83760581
16,1	BlinkStart	83760734
16,1	BlinkEnd	83766739
1	0DropFeed	83766821
16	Feed	83766901
4,42,6,48	BlinkStart	83767098
4,42,6,48	BlinkEnd	83770348
6	Feed	83770428
48	Feed	83770508
14,1	BlinkStart	83770669
14,1	BlinkEnd	83782261
1	0DropFeed	83782341
14	NoFeedAbort	83782421
5	BlinkStart	83792497
5	BlinkEnd	83795738
5	NoFeedLowProb	83795818
8,53	BlinkStart	83795924
8,53	BlinkEnd	83798987
8	Feed	83799067
53	Feed	83799148
5	BlinkStart	83799333
5	BlinkEnd	83809337
