Monday, October 5, 2020	1:10:48 PM	Game1.txt	583188080
Cued	Now	583214876
9	BlinkStart	583215014
9	BlinkEnd	583472251
23,5	BlinkStart	583472346
23,5	BlinkEnd	583477800
5	0DropFeed	583477880
23	NoFeedAbort	583477960
1	BlinkStart	583487975
1	BlinkEnd	583573715
1	NoFeedLowProb	583573795
4,44	BlinkStart	583573827
4,44	BlinkEnd	583583474
4	Feed	583583555
44	Feed	583583636
1	BlinkStart	583583722
1	BlinkEnd	583597981
1	NoFeedLowProb	583598061
4,44	BlinkStart	583598086
4,44	BlinkEnd	583603661
4	Feed	583603742
44	Feed	583603822
1	BlinkStart	583603913
1	BlinkEnd	583615625
1	NoFeedLowProb	583615705
4,44	BlinkStart	583615731
4,44	BlinkEnd	583619501
4	Feed	583619581
44	Feed	583619661
22,1	BlinkStart	583619762
22,1	BlinkEnd	583633671
1	0DropFeed	583633751
22	Feed	583633832
4,44,6,51	BlinkStart	583633932
4,44,6,51	BlinkEnd	583637548
6	Feed	583637628
51	Feed	583637708
22,1	BlinkStart	583637812
22,1	BlinkEnd	583656999
1	0DropFeed	583657079
22	Feed	583657159
4,44,6,51	BlinkStart	583657259
4,44,6,51	BlinkEnd	583660408
4	Feed	583660488
44	Feed	583660568
22,1	BlinkStart	583660670
22,1	BlinkEnd	583672708
1	0DropFeed	583672788
22	Feed	583672868
4,44,6,51	BlinkStart	583672955
4,44,6,51	BlinkEnd	583676182
6	Feed	583676262
51	Feed	583676342
22,1	BlinkStart	583676443
22,1	BlinkEnd	583694899
1	0DropFeed	583694979
22	Feed	583695059
4,44,6,51	BlinkStart	583695176
4,44,6,51	BlinkEnd	583698312
6	Feed	583698392
51	Feed	583698472
22,1	BlinkStart	583698579
22,1	BlinkEnd	583718237
1	0DropFeed	583718317
22	Feed	583718397
4,44,6,51	BlinkStart	583718499
4,44,6,51	BlinkEnd	583721433
6	Feed	583721513
51	Feed	583721593
22,1	BlinkStart	583721682
22,1	BlinkEnd	583740750
1	0DropFeed	583740830
22	Feed	583740910
4,44,6,51	BlinkStart	583741029
4,44,6,51	BlinkEnd	583745563
6	Feed	583745643
51	Feed	583745723
22,1	BlinkStart	583745828
22,1	BlinkEnd	583761873
1	0DropFeed	583761953
22	Feed	583762033
4,44,6,51	BlinkStart	583762122
4,44,6,51	BlinkEnd	583765147
6	Feed	583765227
51	Feed	583765307
22,1	BlinkStart	583765410
22,1	BlinkEnd	583780989
1	0DropFeed	583781069
22	Feed	583781150
4,44,6,51	BlinkStart	583781272
4,44,6,51	BlinkEnd	583784130
6	Feed	583784210
51	Feed	583784290
22,1	BlinkStart	583784394
22,1	BlinkEnd	583799973
1	0DropFeed	583800054
22	Feed	583800134
4,44,6,51	BlinkStart	583800247
4,44,6,51	BlinkEnd	583802712
6	Feed	583802792
51	Feed	583802872
21,1	BlinkStart	583802958
21,1	BlinkEnd	583817952
1	0DropFeed	583818032
21	Feed	583818112
4,44,6,51	BlinkStart	583818243
4,44,6,51	BlinkEnd	583820759
6	Feed	583820839
51	Feed	583820919
20,1	BlinkStart	583821010
20,1	BlinkEnd	583849167
1	0DropFeed	583849247
20	Feed	583849327
4,44,6,51	BlinkStart	583849514
4,44,6,51	BlinkEnd	583853377
6	Feed	583853457
51	Feed	583853537
19,1	BlinkStart	583853693
19,1	BlinkEnd	583867681
1	0DropFeed	583867761
19	Feed	583867841
4,44,6,51	BlinkStart	583867995
4,44,6,51	BlinkEnd	583870890
6	Feed	583870970
51	Feed	583871050
18,1	BlinkStart	583871196
18,1	BlinkEnd	583885527
1	0DropFeed	583885608
18	Feed	583885688
4,44,6,51	BlinkStart	583885845
4,44,6,51	BlinkEnd	583888603
6	Feed	583888683
51	Feed	583888763
17,1	BlinkStart	583888926
17,1	BlinkEnd	583903575
1	0DropFeed	583903655
17	Feed	583903735
4,44,6,51	BlinkStart	583903895
4,44,6,51	BlinkEnd	583907318
4	Feed	583907398
44	Feed	583907478
16,1	BlinkStart	583907653
16,1	BlinkEnd	583916275
1	0DropFeed	583916355
16	Feed	583916435
4,44,6,51	BlinkStart	583916615
4,44,6,51	BlinkEnd	583920018
6	Feed	583920098
51	Feed	583920178
14,1	BlinkStart	583920322
14,1	BlinkEnd	583935670
1	0DropFeed	583935751
14	NoFeedAbort	583935831
5	BlinkStart	583945894
5	BlinkEnd	583947489
5	NoFeedLowProb	583947569
8,53	BlinkStart	583947678
8,53	BlinkEnd	583951700
8	Feed	583951780
53	Feed	583951860
5	BlinkStart	583952050
5	BlinkEnd	583962598
5	NoFeedLowProb	583962678
8,53	BlinkStart	583962765
8,53	BlinkEnd	583967009
8	Feed	583967089
53	Feed	583967169
5	BlinkStart	583967337
5	BlinkEnd	583980978
5	NoFeedLowProb	583981058
8,53	BlinkStart	583981137
8,53	BlinkEnd	583984654
8	Feed	583984734
53	Feed	583984814
31,5	BlinkStart	583984967
31,5	BlinkEnd	583996885
5	0DropFeed	583996965
31	Feed	583997045
8,53,2	BlinkStart	583997189
8,53,2	BlinkEnd	584000562
2	0DropFeed	584000642
31,5	BlinkStart	584000802
31,5	BlinkEnd	584007521
5	0DropFeed	584007602
31	Feed	584007682
8,53,2	BlinkStart	584007849
8,53,2	BlinkEnd	584010921
2	0DropFeed	584011001
31,5	BlinkStart	584011148
31,5	BlinkEnd	584017940
5	0DropFeed	584018020
31	Feed	584018100
8,53,2	BlinkStart	584018264
8,53,2	BlinkEnd	584021749
8	Feed	584021829
53	Feed	584021909
31,5	BlinkStart	584022051
31,5	BlinkEnd	584033112
5	0DropFeed	584033192
31	Feed	584033272
8,53,2	BlinkStart	584033423
8,53,2	BlinkEnd	584036522
2	0DropFeed	584036602
31,5	BlinkStart	584036763
31,5	BlinkEnd	584041802
5	0DropFeed	584041882
31	Feed	584041962
8,53,2	BlinkStart	584042133
8,53,2	BlinkEnd	584045412
2	0DropFeed	584045492
31,5	BlinkStart	584045675
31,5	BlinkEnd	584049423
5	0DropFeed	584049503
31	Feed	584049583
8,53,2	BlinkStart	584049739
8,53,2	BlinkEnd	584052897
8	Feed	584052978
53	Feed	584053058
31,5	BlinkStart	584053224
31,5	BlinkEnd	584062589
5	0DropFeed	584062669
31	Feed	584062750
8,53,2	BlinkStart	584062901
8,53,2	BlinkEnd	584065799
2	0DropFeed	584065879
31,5	BlinkStart	584066052
31,5	BlinkEnd	584081706
5	0DropFeed	584081786
31	Feed	584081867
8,53,2	BlinkStart	584082018
8,53,2	BlinkEnd	584085717
8	Feed	584085797
53	Feed	584085877
31,5	BlinkStart	584086050
31,5	BlinkEnd	584095012
5	0DropFeed	584095093
31	Feed	584095174
8,53,2	BlinkStart	584095319
8,53,2	BlinkEnd	584098817
2	0DropFeed	584098898
30,5	BlinkStart	584099055
30,5	BlinkEnd	584102560
5	0DropFeed	584102640
30	Feed	584102720
8,53,2	BlinkStart	584102879
8,53,2	BlinkEnd	584105770
8	Feed	584105850
53	Feed	584105930
29,5	BlinkStart	584106087
29,5	BlinkEnd	584121008
5	0DropFeed	584121088
29	Feed	584121168
8,53,2	BlinkStart	584121319
8,53,2	BlinkEnd	584125019
2	0DropFeed	584125099
28,5	BlinkStart	584125263
28,5	BlinkEnd	584132240
5	0DropFeed	584132320
28	Feed	584132400
8,53,2	BlinkStart	584132576
8,53,2	BlinkEnd	584136116
8	Feed	584136196
53	Feed	584136277
27,5	BlinkStart	584136447
27,5	BlinkEnd	584146609
5	0DropFeed	584146689
27	Feed	584146769
8,53,2	BlinkStart	584146930
8,53,2	BlinkEnd	584150418
8	Feed	584150498
53	Feed	584150578
26,5	BlinkStart	584150722
26,5	BlinkEnd	584160779
5	0DropFeed	584160859
26	Feed	584160939
8,53,2	BlinkStart	584161108
8,53,2	BlinkEnd	584165001
8	Feed	584165081
53	Feed	584165161
25,5	BlinkStart	584165307
25,5	BlinkEnd	584279955
5	0DropFeed	584280036
25	Feed	584280117
8,53,2	BlinkStart	584280296
8,53,2	BlinkEnd	584284836
8	Feed	584284916
53	Feed	584284996
23,5	BlinkStart	584285168
23,5	BlinkEnd	584295465
5	0DropFeed	584295545
23	NoFeedAbort	584295625
1	BlinkStart	584305705
1	BlinkEnd	584306425
1	NoFeedLowProb	584306505
6,49	BlinkStart	584306606
6,49	BlinkEnd	584310904
6	Feed	584310984
49	Feed	584311064
1	BlinkStart	584311218
1	BlinkEnd	584323737
1	NoFeedLowProb	584323817
6,49	BlinkStart	584323927
6,49	BlinkEnd	584326479
6	Feed	584326559
49	Feed	584326639
1	BlinkStart	584326798
1	BlinkEnd	584342318
1	NoFeedLowProb	584342398
6,49	BlinkStart	584342480
6,49	BlinkEnd	584344995
6	Feed	584345075
49	Feed	584345155
22,1	BlinkStart	584345331
22,1	BlinkEnd	584360105
1	0DropFeed	584360185
22	Feed	584360265
6,49,4,43	BlinkStart	584360417
6,49,4,43	BlinkEnd	584363173
6	Feed	584363253
49	Feed	584363333
22,1	BlinkStart	584363511
22,1	BlinkEnd	584376875
1	0DropFeed	584376955
22	Feed	584377035
6,49,4,43	BlinkStart	584377205
6,49,4,43	BlinkEnd	584380552
6	Feed	584380632
49	Feed	584380712
22,1	BlinkStart	584380862
22,1	BlinkEnd	584393320
1	0DropFeed	584393400
