Wednesday, October 7, 2020	1:04:29 PM	Game1.txt	755609138
Cued	Now	755656840
9	BlinkStart	755656879
9	BlinkEnd	756012538
9	NoFeedLowProb	756012618
23,5	BlinkStart	756012633
23,5	BlinkEnd	756023291
5	0DropFeed	756023371
23	NoFeedAbort	756023451
1	BlinkStart	756033476
1	BlinkEnd	756060655
1	NoFeedLowProb	756060736
4,46	BlinkStart	756060776
4,46	BlinkEnd	756066606
4	Feed	756066686
46	Feed	756066767
1	BlinkStart	756066868
1	BlinkEnd	756086389
1	NoFeedLowProb	756086469
4,46	BlinkStart	756086499
4,46	BlinkEnd	756090735
4	Feed	756090815
46	Feed	756090896
1	BlinkStart	756090982
1	BlinkEnd	756110592
1	NoFeedLowProb	756110672
4,46	BlinkStart	756110704
4,46	BlinkEnd	756114729
4	Feed	756114809
46	Feed	756114890
22,1	BlinkStart	756114993
22,1	BlinkEnd	756130371
1	0DropFeed	756130451
22	Feed	756130532
4,46,6,50	BlinkStart	756130643
4,46,6,50	BlinkEnd	756133980
4	Feed	756134060
46	Feed	756134140
22,1	BlinkStart	756134227
22,1	BlinkEnd	756147415
1	0DropFeed	756147495
22	Feed	756147575
4,46,6,50	BlinkStart	756147686
4,46,6,50	BlinkEnd	756151296
6	Feed	756151376
50	Feed	756151456
22,1	BlinkStart	756151545
22,1	BlinkEnd	756175020
1	0DropFeed	756175100
22	Feed	756175180
4,46,6,50	BlinkStart	756175292
4,46,6,50	BlinkEnd	756179632
4	Feed	756179712
46	Feed	756179792
22,1	BlinkStart	756179899
22,1	BlinkEnd	756200286
1	0DropFeed	756200366
22	Feed	756200446
4,46,6,50	BlinkStart	756200533
4,46,6,50	BlinkEnd	756203761
4	Feed	756203842
46	Feed	756203922
22,1	BlinkStart	756204024
22,1	BlinkEnd	756217197
1	0DropFeed	756217277
22	Feed	756217357
4,46,6,50	BlinkStart	756217453
4,46,6,50	BlinkEnd	756220740
4	Feed	756220820
46	Feed	756220900
22,1	BlinkStart	756221003
22,1	BlinkEnd	756233506
1	0DropFeed	756233586
22	Feed	756233666
4,46,6,50	BlinkStart	756233773
4,46,6,50	BlinkEnd	756237116
6	Feed	756237197
50	Feed	756237277
22,1	BlinkStart	756237368
22,1	BlinkEnd	756251419
1	0DropFeed	756251499
22	Feed	756251579
4,46,6,50	BlinkStart	756251667
4,46,6,50	BlinkEnd	756254561
4	Feed	756254641
46	Feed	756254721
22,1	BlinkStart	756254807
22,1	BlinkEnd	756267663
1	0DropFeed	756267743
22	Feed	756267823
4,46,6,50	BlinkStart	756267935
4,46,6,50	BlinkEnd	756270737
4	Feed	756270817
46	Feed	756270897
22,1	BlinkStart	756271002
22,1	BlinkEnd	756311509
1	0DropFeed	756311589
22	Feed	756311669
4,46,6,50	BlinkStart	756311757
4,46,6,50	BlinkEnd	756314851
4	Feed	756314931
46	Feed	756315011
21,1	BlinkStart	756315114
21,1	BlinkEnd	756327020
1	0DropFeed	756327100
21	Feed	756327180
4,46,6,50	BlinkStart	756327267
4,46,6,50	BlinkEnd	756330093
4	Feed	756330173
46	Feed	756330253
20,1	BlinkStart	756330346
20,1	BlinkEnd	756341654
1	0DropFeed	756341734
20	Feed	756341814
4,46,6,50	BlinkStart	756341974
4,46,6,50	BlinkEnd	756344863
4	Feed	756344943
46	Feed	756345023
19,1	BlinkStart	756345177
19,1	BlinkEnd	756356426
1	0DropFeed	756356506
19	Feed	756356587
4,46,6,50	BlinkStart	756356753
4,46,6,50	BlinkEnd	756360436
6	Feed	756360517
50	Feed	756360597
18,1	BlinkStart	756360749
18,1	BlinkEnd	756372001
1	0DropFeed	756372081
18	Feed	756372161
4,46,6,50	BlinkStart	756372334
4,46,6,50	BlinkEnd	756375215
4	Feed	756375295
46	Feed	756375376
17,1	BlinkStart	756375547
17,1	BlinkEnd	756389447
1	0DropFeed	756389527
17	Feed	756389607
4,46,6,50	BlinkStart	756389754
4,46,6,50	BlinkEnd	756392521
4	Feed	756392601
46	Feed	756392681
16,1	BlinkStart	756392882
16,1	BlinkEnd	756404820
1	0DropFeed	756404900
16	Feed	756404980
4,46,6,50	BlinkStart	756405148
4,46,6,50	BlinkEnd	756408428
4	Feed	756408508
46	Feed	756408588
14,1	BlinkStart	756408743
14,1	BlinkEnd	756424403
1	0DropFeed	756424483
14	NoFeedAbort	756424563
5	BlinkStart	756434631
5	BlinkEnd	756434898
5	NoFeedLowProb	756434978
2,40	BlinkStart	756435049
2,40	BlinkEnd	756439041
2	Feed	756439121
40	Feed	756439201
5	BlinkStart	756439346
5	BlinkEnd	756451073
5	NoFeedLowProb	756451153
2,40	BlinkStart	756451231
2,40	BlinkEnd	756454082
2	Feed	756454162
40	Feed	756454243
5	BlinkStart	756454405
5	BlinkEnd	756465978
5	NoFeedLowProb	756466058
2,40	BlinkStart	756466138
2,40	BlinkEnd	756468919
2	Feed	756468999
40	Feed	756469079
