Tuesday, October 27, 2020	3:41:18 PM	Game1.txt	517046347
Cued	Now	517056263
9	BlinkStart	517056321
9	BlinkEnd	517304663
23,5	BlinkStart	517304751
23,5	BlinkEnd	517318690
5	0DropFeed	517318770
23	NoFeedAbort	517318850
1	BlinkStart	517328868
1	BlinkEnd	517333250
1	NoFeedLowProb	517333330
6,50	BlinkStart	517333349
6,50	BlinkEnd	517337341
6	Feed	517337421
50	Feed	517337501
1	BlinkStart	517337595
1	BlinkEnd	517350939
1	NoFeedLowProb	517351019
6,50	BlinkStart	517351043
6,50	BlinkEnd	517354309
6	Feed	517354389
50	Feed	517354469
1	BlinkStart	517354570
1	BlinkEnd	517368207
1	NoFeedLowProb	517368287
6,50	BlinkStart	517368305
6,50	BlinkEnd	517371396
6	Feed	517371476
50	Feed	517371557
22,1	BlinkStart	517371673
22,1	BlinkEnd	517384572
1	0DropFeed	517384652
22	Feed	517384732
6,50,4,42	BlinkStart	517384837
6,50,4,42	BlinkEnd	517387519
6	Feed	517387599
50	Feed	517387679
22,1	BlinkStart	517387777
22,1	BlinkEnd	517398831
1	0DropFeed	517398911
22	Feed	517398991
6,50,4,42	BlinkStart	517399078
6,50,4,42	BlinkEnd	517402380
4	Feed	517402460
42	Feed	517402540
22,1	BlinkStart	517402627
22,1	BlinkEnd	517409487
1	0DropFeed	517409567
22	Feed	517409647
6,50,4,42	BlinkStart	517409758
6,50,4,42	BlinkEnd	517412427
6	Feed	517412507
50	Feed	517412587
22,1	BlinkStart	517412683
22,1	BlinkEnd	517423319
1	0DropFeed	517423399
22	Feed	517423479
6,50,4,42	BlinkStart	517423567
6,50,4,42	BlinkEnd	517426328
6	Feed	517426408
50	Feed	517426488
22,1	BlinkStart	517426587
22,1	BlinkEnd	517437637
1	0DropFeed	517437717
22	Feed	517437797
6,50,4,42	BlinkStart	517437902
6,50,4,42	BlinkEnd	517440948
4	Feed	517441028
42	Feed	517441108
22,1	BlinkStart	517441204
22,1	BlinkEnd	517447084
1	0DropFeed	517447164
22	Feed	517447244
6,50,4,42	BlinkStart	517447356
6,50,4,42	BlinkEnd	517450695
6	Feed	517450775
50	Feed	517450855
22,1	BlinkStart	517450951
22,1	BlinkEnd	517460921
1	0DropFeed	517461001
22	Feed	517461081
6,50,4,42	BlinkStart	517461171
6,50,4,42	BlinkEnd	517464233
6	Feed	517464313
50	Feed	517464395
22,1	BlinkStart	517464495
22,1	BlinkEnd	517474766
1	0DropFeed	517474846
22	Feed	517474926
6,50,4,42	BlinkStart	517475038
6,50,4,42	BlinkEnd	517477889
6	Feed	517477969
50	Feed	517478049
22,1	BlinkStart	517478155
22,1	BlinkEnd	517489199
1	0DropFeed	517489279
22	Feed	517489359
6,50,4,42	BlinkStart	517489480
6,50,4,42	BlinkEnd	517492148
6	Feed	517492228
50	Feed	517492308
21,1	BlinkStart	517492401
21,1	BlinkEnd	517504001
1	0DropFeed	517504081
21	Feed	517504161
6,50,4,42	BlinkStart	517504274
6,50,4,42	BlinkEnd	517506948
6	Feed	517507028
50	Feed	517507108
20,1	BlinkStart	517507217
20,1	BlinkEnd	517517658
1	0DropFeed	517517738
20	Feed	517517818
6,50,4,42	BlinkStart	517517988
6,50,4,42	BlinkEnd	517521754
6	Feed	517521835
50	Feed	517521916
19,1	BlinkStart	517522096
19,1	BlinkEnd	517532820
1	0DropFeed	517532901
19	Feed	517532981
6,50,4,42	BlinkStart	517533139
6,50,4,42	BlinkEnd	517535648
6	Feed	517535728
50	Feed	517535808
18,1	BlinkStart	517535952
18,1	BlinkEnd	517547560
1	0DropFeed	517547640
18	Feed	517547720
6,50,4,42	BlinkStart	517547915
6,50,4,42	BlinkEnd	517550689
6	Feed	517550769
50	Feed	517550849
17,1	BlinkStart	517550995
17,1	BlinkEnd	517575782
1	0DropFeed	517575862
17	Feed	517575942
6,50,4,42	BlinkStart	517576125
