Wednesday, November 18, 2020	10:39:06 AM	Game1.txt	662910102
Cued	Now	662922874
9	BlinkStart	662922894
9	BlinkEnd	663219685
23,5	BlinkStart	663219771
23,5	BlinkEnd	663243985
5	0DropFeed	663244066
23	NoFeedAbort	663244147
1	BlinkStart	663254162
1	BlinkEnd	663256921
1	NoFeedLowProb	663257002
4,42	BlinkStart	663257020
4,42	BlinkEnd	663264803
4	Feed	663264883
42	Feed	663264963
1	BlinkStart	663265059
1	BlinkEnd	663274489
1	NoFeedLowProb	663274569
4,42	BlinkStart	663274587
4,42	BlinkEnd	663279183
4	Feed	663279263
42	Feed	663279343
1	BlinkStart	663279462
1	BlinkEnd	663287494
1	NoFeedLowProb	663287574
4,42	BlinkStart	663287596
4,42	BlinkEnd	663291696
4	Feed	663291776
42	Feed	663291856
21,1	BlinkStart	663291948
21,1	BlinkEnd	663299163
1	0DropFeed	663299243
21	Feed	663299323
4,42,6	BlinkStart	663299419
4,42,6	BlinkEnd	663303610
4	Feed	663303690
42	Feed	663303770
20,1	BlinkStart	663303881
20,1	BlinkEnd	663311431
1	0DropFeed	663311511
20	Feed	663311591
4,42,6	BlinkStart	663311678
4,42,6	BlinkEnd	663315403
6	0DropFeed	663315483
19,1	BlinkStart	663315584
19,1	BlinkEnd	663329059
1	0DropFeed	663329139
19	Feed	663329219
4,42,6	BlinkStart	663329327
4,42,6	BlinkEnd	663334535
4	Feed	663334615
42	Feed	663334696
18,1	BlinkStart	663334783
18,1	BlinkEnd	663343319
1	0DropFeed	663343399
18	Feed	663343480
4,42,6	BlinkStart	663343576
4,42,6	BlinkEnd	663347770
4	Feed	663347850
42	Feed	663347931
17,1	BlinkStart	663348038
17,1	BlinkEnd	663355120
1	0DropFeed	663355200
17	Feed	663355280
4,42,6	BlinkStart	663355398
4,42,6	BlinkEnd	663359262
6	0DropFeed	663359343
16,1	BlinkStart	663359450
16,1	BlinkEnd	663363534
1	0DropFeed	663363614
16	Feed	663363695
4,42,6	BlinkStart	663363782
4,42,6	BlinkEnd	663369613
4	Feed	663369693
42	Feed	663369773
14,1	BlinkStart	663369861
14,1	BlinkEnd	663381102
1	0DropFeed	663381182
14	NoFeedAbort	663381262
5	BlinkStart	663391275
5	BlinkEnd	663392174
5	NoFeedLowProb	663392254
2,37	BlinkStart	663392277
2,37	BlinkEnd	663395603
2	Feed	663395683
37	Feed	663395763
5	BlinkStart	663395870
5	BlinkEnd	663402040
5	NoFeedLowProb	663402121
2,37	BlinkStart	663402147
2,37	BlinkEnd	663407456
2	Feed	663407536
37	Feed	663407616
5	BlinkStart	663407723
5	BlinkEnd	663414073
5	NoFeedLowProb	663414153
2,37	BlinkStart	663414175
2,37	BlinkEnd	663417984
2	Feed	663418065
37	Feed	663418145
30,5	BlinkStart	663418251
30,5	BlinkEnd	663425505
5	0DropFeed	663425585
30	Feed	663425665
2,37,8,52	BlinkStart	663425751
2,37,8,52	BlinkEnd	663428875
2	Feed	663428955
37	Feed	663429035
29,5	BlinkStart	663429231
29,5	BlinkEnd	663435975
5	0DropFeed	663436055
29	Feed	663436135
2,37,8,52	BlinkStart	663436287
2,37,8,52	BlinkEnd	663439645
8	Feed	663439725
52	Feed	663439806
28,5	BlinkStart	663439954
28,5	BlinkEnd	663447044
5	0DropFeed	663447124
28	Feed	663447204
2,37,8,52	BlinkStart	663447374
2,37,8,52	BlinkEnd	663450957
2	Feed	663451037
37	Feed	663451117
27,5	BlinkStart	663451284
27,5	BlinkEnd	663457273
5	0DropFeed	663457353
27	Feed	663457434
2,37,8,52	BlinkStart	663457605
2,37,8,52	BlinkEnd	663461425
8	Feed	663461505
52	Feed	663461585
26,5	BlinkStart	663461771
26,5	BlinkEnd	663468042
5	0DropFeed	663468122
26	Feed	663468202
2,37,8,52	BlinkStart	663468364
2,37,8,52	BlinkEnd	663471532
2	Feed	663471612
37	Feed	663471692
25,5	BlinkStart	663471862
25,5	BlinkEnd	663477188
5	0DropFeed	663477268
25	Feed	663477348
2,37,8,52	BlinkStart	663477515
2,37,8,52	BlinkEnd	663481525
8	Feed	663481605
52	Feed	663481685
23,5	BlinkStart	663481874
23,5	BlinkEnd	663488019
5	0DropFeed	663488099
23	NoFeedAbort	663488179
1	BlinkStart	663498274
1	BlinkEnd	663514551
1	NoFeedLowProb	663514631
4,44	BlinkStart	663514712
4,44	BlinkEnd	663517920
4	Feed	663518001
44	Feed	663518082
1	BlinkStart	663518261
1	BlinkEnd	663529713
1	NoFeedLowProb	663529793
4,44	BlinkStart	663529895
4,44	BlinkEnd	663532420
4	Feed	663532500
44	Feed	663532581
1	BlinkStart	663532730
1	BlinkEnd	663543369
1	NoFeedLowProb	663543449
4,44	BlinkStart	663543520
4,44	BlinkEnd	663545898
4	Feed	663545978
44	Feed	663546058
21,1	BlinkStart	663546215
21,1	BlinkEnd	663556185
1	0DropFeed	663556265
21	Feed	663556345
4,44,6,50	BlinkStart	663556512
4,44,6,50	BlinkEnd	663558892
4	Feed	663558972
44	Feed	663559052
20,1	BlinkStart	663559215
20,1	BlinkEnd	663570685
1	0DropFeed	663570765
20	Feed	663570846
4,44,6,50	BlinkStart	663571026
4,44,6,50	BlinkEnd	663573213
4	Feed	663573293
44	Feed	663573373
19,1	BlinkStart	663573519
19,1	BlinkEnd	663584703
1	0DropFeed	663584783
19	Feed	663584863
4,44,6,50	BlinkStart	663585023
4,44,6,50	BlinkEnd	663587359
4	Feed	663587439
44	Feed	663587519
18,1	BlinkStart	663587668
18,1	BlinkEnd	663597279
1	0DropFeed	663597359
18	Feed	663597439
4,44,6,50	BlinkStart	663597589
4,44,6,50	BlinkEnd	663601309
6	Feed	663601389
50	Feed	663601469
17,1	BlinkStart	663601618
17,1	BlinkEnd	663613048
1	0DropFeed	663613128
17	Feed	663613208
4,44,6,50	BlinkStart	663613374
4,44,6,50	BlinkEnd	663616231
4	Feed	663616311
44	Feed	663616391
16,1	BlinkStart	663616571
16,1	BlinkEnd	663625918
1	0DropFeed	663625998
16	Feed	663626078
4,44,6,50	BlinkStart	663626244
4,44,6,50	BlinkEnd	663628455
4	Feed	663628535
44	Feed	663628615
14,1	BlinkStart	663628801
14,1	BlinkEnd	663639394
1	0DropFeed	663639474
14	NoFeedAbort	663639555
5	BlinkStart	663649622
5	BlinkEnd	663650345
5	NoFeedLowProb	663650425
2,40	BlinkStart	663650496
2,40	BlinkEnd	663653416
2	Feed	663653496
40	Feed	663653576
5	BlinkStart	663653758
5	BlinkEnd	663662919
5	NoFeedLowProb	663662999
2,40	BlinkStart	663663091
2,40	BlinkEnd	663665627
2	Feed	663665708
40	Feed	663665789
5	BlinkStart	663665942
5	BlinkEnd	663675012
5	NoFeedLowProb	663675092
2,40	BlinkStart	663675181
2,40	BlinkEnd	663677960
2	Feed	663678041
40	Feed	663678121
30,5	BlinkStart	663678282
30,5	BlinkEnd	663687167
5	0DropFeed	663687247
30	Feed	663687327
2,40,8,55	BlinkStart	663687513
2,40,8,55	BlinkEnd	663690414
8	Feed	663690494
55	Feed	663690574
29,5	BlinkStart	663690756
29,5	BlinkEnd	663701069
5	0DropFeed	663701149
29	Feed	663701229
2,40,8,55	BlinkStart	663701376
2,40,8,55	BlinkEnd	663703953
8	Feed	663704033
55	Feed	663704113
28,5	BlinkStart	663704258
28,5	BlinkEnd	663717075
5	0DropFeed	663717155
28	Feed	663717236
2,40,8,55	BlinkStart	663717446
2,40,8,55	BlinkEnd	663719897
8	Feed	663719977
55	Feed	663720057
27,5	BlinkStart	663720202
27,5	BlinkEnd	663732050
5	0DropFeed	663732130
27	Feed	663732210
2,40,8,55	BlinkStart	663732364
2,40,8,55	BlinkEnd	663735724
8	Feed	663735804
55	Feed	663735884
26,5	BlinkStart	663736037
26,5	BlinkEnd	663747092
5	0DropFeed	663747172
26	Feed	663747252
2,40,8,55	BlinkStart	663747419
2,40,8,55	BlinkEnd	663750039
8	Feed	663750119
55	Feed	663750199
25,5	BlinkStart	663750360
25,5	BlinkEnd	663760509
5	0DropFeed	663760589
25	Feed	663760669
2,40,8,55	BlinkStart	663760826
2,40,8,55	BlinkEnd	663763757
8	Feed	663763837
55	Feed	663763917
23,5	BlinkStart	663764060
23,5	BlinkEnd	663775913
5	0DropFeed	663775993
23	NoFeedAbort	663776073
1	BlinkStart	663786138
1	BlinkEnd	663786401
1	NoFeedLowProb	663786481
4	BlinkStart	663786548
4	BlinkEnd	663789627
4	0DropFeed	663789707
1	BlinkStart	663789864
1	BlinkEnd	663793720
1	NoFeedLowProb	663793800
4	BlinkStart	663793901
4	BlinkEnd	663798414
4	0DropFeed	663798494
1	BlinkStart	663798668
