Monday, November 23, 2020	12:01:59 PM	Game1.txt	1099882333
Cued	Now	1099893411
9	BlinkStart	1099893435
9	BlinkEnd	1100676082
23,5	BlinkStart	1100676189
23,5	BlinkEnd	1100735326
5	0DropFeed	1100735406
23	NoFeedAbort	1100735487
1	BlinkStart	1100745505
1	BlinkEnd	1100773692
1	NoFeedLowProb	1100773772
6,50	BlinkStart	1100773784
6,50	BlinkEnd	1100778438
6	Feed	1100778518
50	Feed	1100778598
1	BlinkStart	1100778687
1	BlinkEnd	1100800830
1	NoFeedLowProb	1100800910
6,50	BlinkStart	1100800922
6,50	BlinkEnd	1100806111
6	Feed	1100806191
50	Feed	1100806271
1	BlinkStart	1100806360
1	BlinkEnd	1100826564
1	NoFeedLowProb	1100826644
6,50	BlinkStart	1100826660
6,50	BlinkEnd	1100830841
6	Feed	1100830921
50	Feed	1100831001
16,1	BlinkStart	1100831089
16,1	BlinkEnd	1100849423
1	0DropFeed	1100849503
16	Feed	1100849583
6,50,4	BlinkStart	1100849677
6,50,4	BlinkEnd	1100854303
6	Feed	1100854383
50	Feed	1100854463
14,1	BlinkStart	1100854551
14,1	BlinkEnd	1100870011
1	0DropFeed	1100870091
14	NoFeedAbort	1100870171
5	BlinkStart	1100880186
5	BlinkEnd	1100894341
5	NoFeedLowProb	1100894421
2,41	BlinkStart	1100894433
2,41	BlinkEnd	1100898351
2	Feed	1100898431
41	Feed	1100898511
5	BlinkStart	1100898602
5	BlinkEnd	1100910250
5	NoFeedLowProb	1100910330
2,41	BlinkStart	1100910344
2,41	BlinkEnd	1100913859
2	Feed	1100913939
41	Feed	1100914019
5	BlinkStart	1100914108
5	BlinkEnd	1100926424
5	NoFeedLowProb	1100926504
2,41	BlinkStart	1100926516
2,41	BlinkEnd	1100929703
2	Feed	1100929783
41	Feed	1100929863
25,5	BlinkStart	1100929952
25,5	BlinkEnd	1100941931
5	0DropFeed	1100942011
25	Feed	1100942091
2,41,8,53	BlinkStart	1100942178
2,41,8,53	BlinkEnd	1100945681
8	Feed	1100945761
53	Feed	1100945842
23,5	BlinkStart	1100945932
23,5	BlinkEnd	1100955102
5	0DropFeed	1100955182
23	NoFeedAbort	1100955262
1	BlinkStart	1100965278
1	BlinkEnd	1100968533
1	NoFeedLowProb	1100968613
4,42	BlinkStart	1100968625
4,42	BlinkEnd	1100972020
4	Feed	1100972100
42	Feed	1100972181
1	BlinkStart	1100972268
1	BlinkEnd	1100979563
1	NoFeedLowProb	1100979643
4,42	BlinkStart	1100979651
4,42	BlinkEnd	1100983508
4	Feed	1100983588
42	Feed	1100983668
1	BlinkStart	1100983754
1	BlinkEnd	1100990793
1	NoFeedLowProb	1100990873
4,42	BlinkStart	1100990889
4,42	BlinkEnd	1100994735
4	Feed	1100994815
42	Feed	1100994895
16,1	BlinkStart	1100994982
