Friday, December 4, 2020	1:32:24 PM	Game1.txt	298147472
Cued	Now	298189973
9	BlinkStart	298189997
9	BlinkEnd	298400943
23,5	BlinkStart	298401042
23,5	BlinkEnd	298410652
5	0DropFeed	298410732
23	NoFeedAbort	298410812
1	BlinkStart	298420828
1	BlinkEnd	298435785
1	NoFeedLowProb	298435865
4,43	BlinkStart	298435893
4,43	BlinkEnd	298443340
4	Feed	298443420
43	Feed	298443500
1	BlinkStart	298443595
1	BlinkEnd	298454566
1	NoFeedLowProb	298454647
4,43	BlinkStart	298454674
4,43	BlinkEnd	298458911
4	Feed	298458991
43	Feed	298459071
1	BlinkStart	298459158
1	BlinkEnd	298468135
1	NoFeedLowProb	298468215
4,43	BlinkStart	298468232
4,43	BlinkEnd	298472280
4	Feed	298472360
43	Feed	298472441
16,1	BlinkStart	298472544
16,1	BlinkEnd	298485648
1	0DropFeed	298485728
16	Feed	298485809
4,43,6,49	BlinkStart	298485913
4,43,6,49	BlinkEnd	298490728
6	Feed	298490808
49	Feed	298490889
14,1	BlinkStart	298490980
14,1	BlinkEnd	298505521
1	0DropFeed	298505601
14	NoFeedAbort	298505681
5	BlinkStart	298515695
5	BlinkEnd	298516596
5	NoFeedLowProb	298516676
8,54	BlinkStart	298516700
8,54	BlinkEnd	298520204
8	Feed	298520284
54	Feed	298520364
5	BlinkStart	298520466
5	BlinkEnd	298531166
5	NoFeedLowProb	298531246
8,54	BlinkStart	298531275
8,54	BlinkEnd	298535043
8	Feed	298535124
54	Feed	298535204
5	BlinkStart	298535298
5	BlinkEnd	298545738
5	NoFeedLowProb	298545818
8,54	BlinkStart	298545838
8,54	BlinkEnd	298549214
8	Feed	298549294
54	Feed	298549374
25,5	BlinkStart	298549462
25,5	BlinkEnd	298560242
5	0DropFeed	298560322
25	Feed	298560402
8,54,2,41	BlinkStart	298560511
8,54,2,41	BlinkEnd	298564720
2	Feed	298564800
41	Feed	298564880
23,5	BlinkStart	298564969
23,5	BlinkEnd	298576355
5	0DropFeed	298576436
23	NoFeedAbort	298576516
1	BlinkStart	298586534
1	BlinkEnd	298586797
1	NoFeedLowProb	298586877
6	BlinkStart	298586884
6	BlinkEnd	298590187
6	0DropFeed	298590267
1	BlinkStart	298590354
1	BlinkEnd	298596671
1	NoFeedLowProb	298596752
6	BlinkStart	298596775
6	BlinkEnd	298606563
6	0DropFeed	298606643
1	BlinkStart	298606745
1	BlinkEnd	298627229
1	NoFeedLowProb	298627309
6	BlinkStart	298627333
6	BlinkEnd	298631768
6	0DropFeed	298631848
16,1	BlinkStart	298631954
16,1	BlinkEnd	298640652
1	0DropFeed	298640732
16	Feed	298640812
4,44,6	BlinkStart	298640908
4,44,6	BlinkEnd	298644261
4	Feed	298644341
44	Feed	298644421
14,1	BlinkStart	298644515
14,1	BlinkEnd	298654093
1	0DropFeed	298654173
14	NoFeedAbort	298654253
5	BlinkStart	298664383
5	BlinkEnd	298664647
5	NoFeedLowProb	298664727
8,55	BlinkStart	298664839
8,55	BlinkEnd	298668323
8	Feed	298668403
55	Feed	298668483
5	BlinkStart	298668644
5	BlinkEnd	298678750
5	NoFeedLowProb	298678830
8,55	BlinkStart	298678926
8,55	BlinkEnd	298682367
8	Feed	298682447
55	Feed	298682527
5	BlinkStart	298682668
5	BlinkEnd	298693456
5	NoFeedLowProb	298693536
8,55	BlinkStart	298693638
8,55	BlinkEnd	298696798
8	Feed	298696879
55	Feed	298696959
25,5	BlinkStart	298697099
25,5	BlinkEnd	298708562
5	0DropFeed	298708643
25	Feed	298708723
8,55,2,40	BlinkStart	298708893
8,55,2,40	BlinkEnd	298712104
8	Feed	298712184
55	Feed	298712265
23,5	BlinkStart	298712411
23,5	BlinkEnd	298724871
5	0DropFeed	298724951
23	NoFeedAbort	298725031
1	BlinkStart	298735097
1	BlinkEnd	298744389
1	NoFeedLowProb	298744470
6,47	BlinkStart	298744555
6,47	BlinkEnd	298747263
6	Feed	298747343
47	Feed	298747423
1	BlinkStart	298747565
1	BlinkEnd	298755351
1	NoFeedLowProb	298755431
6,47	BlinkStart	298755509
6,47	BlinkEnd	298759029
6	Feed	298759109
47	Feed	298759189
1	BlinkStart	298759331
1	BlinkEnd	298767315
1	NoFeedLowProb	298767395
6,47	BlinkStart	298767472
6,47	BlinkEnd	298770189
6	Feed	298770269
47	Feed	298770349
16,1	BlinkStart	298770523
16,1	BlinkEnd	298777275
1	0DropFeed	298777355
16	Feed	298777435
6,47,4,42	BlinkStart	298777585
6,47,4,42	BlinkEnd	298780551
4	Feed	298780631
42	Feed	298780711
14,1	BlinkStart	298780867
14,1	BlinkEnd	298791446
1	0DropFeed	298791526
14	NoFeedAbort	298791606
5	BlinkStart	298801684
5	BlinkEnd	298801950
5	NoFeedLowProb	298802030
2,38	BlinkStart	298802100
2,38	BlinkEnd	298805815
2	Feed	298805895
38	Feed	298805976
5	BlinkStart	298806135
5	BlinkEnd	298814237
5	NoFeedLowProb	298814317
2,38	BlinkStart	298814443
2,38	BlinkEnd	298818049
2	Feed	298818129
38	Feed	298818209
5	BlinkStart	298818391
5	BlinkEnd	298828080
5	NoFeedLowProb	298828160
2,38	BlinkStart	298828247
2,38	BlinkEnd	298831416
2	Feed	298831497
38	Feed	298831577
25,5	BlinkStart	298831738
25,5	BlinkEnd	298839637
5	0DropFeed	298839717
25	Feed	298839797
2,38,8,53	BlinkStart	298839964
2,38,8,53	BlinkEnd	298842978
8	Feed	298843058
53	Feed	298843138
23,5	BlinkStart	298843287
23,5	BlinkEnd	298852137
5	0DropFeed	298852217
23	NoFeedAbort	298852297
1	BlinkStart	298862364
1	BlinkEnd	298862964
1	NoFeedLowProb	298863045
6,50	BlinkStart	298863159
6,50	BlinkEnd	298865906
6	Feed	298865987
50	Feed	298866067
1	BlinkStart	298866244
1	BlinkEnd	298878138
1	NoFeedLowProb	298878218
6,50	BlinkStart	298878295
6,50	BlinkEnd	298881279
6	Feed	298881360
50	Feed	298881440
1	BlinkStart	298881635
1	BlinkEnd	298895783
1	NoFeedLowProb	298895863
6,50	BlinkStart	298895929
6,50	BlinkEnd	298898658
6	Feed	298898738
50	Feed	298898818
16,1	BlinkStart	298898963
16,1	BlinkEnd	298911024
1	0DropFeed	298911104
16	Feed	298911184
6,50,4	BlinkStart	298911357
6,50,4	BlinkEnd	298914165
6	Feed	298914245
50	Feed	298914325
14,1	BlinkStart	298914493
14,1	BlinkEnd	298927800
1	0DropFeed	298927880
14	NoFeedAbort	298927960
5	BlinkStart	298938026
5	BlinkEnd	298941302
5	NoFeedLowProb	298941382
8	BlinkStart	298941492
8	BlinkEnd	298943775
8	0DropFeed	298943855
5	BlinkStart	298944009
5	BlinkEnd	298949992
5	NoFeedLowProb	298950073
8	BlinkStart	298950141
8	BlinkEnd	298956342
8	0DropFeed	298956423
5	BlinkStart	298956595
5	BlinkEnd	298962223
5	NoFeedLowProb	298962303
8	BlinkStart	298962388
8	BlinkEnd	298980871
8	0DropFeed	298980951
25,5	BlinkStart	298981130
25,5	BlinkEnd	298992903
5	0DropFeed	298992985
25	Feed	298993065
2,40,8	BlinkStart	298993236
2,40,8	BlinkEnd	298996445
2	Feed	298996525
40	Feed	298996605
23,5	BlinkStart	298996768
23,5	BlinkEnd	299005409
5	0DropFeed	299005489
23	NoFeedAbort	299005569
1	BlinkStart	299015631
1	BlinkEnd	299016432
1	NoFeedLowProb	299016512
4,42	BlinkStart	299016609
4,42	BlinkEnd	299019173
4	Feed	299019253
42	Feed	299019334
1	BlinkStart	299019517
1	BlinkEnd	299026390
1	NoFeedLowProb	299026470
4,42	BlinkStart	299026554
4,42	BlinkEnd	299029667
4	Feed	299029747
42	Feed	299029827
1	BlinkStart	299029991
1	BlinkEnd	299037353
1	NoFeedLowProb	299037433
4,42	BlinkStart	299037517
4,42	BlinkEnd	299039834
4	Feed	299039914
42	Feed	299039994
16,1	BlinkStart	299040172
16,1	BlinkEnd	299048248
1	0DropFeed	299048328
16	Feed	299048409
4,42,6,50	BlinkStart	299048572
4,42,6,50	BlinkEnd	299051256
6	Feed	299051336
50	Feed	299051416
14,1	BlinkStart	299051606
14,1	BlinkEnd	299062819
1	0DropFeed	299062899
14	NoFeedAbort	299062979
5	BlinkStart	299073049
5	BlinkEnd	299085746
5	NoFeedLowProb	299085826
2,37	BlinkStart	299085924
2,37	BlinkEnd	299088954
2	Feed	299089035
37	Feed	299089116
5	BlinkStart	299089269
5	BlinkEnd	299095905
5	NoFeedLowProb	299095985
2,37	BlinkStart	299096074
2,37	BlinkEnd	299100585
2	Feed	299100665
37	Feed	299100745
5	BlinkStart	299100891
5	BlinkEnd	299115825
5	NoFeedLowProb	299115905
2,37	BlinkStart	299116000
2,37	BlinkEnd	299118898
2	Feed	299118978
37	Feed	299119058
25,5	BlinkStart	299119219
25,5	BlinkEnd	299124646
5	0DropFeed	299124726
25	Feed	299124806
2,37,8,53	BlinkStart	299124972
2,37,8,53	BlinkEnd	299128457
8	Feed	299128537
53	Feed	299128617
23,5	BlinkStart	299128807
23,5	BlinkEnd	299135675
5	0DropFeed	299135755
23	NoFeedAbort	299135835
1	BlinkStart	299145931
1	BlinkEnd	299146199
1	NoFeedLowProb	299146279
4,42	BlinkStart	299146347
4,42	BlinkEnd	299149645
4	Feed	299149725
42	Feed	299149805
1	BlinkStart	299149947
1	BlinkEnd	299156731
1	NoFeedLowProb	299156811
4,42	BlinkStart	299156921
4,42	BlinkEnd	299159606
4	Feed	299159686
42	Feed	299159766
1	BlinkStart	299159960
1	BlinkEnd	299167225
