Wednesday, December 9, 2020	11:12:41 AM	Game1.txt	408668674
Cued	Now	408678705
9	BlinkStart	408678728
9	BlinkEnd	408748323
23,5	BlinkStart	408748409
23,5	BlinkEnd	408760377
5	0DropFeed	408760457
23	NoFeedAbort	408760538
1	BlinkStart	408770559
1	BlinkEnd	408781072
1	NoFeedLowProb	408781152
4,43	BlinkStart	408781181
4,43	BlinkEnd	408785104
4	Feed	408785184
43	Feed	408785265
1	BlinkStart	408785378
1	BlinkEnd	408797439
1	NoFeedLowProb	408797519
4,43	BlinkStart	408797544
4,43	BlinkEnd	408800808
4	Feed	408800889
43	Feed	408800969
1	BlinkStart	408801062
1	BlinkEnd	408810674
1	NoFeedLowProb	408810754
4,43	BlinkStart	408810780
4,43	BlinkEnd	408813814
4	Feed	408813895
43	Feed	408813976
16,1	BlinkStart	408814073
16,1	BlinkEnd	408822470
1	0DropFeed	408822551
16	Feed	408822631
4,43,6	BlinkStart	408822737
4,43,6	BlinkEnd	408826505
6	0DropFeed	408826585
14,1	BlinkStart	408826673
14,1	BlinkEnd	408834982
1	0DropFeed	408835064
14	NoFeedAbort	408835144
5	BlinkStart	408845164
5	BlinkEnd	408848821
5	NoFeedLowProb	408848901
8,56	BlinkStart	408848929
8,56	BlinkEnd	408852069
8	Feed	408852149
56	Feed	408852229
5	BlinkStart	408852332
5	BlinkEnd	408865726
5	NoFeedLowProb	408865806
8,56	BlinkStart	408865835
8,56	BlinkEnd	408868735
8	Feed	408868815
56	Feed	408868895
5	BlinkStart	408868982
5	BlinkEnd	408882632
5	NoFeedLowProb	408882712
8,56	BlinkStart	408882744
8,56	BlinkEnd	408885400
8	Feed	408885481
56	Feed	408885561
25,5	BlinkStart	408885662
25,5	BlinkEnd	408899239
5	0DropFeed	408899319
25	Feed	408899399
8,56,2,38	BlinkStart	408899504
8,56,2,38	BlinkEnd	408902669
8	Feed	408902749
56	Feed	408902829
23,5	BlinkStart	408902937
23,5	BlinkEnd	408915544
5	0DropFeed	408915624
23	NoFeedAbort	408915704
1	BlinkStart	408925731
1	BlinkEnd	408933533
1	NoFeedLowProb	408933613
4,43	BlinkStart	408933646
4,43	BlinkEnd	408936482
4	Feed	408936562
43	Feed	408936642
1	BlinkStart	408936757
1	BlinkEnd	408945156
1	NoFeedLowProb	408945236
4,43	BlinkStart	408945250
4,43	BlinkEnd	408948465
