Ver1.3	763810486	StartFile	12/18/2020	2:34:49 PM	E:\BehavioralExperiments\Twenty\Horizon\RawData\121820\SoundData.txt	763810486
764083853	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764083853
764084055	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	764084055
764106143	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764106143
764145486	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764145486
764145689	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764145689
764159785	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764159785
764164128	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764164128
764164331	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764164331
764177764	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764177764
764181841	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764181841
764182044	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764182044
764211185	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764211185
764211398	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	764211398
764215930	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764215930
764216133	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764216133
764230101	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764230101
764230307	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	764230307
764234178	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764234178
764234381	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764234381
764250487	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764250487
764250689	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	764250689
764254899	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764254899
764255102	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764255102
764270540	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764270540
764270744	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	764270744
764274955	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764274955
764275158	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764275158
764292462	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764292462
764292665	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	764292665
764296674	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764296674
764296876	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764296876
764322542	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764322542
764322744	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	764322744
764326351	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764326351
764326553	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	764326553
764341124	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764341124
764341325	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	764341325
764353489	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764353489
764357231	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764357231
764357433	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	764357433
764374883	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764374883
764378627	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764378627
764378830	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	764378830
764390987	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764390987
764395064	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764395064
764395267	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	764395267
764407165	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764407165
764407368	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	764407368
764411039	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764411039
764411241	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	764411241
764435904	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764435904
764436106	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	764436106
764439782	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764439782
764439984	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	764439984
764450080	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764450080
764450282	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	764450282
764454017	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764454017
764454220	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	764454220
764480419	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764480419
764480622	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	764480622
764483427	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764483427
764483631	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	764483631
764495125	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764495125
764495328	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	764495328
764498867	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764498867
764499070	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	764499070
764510368	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764510368
764510570	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	764510570
764514375	Triggered	2,37,38,39,40,41,	 NoSound	40	2	764514375
764514576	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	764514576
764523665	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764523665
764523865	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	764523865
764538842	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764538842
764539044	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764539044
764551004	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764551004
764555013	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764555013
764555214	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764555214
764562166	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764562166
764581884	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764581884
764582085	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764582085
764591910	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764591910
764592114	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	764592114
764595988	Triggered	4,42,43,44,45,46,	 NoSound	40	2	764595988
764596199	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	764596199
764603206	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764603206
764603411	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	764603411
764608219	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764608219
764608420	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764608420
764620057	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764620057
764620258	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	764620258
764624260	Triggered	4,42,43,44,45,46,	 NoSound	40	2	764624260
764624461	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	764624461
764631948	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764631948
764632150	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	764632150
764636292	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764636292
764636492	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764636492
764648860	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764648860
764649062	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	764649062
764653804	Triggered	4,42,43,44,45,46,	 NoSound	40	2	764653804
764654005	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	764654005
764663095	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764663095
764663307	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	764663307
764667040	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764667040
764667240	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764667240
