Tuesday, December 22, 2020	12:50:49 PM	Game1.txt	1103170911
Cued	Now	1103193507
9	BlinkStart	1103193534
9	BlinkEnd	1103533882
23,5	BlinkStart	1103533976
23,5	BlinkEnd	1103539515
5	0DropFeed	1103539595
23	NoFeedAbort	1103539675
1	BlinkStart	1103549688
1	BlinkEnd	1103556303
1	NoFeedLowProb	1103556384
4,43	BlinkStart	1103556409
4,43	BlinkEnd	1103563403
4	Feed	1103563483
43	Feed	1103563563
1	BlinkStart	1103563662
1	BlinkEnd	1103574713
1	NoFeedLowProb	1103574793
4,43	BlinkStart	1103574810
4,43	BlinkEnd	1103577541
4	Feed	1103577621
43	Feed	1103577702
1	BlinkStart	1103577795
1	BlinkEnd	1103586505
1	NoFeedLowProb	1103586585
4,43	BlinkStart	1103586608
4,43	BlinkEnd	1103589153
4	Feed	1103589234
43	Feed	1103589314
21,1	BlinkStart	1103589422
21,1	BlinkEnd	1103598418
1	0DropFeed	1103598498
21	Feed	1103598578
4,43,6,51	BlinkStart	1103598680
4,43,6,51	BlinkEnd	1103601547
4	Feed	1103601627
43	Feed	1103601707
20,1	BlinkStart	1103601794
20,1	BlinkEnd	1103609248
1	0DropFeed	1103609328
20	Feed	1103609408
4,43,6,51	BlinkStart	1103609514
4,43,6,51	BlinkEnd	1103612740
6	Feed	1103612820
51	Feed	1103612900
19,1	BlinkStart	1103612987
19,1	BlinkEnd	1103628440
1	0DropFeed	1103628520
19	Feed	1103628600
4,43,6,51	BlinkStart	1103628689
4,43,6,51	BlinkEnd	1103631631
4	Feed	1103631711
43	Feed	1103631791
18,1	BlinkStart	1103631880
18,1	BlinkEnd	1103640414
1	0DropFeed	1103640494
18	Feed	1103640574
4,43,6,51	BlinkStart	1103640674
4,43,6,51	BlinkEnd	1103644567
6	Feed	1103644647
51	Feed	1103644727
17,1	BlinkStart	1103644820
17,1	BlinkEnd	1103657019
1	0DropFeed	1103657099
17	Feed	1103657179
4,43,6,51	BlinkStart	1103657292
4,43,6,51	BlinkEnd	1103660450
4	Feed	1103660530
43	Feed	1103660610
