Wednesday, December 23, 2020	12:51:38 PM	Game1.txt	1189619517
Cued	Now	1189632039
9	BlinkStart	1189632057
9	BlinkEnd	1189911614
23,5	BlinkStart	1189911709
23,5	BlinkEnd	1189928117
5	0DropFeed	1189928197
23	NoFeedAbort	1189928277
1	BlinkStart	1189938297
1	BlinkEnd	1189942957
1	NoFeedLowProb	1189943037
6,49	BlinkStart	1189943068
6,49	BlinkEnd	1189946237
6	Feed	1189946318
49	Feed	1189946398
1	BlinkStart	1189946489
1	BlinkEnd	1189958261
1	NoFeedLowProb	1189958341
6,49	BlinkStart	1189958353
6,49	BlinkEnd	1189961203
6	Feed	1189961283
49	Feed	1189961363
1	BlinkStart	1189961452
1	BlinkEnd	1189972031
1	NoFeedLowProb	1189972112
6,49	BlinkStart	1189972124
6,49	BlinkEnd	1189975172
6	Feed	1189975252
49	Feed	1189975332
21,1	BlinkStart	1189975420
21,1	BlinkEnd	1189983862
1	0DropFeed	1189983942
21	Feed	1189984022
6,49,4,45	BlinkStart	1189984109
6,49,4,45	BlinkEnd	1189986802
6	Feed	1189986882
49	Feed	1189986962
20,1	BlinkStart	1189987070
20,1	BlinkEnd	1189997171
1	0DropFeed	1189997251
20	Feed	1189997331
6,49,4,45	BlinkStart	1189997433
6,49,4,45	BlinkEnd	1190001173
6	Feed	1190001253
49	Feed	1190001333
19,1	BlinkStart	1190001422
19,1	BlinkEnd	1190011267
1	0DropFeed	1190011347
19	Feed	1190011427
6,49,4,45	BlinkStart	1190011525
6,49,4,45	BlinkEnd	1190014273
6	Feed	1190014353
49	Feed	1190014433
18,1	BlinkStart	1190014523
18,1	BlinkEnd	1190022762
1	0DropFeed	1190022842
18	Feed	1190022922
6,49,4,45	BlinkStart	1190023030
6,49,4,45	BlinkEnd	1190025704
6	Feed	1190025784
49	Feed	1190025865
17,1	BlinkStart	1190025963
17,1	BlinkEnd	1190034796
1	0DropFeed	1190034876
17	Feed	1190034956
6,49,4,45	BlinkStart	1190035054
6,49,4,45	BlinkEnd	1190037801
6	Feed	1190037881
49	Feed	1190037961
16,1	BlinkStart	1190038053
16,1	BlinkEnd	1190047024
1	0DropFeed	1190047104
16	Feed	1190047185
6,49,4,45	BlinkStart	1190047284
6,49,4,45	BlinkEnd	1190050235
6	Feed	1190050315
49	Feed	1190050395
14,1	BlinkStart	1190050486
14,1	BlinkEnd	1190058857
1	0DropFeed	1190058937
14	NoFeedAbort	1190059017
5	BlinkStart	1190069032
5	BlinkEnd	1190076504
5	NoFeedLowProb	1190076584
2,37	BlinkStart	1190076603
2,37	BlinkEnd	1190079715
2	Feed	1190079795
37	Feed	1190079875
5	BlinkStart	1190079979
5	BlinkEnd	1190085995
5	NoFeedLowProb	1190086075
2,37	BlinkStart	1190086091
2,37	BlinkEnd	1190089470
2	Feed	1190089550
37	Feed	1190089631
5	BlinkStart	1190089723
5	BlinkEnd	1190094683
5	NoFeedLowProb	1190094763
2,37	BlinkStart	1190094787
2,37	BlinkEnd	1190098159
2	Feed	1190098239
37	Feed	1190098320
30,5	BlinkStart	1190098416
30,5	BlinkEnd	1190103640
5	0DropFeed	1190103720
30	Feed	1190103801
2,37,8,53	BlinkStart	1190103888
2,37,8,53	BlinkEnd	1190107115
8	Feed	1190107195
53	Feed	1190107276
29,5	BlinkStart	1190107415
29,5	BlinkEnd	1190114335
5	0DropFeed	1190114416
29	Feed	1190114497
2,37,8,53	BlinkStart	1190114645
2,37,8,53	BlinkEnd	1190117676
8	Feed	1190117756
53	Feed	1190117836
28,5	BlinkStart	1190117976
28,5	BlinkEnd	1190123425
5	0DropFeed	1190123505
28	Feed	1190123585
2,37,8,53	BlinkStart	1190123748
2,37,8,53	BlinkEnd	1190126566
8	Feed	1190126646
53	Feed	1190126727
27,5	BlinkStart	1190126868
27,5	BlinkEnd	1190133252
5	0DropFeed	1190133332
27	Feed	1190133412
2,37,8,53	BlinkStart	1190133582
2,37,8,53	BlinkEnd	1190136124
8	Feed	1190136205
53	Feed	1190136285
26,5	BlinkStart	1190136426
26,5	BlinkEnd	1190142542
5	0DropFeed	1190142622
26	Feed	1190142702
2,37,8,53	BlinkStart	1190142861
2,37,8,53	BlinkEnd	1190145618
8	Feed	1190145698
53	Feed	1190145778
25,5	BlinkStart	1190145930
25,5	BlinkEnd	1190153838
5	0DropFeed	1190153918
25	Feed	1190153998
2,37,8,53	BlinkStart	1190154161
2,37,8,53	BlinkEnd	1190157045
8	Feed	1190157125
53	Feed	1190157205
23,5	BlinkStart	1190157357
23,5	BlinkEnd	1190164332
5	0DropFeed	1190164412
23	NoFeedAbort	1190164492
1	BlinkStart	1190174571
1	BlinkEnd	1190178702
1	NoFeedLowProb	1190178782
4,46	BlinkStart	1190178863
4,46	BlinkEnd	1190181510
4	Feed	1190181590
46	Feed	1190181670
1	BlinkStart	1190181821
1	BlinkEnd	1190199021
1	NoFeedLowProb	1190199101
4,46	BlinkStart	1190199207
4,46	BlinkEnd	1190201695
4	Feed	1190201776
46	Feed	1190201856
1	BlinkStart	1190202011
1	BlinkEnd	1190212123
1	NoFeedLowProb	1190212203
4,46	BlinkStart	1190212287
4,46	BlinkEnd	1190214729
4	Feed	1190214809
46	Feed	1190214889
21,1	BlinkStart	1190215034
21,1	BlinkEnd	1190225156
1	0DropFeed	1190225236
21	Feed	1190225316
4,46,6	BlinkStart	1190225472
4,46,6	BlinkEnd	1190227563
4	Feed	1190227643
46	Feed	1190227723
20,1	BlinkStart	1190227879
20,1	BlinkEnd	1190238323
1	0DropFeed	1190238403
20	Feed	1190238483
4,46,6	BlinkStart	1190238624
4,46,6	BlinkEnd	1190241332
4	Feed	1190241412
46	Feed	1190241492
19,1	BlinkStart	1190241637
19,1	BlinkEnd	1190253096
1	0DropFeed	1190253176
19	Feed	1190253256
4,46,6	BlinkStart	1190253418
4,46,6	BlinkEnd	1190256171
6	0DropFeed	1190256251
18,1	BlinkStart	1190256393
18,1	BlinkEnd	1190262254
1	0DropFeed	1190262335
18	Feed	1190262415
4,46,6	BlinkStart	1190262565
4,46,6	BlinkEnd	1190275287
4	Feed	1190275367
46	Feed	1190275447
17,1	BlinkStart	1190275588
17,1	BlinkEnd	1190286383
1	0DropFeed	1190286463
17	Feed	1190286543
4,46,6	BlinkStart	1190286691
4,46,6	BlinkEnd	1190289258
6	0DropFeed	1190289338
16,1	BlinkStart	1190289498
16,1	BlinkEnd	1190292599
1	0DropFeed	1190292680
16	Feed	1190292760
4,46,6	BlinkStart	1190292919
4,46,6	BlinkEnd	1190296008
4	Feed	1190296088
46	Feed	1190296168
14,1	BlinkStart	1190296315
14,1	BlinkEnd	1190308307
1	0DropFeed	1190308387
14	NoFeedAbort	1190308467
5	BlinkStart	1190318538
5	BlinkEnd	1190322810
5	NoFeedLowProb	1190322890
8,52	BlinkStart	1190322965
8,52	BlinkEnd	1190325552
8	Feed	1190325632
52	Feed	1190325712
5	BlinkStart	1190325870
5	BlinkEnd	1190332905
5	NoFeedLowProb	1190332985
8,52	BlinkStart	1190333051
8,52	BlinkEnd	1190336045
8	Feed	1190336125
52	Feed	1190336205
5	BlinkStart	1190336350
5	BlinkEnd	1190341593
5	NoFeedLowProb	1190341673
8,52	BlinkStart	1190341742
8,52	BlinkEnd	1190346005
8	Feed	1190346086
52	Feed	1190346166
30,5	BlinkStart	1190346304
30,5	BlinkEnd	1190354560
5	0DropFeed	1190354641
30	Feed	1190354722
8,52,2,38	BlinkStart	1190354876
8,52,2,38	BlinkEnd	1190357302
2	Feed	1190357382
